name,start,end,icon,kind
2026 FIFA 월드컵,2026-06-11,2026-07-19,🌍,event
EPL 여름 이적시장,2026-06-16,2026-09-01,🔁,window
EPL 26/27 개막,2026-08-14,2026-08-14,⚽,kickoff
EPL 겨울 이적시장,2027-01-01,2027-02-03,🔁,window
FA컵 결승,2027-05-22,2027-05-22,🏆,kickoff
챔피언스리그 결승,2027-05-29,2027-05-29,⭐,kickoff
