rank,team,code,points,previous_rank,previous_points,rank_change,points_change,confederation,flag,updated
1,Argentina,ARG,1877.27,1,1877.27,0,0.0,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,2026-06-11
2,Spain,ESP,1874.71,2,1874.71,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,2026-06-11
3,France,FRA,1870.7,3,1870.7,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,2026-06-11
4,England,ENG,1828.02,4,1828.02,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,2026-06-11
5,Portugal,POR,1767.85,5,1767.85,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/POR,2026-06-11
6,Brazil,BRA,1765.86,6,1765.86,0,0.0,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,2026-06-11
7,Morocco,MAR,1755.1,7,1755.1,0,0.0,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,2026-06-11
8,Netherlands,NED,1753.57,8,1753.57,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/NED,2026-06-11
9,Belgium,BEL,1742.24,9,1742.24,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,2026-06-11
10,Germany,GER,1735.77,10,1735.77,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/GER,2026-06-11
11,Croatia,CRO,1714.87,11,1714.87,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,2026-06-11
12,Italy,ITA,1704.73,12,1704.73,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,2026-06-11
13,Colombia,COL,1698.35,13,1698.35,0,0.0,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/COL,2026-06-11
14,Mexico,MEX,1687.48,14,1687.48,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,2026-06-11
15,Senegal,SEN,1684.07,15,1684.07,0,0.0,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,2026-06-11
16,Uruguay,URU,1673.07,16,1673.07,0,0.0,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/URU,2026-06-11
17,USA,USA,1671.23,17,1671.23,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/USA,2026-06-11
18,Japan,JPN,1661.58,18,1661.58,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,2026-06-11
19,Switzerland,SUI,1650.06,19,1650.06,0,0.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,2026-06-11
20,Iran,,1619.58,20,1619.58,0,0.0,,,2026-06-11
21,Denmark,DEN,1627.64,21,1621.24,1,6.4,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,2026-06-11
22,IR Iran,IRN,1622.61,20,1624.3,-1,-1.69,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,2026-06-11
23,Austria,AUT,1601.86,22,1591.24,0,10.62,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,2026-06-11
24,Korea Republic,KOR,1593.19,23,1587.08,0,6.11,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,2026-06-11
25,Ecuador,ECU,1588.04,25,1570.68,1,17.36,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,2026-06-11
26,Australia,AUS,1583.49,24,1578.57,-1,4.92,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,2026-06-11
27,Canada,CAN,1558.04,28,1548.94,2,9.1,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,2026-06-11
28,Türkiye,TUR,1555.72,27,1553.19,0,2.53,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,2026-06-11
29,Ukraine,UKR,1543.06,26,1557.21,-2,-14.15,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,2026-06-11
30,Panama,PAN,1529.71,30,1545.08,1,-15.37,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,2026-06-11
31,Wales,WAL,1529.09,31,1528.93,1,0.16,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,2026-06-11
32,Norway,NOR,1526.23,33,1519.42,2,6.81,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,2026-06-11
33,Sweden,SWE,1524.62,29,1545.43,-3,-20.81,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,2026-06-11
34,Russia,RUS,1521.74,35,1518.54,2,3.2,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,2026-06-11
35,Serbia,SRB,1520.9,32,1523.03,-2,-2.13,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,2026-06-11
36,Egypt,EGY,1519.18,34,1518.79,-1,0.39,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,2026-06-11
37,Poland,POL,1517.3,37,1502.4,1,14.9,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/POL,2026-06-11
38,Paraguay,PAR,1501.01,43,1486.69,6,14.32,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,2026-06-11
39,Algeria,ALG,1500.74,36,1503.8,-2,-3.06,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,2026-06-11
40,Czechia,CZE,1500.29,41,1492.4,2,7.89,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,2026-06-11
41,Greece,GRE,1494.72,39,1497.82,-1,-3.1,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,2026-06-11
42,Hungary,HUN,1492.18,38,1500.74,-3,-8.56,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,2026-06-11
43,Slovakia,SVK,1491.87,52,1466.56,10,25.31,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,2026-06-11
44,Scotland,SCO,1485.08,47,1474.68,4,10.4,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,2026-06-11
45,Côte d'Ivoire,CIV,1483.9,45,1483.45,1,0.45,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,2026-06-11
46,Nigeria,NGA,1483.86,44,1484.26,-1,-0.4,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,2026-06-11
47,Tunisia,TUN,1483.02,49,1471.1,3,11.92,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,2026-06-11
48,Costa Rica,CRC,1481.13,40,1493.85,-7,-12.72,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,2026-06-11
49,Peru,PER,1469.31,42,1489.97,-6,-20.66,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/PER,2026-06-11
50,Venezuela,VEN,1465.02,46,1477.02,-3,-12.0,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,2026-06-11
51,Slovenia,SVN,1462.96,50,1469.76,0,-6.8,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,2026-06-11
52,Romania,ROU,1462.85,48,1474.46,-3,-11.61,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,2026-06-11
53,Cameroon,CMR,1455.42,51,1466.97,-1,-11.55,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,2026-06-11
54,Qatar,QAT,1453.65,53,1459.85,0,-6.2,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/QAT,2026-06-11
55,Uzbekistan,UZB,1453.31,55,1449.12,1,4.19,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/UZB,2026-06-11
56,South Africa,RSA,1448.67,56,1443.31,1,5.36,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,2026-06-11
57,Mali,MLI,1445.83,54,1454.72,-2,-8.89,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MLI,2026-06-11
58,Chile,CHI,1441.66,57,1441.62,0,0.04,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,2026-06-11
59,Iraq,IRQ,1422.2,58,1417.04,0,5.16,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,2026-06-11
60,Saudi Arabia,KSA,1420.65,59,1415.11,0,5.54,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,2026-06-11
61,Congo DR,COD,1407.6,61,1412.1,1,-4.5,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/COD,2026-06-11
62,Republic of Ireland,IRL,1397.52,60,1412.76,-1,-15.24,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,2026-06-11
63,Jordan,JOR,1391.33,64,1387.79,2,3.54,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/JOR,2026-06-11
