norm_key,name,team,n_points,gw,gh,grid
jordy bawuah,Jordy Bawuah,PSV Eindhoven,9,12,8,0 0 100 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 50 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
jim koller,Jim Koller,PSV Eindhoven,9,12,8,0 0 0 0 50 50 0 0 0 0 0 0 0 0 0 0 50 0 0 100 0 0 0 0 0 0 0 0 0 50 50 0 0 0 50 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
sergino dest,Sergiño Dest,PSV Eindhoven,1776,12,8,22 40 57 85 69 68 91 100 89 74 68 26 15 35 38 66 54 42 60 77 83 38 34 28 25 37 26 46 51 18 26 29 37 45 37 38 12 20 12 12 14 6 14 14 9 15 5 6 2 6 17 12 9 6 8 5 17 8 2 0 5 6 12 20 14 9 12 18 23 18 8 5 5 14 17 28 23 17 23 46 29 23 9 12 8 15 26 34 35 29 45 32 37 32 32 5
yarek gasiorowski,Yarek Gasiorowski,PSV Eindhoven,1553,12,8,3 3 3 13 10 1 4 4 1 0 1 0 7 4 7 4 3 4 10 7 1 1 1 0 18 14 13 23 24 18 17 8 3 0 1 0 21 23 15 30 38 28 34 17 1 0 8 15 55 32 44 79 54 58 75 34 7 3 8 11 39 51 61 99 100 93 83 46 14 6 0 1 24 42 61 75 72 65 54 37 14 1 0 0 4 24 21 54 42 17 28 24 6 6 1 0
ryan flamingo,Ryan Flamingo,PSV Eindhoven,1406,12,8,4 22 31 48 51 33 37 40 13 3 0 0 18 30 42 67 70 49 79 55 22 0 0 4 28 37 61 99 100 85 75 60 21 0 4 3 39 42 33 55 37 48 46 15 10 3 7 13 31 18 16 49 21 39 25 12 4 0 9 9 9 7 10 16 22 13 9 13 3 0 0 0 3 6 10 10 13 16 15 10 0 1 0 0 3 6 4 3 3 4 3 1 0 0 1 0
mauro junior,Mauro Júnior,PSV Eindhoven,1924,12,8,15 2 17 33 30 24 37 57 56 30 19 4 19 13 13 35 35 22 43 44 30 17 9 0 15 11 22 57 54 46 39 57 46 15 9 11 7 26 24 54 44 31 46 33 37 13 7 2 6 26 24 44 56 43 59 44 30 30 13 0 37 48 46 74 52 48 44 46 61 41 30 15 19 35 31 74 70 59 63 72 87 48 24 15 15 33 63 89 87 67 87 100 63 81 43 9
kiliann sildillia,Kiliann Sildillia,PSV Eindhoven,1030,12,8,15 58 56 92 85 81 100 98 96 77 52 10 19 27 50 58 69 42 94 96 79 46 15 19 25 33 23 35 44 25 50 58 50 35 6 17 21 25 10 10 17 17 8 19 10 8 17 27 10 17 2 8 4 8 4 8 4 0 8 12 6 2 0 0 0 0 2 4 2 0 0 2 0 0 2 0 0 0 2 0 4 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0
armando obispo,Armando Obispo,PSV Eindhoven,732,12,8,3 8 8 5 0 0 5 5 0 3 0 0 8 3 14 5 22 16 14 16 0 3 0 0 8 14 3 16 32 22 35 41 3 0 3 0 24 32 24 30 32 22 38 19 11 3 14 24 51 30 22 73 49 41 49 30 19 3 5 16 11 30 65 100 92 51 81 62 30 0 0 0 5 24 51 68 84 38 49 22 19 5 0 3 8 3 22 14 27 14 16 5 8 0 0 0
fabian merien,Fabian Merién,PSV Eindhoven,9,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 100 0 100 50 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
matej kovar,Matěj Kovář,PSV Eindhoven,817,12,8,0 3 2 1 0 0 0 0 0 0 0 0 3 8 3 0 1 0 0 0 0 0 0 0 45 54 34 17 3 0 0 0 0 0 0 0 96 84 67 49 10 0 0 0 0 0 0 0 100 80 57 35 5 0 0 0 0 0 0 0 33 39 16 5 2 1 0 0 0 0 0 0 3 9 3 3 0 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0
nick olij,Nick Olij,PSV Eindhoven,57,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 27 0 0 0 0 0 0 0 0 9 45 36 91 0 0 0 0 0 0 0 0 55 36 64 100 0 0 0 0 0 0 0 0 9 9 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
joel drommel,Joël Drommel,PSV Eindhoven,848,12,8,0 0 1 0 1 0 0 0 0 0 0 0 5 23 8 4 1 1 0 0 0 0 0 0 49 52 25 13 1 0 0 0 0 0 1 0 99 97 60 43 8 1 0 0 0 0 1 0 100 95 59 33 4 1 0 0 0 0 0 0 52 33 15 5 2 0 0 1 0 0 0 0 7 7 2 2 1 1 0 0 0 0 0 2 3 3 5 0 0 0 0 0 0 0 0 1
ayase ueda,Ayase Ueda,Feyenoord,948,12,8,0 0 0 0 10 5 12 19 29 24 17 12 0 0 0 14 24 19 29 26 24 24 29 10 2 2 5 29 17 24 33 57 40 48 62 14 17 7 2 14 19 38 45 26 40 55 76 57 29 5 5 21 21 48 48 52 57 50 100 52 7 0 5 24 38 38 38 69 52 45 57 31 0 2 2 10 24 31 21 26 40 10 29 14 0 2 0 5 19 7 17 10 14 7 10 10
shaqueel van persie,Shaqueel van Persie,Feyenoord,31,12,8,0 0 0 0 67 33 0 0 0 0 0 0 0 0 0 33 0 0 33 0 0 0 0 0 0 0 0 100 0 0 0 33 33 0 0 33 0 0 0 0 0 33 0 0 67 67 67 67 0 0 0 0 0 0 33 33 0 0 33 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 67 0 0 0 0 0 0 0 0 0 0 67 0 33 0 33 0
leo sauer,Leo Sauer,Feyenoord,673,12,8,0 5 0 0 0 0 0 3 5 3 3 0 0 0 0 0 0 0 0 0 3 0 5 5 0 8 0 0 3 0 0 0 0 0 5 5 5 3 0 0 3 5 3 5 0 3 8 10 8 8 8 8 5 3 15 15 21 26 8 28 3 8 5 13 15 13 13 26 46 59 79 79 5 21 21 41 41 31 26 49 74 69 97 64 3 5 23 54 62 51 67 72 90 100 44 13
casper tengstedt,Casper Tengstedt,Feyenoord,170,12,8,0 0 0 9 0 9 9 18 36 0 0 0 0 0 0 0 0 9 0 9 0 9 9 9 0 0 9 27 9 36 9 27 18 27 18 18 9 0 0 9 18 36 9 27 36 36 36 55 9 18 0 18 18 0 27 36 36 36 100 82 9 9 0 0 27 27 18 18 36 18 45 91 0 0 9 0 18 18 18 0 9 9 27 18 0 0 9 9 9 9 0 0 9 27 45 18
anis hadj moussa,Anis Hadj Moussa,Feyenoord,1276,12,8,1 14 21 47 64 44 53 89 100 88 58 35 6 10 14 21 38 29 38 51 72 75 61 53 0 11 10 25 31 19 11 44 44 78 79 64 0 1 6 8 0 3 6 10 24 24 29 14 0 1 1 10 4 0 0 8 11 8 4 6 1 0 1 4 0 0 0 4 10 3 3 8 1 0 0 0 0 0 0 7 10 6 7 3 0 0 0 1 0 0 0 0 7 6 8 7
hwang in-beom,Hwang In-beom,Feyenoord,755,12,8,3 7 7 10 28 17 7 21 21 7 14 0 3 7 10 38 45 38 41 41 79 24 7 0 0 21 3 72 62 41 55 72 62 21 21 7 3 14 21 52 31 38 48 38 45 14 17 7 10 17 17 45 41 62 66 59 69 7 7 10 7 10 31 48 34 45 66 100 86 24 7 7 3 7 7 14 34 38 69 41 79 38 7 7 0 0 0 10 24 7 14 14 24 17 21 10
ramiz zerrouki,Ramiz Zerrouki,Feyenoord,1914,12,8,7 8 13 33 45 23 33 55 45 12 13 10 3 8 12 48 50 42 70 85 72 20 5 5 13 25 30 85 100 78 95 88 83 32 5 3 17 45 25 65 57 65 72 78 58 22 12 5 7 17 13 65 62 57 57 63 63 27 3 3 2 7 12 45 60 35 62 87 50 17 5 10 0 5 18 23 38 27 67 42 63 20 2 2 0 3 8 22 28 17 22 25 23 17 13 2
oussama targhalline,Oussama Targhalline,Feyenoord,1407,12,8,0 29 22 31 36 11 29 44 31 9 7 4 4 9 29 44 36 38 56 82 36 18 11 7 11 31 27 67 84 47 96 100 87 20 0 7 9 51 38 96 40 71 96 84 64 13 0 2 9 13 44 69 44 42 69 73 42 27 2 2 11 20 24 49 58 60 80 82 49 22 0 4 0 9 9 33 36 22 51 71 47 9 0 4 0 7 20 22 27 18 20 13 31 11 4 2
jakub moder,Jakub Moder,Feyenoord,589,12,8,0 13 20 40 53 27 40 40 67 73 73 47 0 20 40 20 87 53 67 73 33 47 33 60 13 40 47 73 87 67 87 67 100 47 73 53 13 20 13 60 27 53 60 47 53 27 7 27 47 47 20 40 27 27 60 40 67 13 33 13 0 13 13 53 80 40 73 60 47 60 0 20 20 0 13 40 47 47 47 67 80 80 7 20 0 7 7 20 13 13 40 40 87 87 47 20
sem steijn,Sem Steijn,Feyenoord,485,12,8,0 0 12 24 24 18 41 29 18 24 6 6 0 6 0 41 29 12 24 53 71 6 0 18 0 0 24 41 59 59 24 76 100 53 24 35 0 18 29 59 6 24 47 41 71 41 76 24 0 12 18 41 53 41 35 41 76 71 100 59 0 0 29 53 29 41 29 71 100 53 29 18 0 6 0 6 18 18 59 41 65 29 29 18 0 0 6 35 24 24 12 6 35 18 6 12
gaoussou diarra,Gaoussou Diarra,Feyenoord,138,12,8,0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 7 7 0 7 7 0 0 0 0 0 7 0 0 7 14 7 7 0 0 0 0 0 0 0 0 7 14 0 7 14 0 7 0 14 14 0 7 14 7 7 43 0 7 7 7 0 21 14 7 21 14 29 14 14 0 7 36 7 21 21 7 14 64 43 14 29 0 7 7 14 14 21 14 100 93 29 21 0
luciano valente,Luciano Valente,Feyenoord,1819,12,8,9 8 5 16 25 12 19 20 17 22 14 19 3 6 11 28 30 27 25 62 50 17 12 12 5 8 19 58 41 33 50 73 69 27 14 12 0 14 14 38 36 44 38 53 56 34 11 9 2 23 16 41 36 41 50 45 61 50 17 8 2 14 19 59 62 47 59 88 86 34 20 16 6 14 17 36 56 55 58 100 73 31 14 5 5 14 11 9 31 17 30 45 36 33 17 8
goncalo borges,Gonçalo Borges,Feyenoord,255,12,8,0 15 31 38 38 38 54 38 54 100 85 38 8 38 8 38 23 15 15 23 38 23 69 77 0 8 8 46 0 8 8 8 23 15 46 92 8 0 23 0 0 0 0 31 15 8 38 23 8 0 0 0 0 0 8 8 0 23 31 0 0 0 0 8 8 8 15 8 23 23 31 31 15 0 8 23 0 0 0 23 38 38 46 31 8 0 31 8 23 31 15 0 38 23 15 0
aymen sliti,Aymen Sliti,Feyenoord,356,12,8,0 0 17 4 4 4 13 4 9 17 13 4 0 4 9 13 13 4 17 0 26 9 13 9 9 0 9 9 0 0 0 9 17 9 13 4 0 0 0 0 0 17 0 4 17 13 17 13 9 13 4 9 9 9 13 0 17 13 17 17 13 0 0 13 26 0 4 17 35 13 22 22 9 4 4 30 39 9 39 22 100 61 52 78 4 17 26 22 30 17 48 61 65 65 70 9
gjivai zechiel,Gjivai Zechiël,Feyenoord,1668,12,8,2 0 2 0 6 3 10 10 10 2 0 2 0 3 3 2 24 8 10 21 21 18 2 3 5 6 15 18 23 16 26 27 27 19 5 2 18 16 31 35 35 23 42 29 50 23 24 6 5 29 27 66 40 60 71 44 71 35 31 13 10 27 32 87 84 65 94 87 68 39 26 19 8 13 23 66 74 58 79 100 63 31 21 13 8 10 19 45 42 34 35 58 44 16 16 5
jaden slory,Jaden Slory,Feyenoord,470,12,8,4 26 13 65 30 74 91 91 100 96 87 48 9 30 22 52 17 35 22 43 35 74 61 61 4 13 13 26 26 17 22 30 39 43 52 22 0 4 13 0 4 9 9 9 26 13 17 22 4 4 9 4 0 0 4 4 13 13 13 0 4 0 4 17 4 4 4 0 9 26 13 30 4 17 4 4 17 13 4 17 9 17 22 9 4 9 4 4 0 9 22 13 9 13 4 4
thijs kraaijeveld,Thijs Kraaijeveld,Feyenoord,522,12,8,0 5 0 25 15 10 45 20 10 0 0 0 5 5 40 40 40 25 65 45 35 10 0 0 20 25 30 55 75 65 70 70 40 25 10 0 20 25 15 60 55 30 70 20 30 15 0 5 55 20 30 100 70 75 50 20 30 15 0 0 10 40 50 60 80 50 35 20 15 10 5 5 10 20 70 50 40 35 50 35 20 10 0 5 0 20 30 10 15 20 25 15 5 10 0 0
tobias van den elshout,Tobias van den Elshout,Feyenoord,188,12,8,0 0 0 0 17 17 50 50 17 17 0 0 0 0 0 17 0 33 67 100 67 50 17 0 0 0 17 0 67 33 0 50 50 50 50 50 0 33 17 17 17 50 0 33 0 17 67 17 17 50 0 50 50 67 67 67 67 83 67 33 17 33 0 83 33 0 33 33 33 67 33 0 33 17 17 67 83 0 50 83 83 17 33 50 0 0 33 33 33 67 67 50 67 67 17 33
givairo read,Givairo Read,Feyenoord,710,12,8,25 56 84 100 69 62 78 88 84 84 69 25 28 34 59 97 69 75 78 78 78 19 31 53 12 34 44 72 34 28 53 38 53 34 34 69 16 12 22 9 9 6 12 3 12 6 16 6 0 9 0 3 0 6 6 9 6 3 3 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
jordan bos,Jordan Bos,Feyenoord,1462,12,8,0 0 0 0 0 0 0 3 2 2 0 0 0 0 0 0 0 0 2 0 0 3 0 0 2 3 0 3 0 2 2 8 3 3 2 5 5 15 6 6 6 3 9 2 0 14 5 5 17 22 12 18 18 17 11 8 22 20 12 8 15 25 29 55 52 32 45 37 43 29 35 37 22 37 49 74 92 65 78 75 74 58 62 35 23 42 52 86 85 74 85 100 82 82 60 22
tsuyoshi watanabe,Tsuyoshi Watanabe,Feyenoord,1899,12,8,1 3 3 26 17 13 19 14 6 9 3 1 3 12 23 33 32 30 22 17 9 4 0 0 13 22 36 62 54 48 57 35 14 1 4 4 26 32 30 68 64 58 48 30 9 1 12 13 51 54 39 100 87 88 81 55 16 1 13 25 38 45 65 86 91 65 90 52 23 12 1 6 14 38 38 67 64 30 62 36 13 1 3 1 7 12 10 25 23 12 28 13 20 6 1 0
anel ahmedhodzic,Anel Ahmedhodžić,Feyenoord,1648,12,8,3 19 14 38 29 17 29 43 24 2 0 0 14 33 45 52 55 47 59 59 41 10 2 0 28 55 81 98 81 91 100 88 41 2 9 9 29 40 48 74 50 69 59 34 21 5 12 21 48 34 28 62 40 50 36 28 21 5 10 14 10 19 40 60 48 43 38 36 17 3 3 0 3 19 31 52 38 22 48 33 16 2 0 0 3 3 7 16 16 21 17 12 7 2 0 0
jeremiah st juste,Jeremiah St Juste,Feyenoord,125,12,8,0 0 0 9 9 9 0 0 0 0 0 0 18 9 0 0 27 27 0 18 9 0 0 0 0 27 18 36 73 36 27 36 9 9 0 0 9 0 18 100 45 36 27 9 0 0 9 0 0 0 27 45 45 0 9 0 0 0 9 0 9 9 45 36 0 27 27 9 9 0 0 0 0 0 0 18 55 9 9 18 0 0 0 0 0 0 0 0 9 36 0 0 9 0 0 0
jordan lotomba,Jordan Lotomba,Feyenoord,612,12,8,9 45 64 91 95 55 100 73 77 77 32 5 9 9 41 59 77 45 100 64 36 36 23 32 14 36 55 64 50 36 41 36 5 14 14 23 18 18 0 27 23 0 18 14 9 5 0 5 23 23 9 9 9 9 14 14 5 9 5 5 27 14 18 41 9 9 14 18 0 5 5 0 18 9 5 32 41 27 45 50 23 9 5 0 23 9 18 41 73 32 68 59 45 50 27 5
