squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Brest,2026,summer,in,Justin Bourgault,justin bourgault,Left-Back,20,France,AS Nancy,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1030153-1727207548.png?lm=1
Brest,2026,summer,in,Axel Camblan,axel camblan,Right Winger,22,France,Clermont Foot,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/924800-1764609816.jpg?lm=1
Brest,2026,summer,out,Daouda Guindo,daouda guindo,Left-Back,23,Mali,Stade Reims,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/671590-1722524207.png?lm=1
Brest,2026,summer,out,Saliou Diop,saliou diop,Centre-Forward,21,Senegal,Akademisk BK,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1237907-1758034442.jpg?lm=1
Brest,2026,summer,out,Junior Dina Ebimbe,junior dina ebimbe,Right Midfield,25,Cameroon,Frankfurt,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/536482-1663065378.jpg?lm=1
Brest,2026,summer,out,Junior Diaz,junior diaz,Centre-Back,22,Cote d'Ivoire,Troyes,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1009596-1693565221.png?lm=1
Brest,2026,summer,out,Soumaïla Coulibaly,soumaila coulibaly,Centre-Back,22,France,R. Strasbourg,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/659513-1657285323.jpg?lm=1
Brest,2026,summer,out,Rémy Labeau Lascary,remy labeau lascary,Centre-Forward,23,France,Lens,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/917778-1676913774.jpg?lm=1
Brest,2026,summer,out,Radoslaw Majecki,radoslaw majecki,Goalkeeper,26,Poland,Monaco,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/346546-1672484869.jpg?lm=1
Le Havre,2026,summer,in,Kaito Mizuta,kaito mizuta,Attacking Midfield,26,Japan,RW Essen,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/677794-1753387895.jpg?lm=1
Le Havre,2026,summer,in,Mokrane Bentoumi,mokrane bentoumi,Attacking Midfield,20,Algeria,Aubagne Air Bel,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Le Havre,2026,summer,in,Elysée Logbo,elysee logbo,Centre-Forward,22,France,Bourg-en-Bresse,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/770407-1741897086.jpg?lm=1
Le Havre,2026,summer,out,Issa Soumaré,issa soumare,Left Winger,25,Senegal,Stade Rennais,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/568698-1781647289.jpg?lm=1
Le Havre,2026,summer,out,Arouna Sangante,arouna sangante,Centre-Back,24,Senegal,Sevilla FC,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/768380-1738244271.jpg?lm=1
Le Havre,2026,summer,out,Kenny Quetant,kenny quetant,Centre-Forward,19,France,Werder Bremen,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1178695-1777327482.jpg?lm=1
Le Havre,2026,summer,out,Loïc Nego,loic nego,Right-Back,35,Hungary,Omonia Nicosia,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/122840-1700236720.jpg?lm=1
Le Havre,2026,summer,out,Yassine Kechta,yassine kechta,Central Midfield,24,Morocco,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/667967-1675949617.jpg?lm=1
Le Havre,2026,summer,out,Gautier Lloris,gautier lloris,Centre-Back,30,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/249636-1704795536.jpg?lm=1
Le Havre,2026,summer,out,Abdoulaye Touré,abdoulaye toure,Defensive Midfield,32,Guinea,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/181382-1485420758.jpg?lm=1
Le Havre,2026,summer,out,Étienne Youté Kinkoué,etienne youte kinkoue,Centre-Back,24,France,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/639712-1732894435.jpg?lm=1
Le Havre,2026,summer,out,Sofiane Boufal,sofiane boufal,Attacking Midfield,32,Morocco,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/232271-1668757196.jpg?lm=1
Le Havre,2026,summer,out,Lucas Gourna-Douath,lucas gourna-douath,Defensive Midfield,22,France,Salzburg,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/620313-1758627856.png?lm=1
Le Havre,2026,summer,out,Timothée Pembélé,timothee pembele,Right-Back,23,France,Sunderland,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/538998-1754900983.jpg?lm=1
Le Havre,2026,summer,out,Reda Khadra,reda khadra,Attacking Midfield,24,Germany,Stade Reims,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/405686-1723836051.png?lm=1
Lens,2026,summer,in,Saud Abdulhamid,saud abdulhamid,Right-Back,26,Saudi Arabia,Roma,3500000.0,€3.50m,https://img.a.transfermarkt.technology/portrait/medium/631927-1730124451.jpg?lm=1
