squad,player,norm_key,slot,apps,slot_dist,formation,sofa_id,number
Arsenal,Riccardo Calafiori,riccardo calafiori,LB,7,"{""LB"": 7}",4-2-3-1,957602.0,33.0
Arsenal,Ben White,ben white,RB,3,"{""RB"": 3}",4-2-3-1,846036.0,4.0
Arsenal,Myles Lewis-Skelly,myles lewis-skelly,LDM,3,"{""LB"": 1, ""LDM"": 3}",4-2-3-1,1423711.0,49.0
Arsenal,Cristhian Mosquera,cristhian mosquera,RCB,3,"{""RB"": 2, ""RCB"": 3}",4-3-3,1144630.0,3.0
Arsenal,Eberechi Eze,eberechi eze,RCM,5,"{""LW"": 4, ""LCM"": 2, ""RCM"": 5}",4-3-3,864921.0,10.0
Arsenal,Ben White,ben white,RB,6,"{""RB"": 6}",4-3-3,846036.0,4.0
Arsenal,Kepa Arrizabalaga,kepa arrizabalaga,GK,1,"{""GK"": 1}",4-2-3-1,232422.0,13.0
Arsenal,Christian Nørgaard,christian norgaard,RDM,1,"{""RDM"": 1}",4-2-3-1,135256.0,16.0
Arsenal,Max Dowman,max dowman,CM,1,"{""CM"": 1}",4-2-3-1,1917626.0,56.0
Arsenal,Gabriel Jesus,gabriel jesus,ST,1,"{""ST"": 1}",4-2-3-1,794839.0,9.0
Arsenal,Mikel Merino,mikel merino,LCM,3,"{""LCM"": 3, ""RCM"": 2, ""ST"": 3}",4-3-3,592010.0,23.0
Arsenal,Viktor Gyökeres,viktor gyokeres,ST,16,"{""ST"": 16}",4-3-3,804508.0,14.0
Arsenal,Mikel Merino,mikel merino,ST,2,"{""ST"": 2}",4-2-3-1,592010.0,23.0
Arsenal,Gabriel Martinelli,gabriel martinelli,LW,7,"{""LW"": 7}",4-3-3,922573.0,11.0
Arsenal,Myles Lewis-Skelly,myles lewis-skelly,LB,1,"{""LB"": 1}",4-3-3,1423711.0,49.0
Manchester City,Gianluigi Donnarumma,gianluigi donnarumma,GK,43,1.0,4-1-4-1,,
Manchester City,Matheus Nunes,matheus nunes,RB,49,1.0,4-1-4-1,,
Manchester City,Rayan Aït-Nouri,rayan ait-nouri,LB,25,1.0,4-1-4-1,,
Manchester City,Rodri,rodri,CM,32,1.0,4-1-4-1,,
Manchester City,Erling Haaland,erling haaland,ST,50,1.0,4-1-4-1,,
Manchester City,Nico O’Reilly,nico o'reilly,LCM,53,1.0,4-1-4-1,,
Manchester City,Bernardo Silva,bernardo silva,RCM,50,1.0,4-1-4-1,,
Manchester City,Phil Foden,phil foden,RM,48,1.0,4-1-4-1,,
Manchester City,Rayan Cherki,rayan cherki,LM,45,1.0,4-1-4-1,,
Manchester City,Abdukodir Khusanov,abdukodir khusanov,RCB,37,1.0,4-1-4-1,,
Manchester City,Rúben Dias,ruben dias,LCB,33,1.0,4-1-4-1,,
