sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
1087321,João Marques,Casa Pia,joao marques,6.88,13,6,609,1,0.2,1,1.02,2,0,3,1,33.33,119,179,66.48,3,11,27.27,7,51,4,13,8,14,57.14,10,1,10.0,298,100,1,31,7,41,58.57,17,13,56.67,58,58.0,13,6,46.15,4,3,0,2.0,0,0,4,15,20,2,0,0,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0
343909,Hélder Tavares,Tondela,helder tavares,6.64,20,6,597,0,0.04,0,0.19,0,0,1,0,0.0,154,193,79.79,12,27,44.44,2,45,5,15,0,1,0.0,3,2,66.67,302,53,2,32,4,25,54.35,12,11,52.17,37,53.62,16,10,62.5,8,27,1,2.0,0,0,3,14,10,1,1,0,0,0,0,13,0,0,12,1,0,0,0,0,0,0,0
1463265,Antoine Joujou,Famalicão,antoine joujou,6.72,23,4,594,3,1.96,1,1.04,1,4,18,9,16.67,144,184,78.26,6,8,75.0,8,42,5,10,8,32,25.0,22,3,13.64,337,110,8,35,8,29,38.67,9,8,52.94,38,41.3,15,10,66.67,6,3,4,0.0,0,0,8,6,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0
997025,Arnau Solà,Arouca,arnau sola,6.53,10,7,589,0,0.2,1,0.62,1,0,5,0,0.0,183,235,77.87,13,37,35.14,7,46,6,20,2,5,40.0,27,3,11.11,418,108,2,25,1,17,68.0,7,7,50.0,24,61.54,7,4,57.14,5,21,3,7.0,0,1,1,3,9,1,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0
1211830,Sidi Bane,AVS Futebol,sidi bane,6.46,9,6,587,1,0.57,0,0.07,0,1,6,2,16.67,192,231,83.12,15,26,57.69,2,23,8,14,3,4,75.0,4,1,25.0,329,58,0,17,2,17,56.67,11,6,64.71,28,59.57,6,2,33.33,2,21,1,3.0,0,0,1,13,8,1,0,0,0,0,0,16,0,0,15,1,0,0,0,0,0,0,0
1459634,Luis Fernando,Santa Clara,luis fernando,6.67,11,7,583,1,0.54,2,0.22,2,0,10,3,10.0,96,119,80.67,3,4,75.0,5,33,3,7,10,22,45.45,5,1,20.0,229,70,6,24,10,30,47.62,4,16,20.0,34,40.96,8,6,75.0,1,0,2,0.0,0,0,4,8,12,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0
1002443,Gustavo García,Famalicão,gustavo garcia,6.84,12,5,582,0,0.02,0,0.34,0,0,2,1,0.0,225,270,83.33,23,35,65.71,4,69,28,45,1,3,33.33,24,6,25.0,441,93,2,21,5,31,62.0,8,3,72.73,39,63.93,21,8,38.1,12,18,0,0.0,0,1,5,7,9,2,0,0,0,0,2,8,0,0,8,0,0,0,0,0,0,0,0
1397915,Moudjatovic,Tondela,moudjatovic,6.57,16,7,577,0,0.44,0,0.69,2,1,6,0,0.0,111,140,79.29,3,9,33.33,9,45,2,5,7,19,36.84,20,4,20.0,271,86,7,25,13,31,42.47,5,8,38.46,36,41.86,3,0,0.0,3,3,2,0.0,0,1,5,13,21,1,0,0,0,0,0,10,0,0,9,1,0,0,0,0,0,0,0
33541,Thiago Silva,Porto,thiago silva,7.01,8,6,576,0,0.16,0,0.29,1,0,3,2,0.0,479,516,92.83,12,26,46.15,2,48,15,29,1,1,100.0,1,1,100.0,578,39,2,27,0,8,72.73,17,4,80.95,25,78.13,4,1,25.0,6,27,0,2.0,0,0,1,2,4,0,0,0,0,0,3,7,0,0,6,1,0,0,0,0,0,0,0
1018546,Tiago Galletto,AVS Futebol,tiago galletto,6.67,16,3,573,0,0.06,0,0.04,0,0,2,0,0.0,113,144,78.47,11,22,50.0,2,10,6,12,0,0,0.0,1,0,0.0,238,46,0,17,7,34,65.38,12,15,44.44,46,58.23,22,14,63.64,4,18,0,1.0,0,0,4,9,14,3,0,0,0,0,0,10,0,0,8,2,0,0,0,0,0,0,0
