squad,player,position,injury,until,market_value_eur,tm_player_id,tm_photo,last_checked,active
Braga,Adrian Barisic,Centre-Back,Adductor injury,,4000000,625206,https://img.a.transfermarkt.technology/portrait/medium/625206-1758783943.jpg?lm=1,2026-07-07,true
Braga,Bright Arrey-Mbi,Centre-Back,unknown injury,,9000000,580193,https://img.a.transfermarkt.technology/portrait/medium/580193-1708164169.jpg?lm=1,2026-07-07,true
Braga,Sikou Niakaté,Centre-Back,Achilles tendon rupture,,6000000,413118,https://img.a.transfermarkt.technology/portrait/medium/413118-1729863558.jpg?lm=1,2026-07-07,true
Famalicão,Finn van Breemen,Centre-Back,Knee surgery,31/08/2026,1000000,705016,https://img.a.transfermarkt.technology/portrait/medium/705016-1676562295.jpg?lm=1,2026-07-07,true
Gil Vicente FC,Mohamed Bamba,Defensive Midfield,unknown injury,,1500000,1178475,https://img.a.transfermarkt.technology/portrait/medium/1178475-1723838539.png?lm=1,2026-07-07,true
Nacional,Ivanildo Fernandes,Centre-Back,unknown injury,,200000,340524,https://img.a.transfermarkt.technology/portrait/medium/340524-1579457375.jpeg?lm=1,2026-07-07,true
Nacional,Ulisses,Centre-Back,unknown injury,,1000000,678991,https://img.a.transfermarkt.technology/portrait/medium/678991-1598602878.jpg?lm=1,2026-07-07,true
Porto,Samu Aghehowa,Centre-Forward,Cruciate ligament tear,31/10/2026,45000000,991268,https://img.a.transfermarkt.technology/portrait/medium/991268-1732829288.jpg?lm=1,2026-07-07,true
Porto,Vasco Sousa,Central Midfield,Broken fibula,,2000000,575716,https://img.a.transfermarkt.technology/portrait/medium/575716-1725014523.png?lm=1,2026-07-07,true
Rio Ave,Brandon Aguilera,Central Midfield,Cruciate ligament tear,,1500000,631996,https://img.a.transfermarkt.technology/portrait/medium/631996-1737125377.jpg?lm=1,2026-07-07,true
Rio Ave,Cezary Miszta,Goalkeeper,Back problems,,5000000,487167,https://img.a.transfermarkt.technology/portrait/medium/487167-1737115990.jpg?lm=1,2026-07-07,true
Santa Clara,MT,Centre-Back,Cruciate ligament tear,,3500000,808475,https://img.a.transfermarkt.technology/portrait/medium/808475-1729963137.jpg?lm=1,2026-07-07,true
