player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,nationality,tm_position,tm_photo,fl_pos,fl_pos2,fl_group,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes
Gabriel Martinelli,Arsenal,"FW,MF",24,1081,0.08,0.33,2.41,1.08,3.083,0.083,0.667,0.833,1.167,0.417,45000000.0,Brazil,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/655488-1682689091.jpg?lm=1,LW,,LW,gabriel martinelli,2027-06-30,655488.0,2026-07-09T08:39:23,2019-07-02,,0.47,0.47,0.226,1.141,2.546,0.88,1,4,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.63,72.41,26.67,24.32,57.89,66.67,30.77,45.19,42.31,1.0843373493975903,0.3336422613531047,0.8341056533827618,0.5838739573679332,0.0834105653382761,0.0834105653382761,4.337349397590361,0.6672845227062094,0.6672845227062094,3.920296570898981,0.1668211306765523,1.3345690454124188,1.835032437442076,7.173308619091752,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1079.0
Jurriën Timber,Arsenal,DF,24,2454,0.11,0.18,0.92,0.26,1.685,0.879,1.282,1.392,1.062,0.0,70000000.0,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/420243-1702413077.jpg?lm=1,CB,RB,CB,jurrien timber,2028-06-30,420243.0,2026-07-09T08:39:23,2023-07-14,,0.147,0.147,0.094,1.018,0.909,0.416,3,5,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.91,85.25,38.46,13.04,39.39,56.06,66.67,54.31,57.2,0.9890109890109888,0.1465201465201465,1.9413919413919407,0.1098901098901098,0.2197802197802197,0.8791208791208791,3.553113553113553,1.465201465201465,1.3553113553113554,3.9194139194139193,0.0366300366300366,0.2564102564102564,0.4761904761904761,12.6007326007326,0.0,11.0,0.0,0.0,0.0,0.0,30.0,2457.0
Kai Havertz,Arsenal,"FW,MF",26,581,0.31,0.46,2.79,0.62,0.923,0.154,0.769,1.231,1.231,0.462,55000000.0,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/309400-1782889722.jpg?lm=1,FW,,ST,kai havertz,2028-06-30,309400.0,2026-07-09T08:39:23,2023-07-01,,0.757,0.757,0.225,1.701,2.784,0.699,2,3,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.73,74.1,33.33,0.0,50.0,62.5,40.48,45.24,42.86,1.69811320754717,0.3087478559176672,1.234991423670669,0.9262435677530017,0.1543739279588336,0.1543739279588336,2.1612349914236706,2.624356775300172,0.7718696397941681,2.9331046312178386,0.0,0.4631217838765008,0.4631217838765008,9.72555746140652,0.0,0.0,0.0,0.0,0.0,0.0,12.0,583.0
Kepa Arrizabalaga,Arsenal,GK,30,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,Spain,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/192279-1661855851.jpg?lm=1,,,,kepa arrizabalaga,2028-06-30,192279.0,2026-07-09T08:39:23,2025-07-01,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,66.7,0.0,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.0,75.0,37.5,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,90.0
Leandro Trossard,Arsenal,"FW,MF",30,2000,0.27,0.27,2.39,0.68,2.613,0.405,0.676,0.586,1.757,0.225,18000000.0,Belgium,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/144028-1702412939.jpg?lm=1,LW,,LW,leandro trossard,2027-06-30,144028.0,2026-07-09T08:39:23,2023-01-20,,0.3,0.3,0.222,1.599,2.354,0.603,6,6,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.95,77.01,41.89,24.14,44.64,62.96,31.58,47.37,45.93,1.6151545363908275,0.3589232303090728,0.6281156530408774,0.8075772681954138,0.1345962113659023,0.4037886340977069,3.589232303090728,0.2691924227318046,0.7627118644067797,4.037886340977069,0.0448654037886341,0.448654037886341,1.1216350947158524,12.607178464606182,0.0,4.0,0.0,0.0,0.0,0.0,31.0,2006.0
Martin Ødegaard,Arsenal,MF,26,1369,0.07,0.39,1.45,0.53,1.447,0.461,0.592,0.592,0.592,0.132,65000000.0,Norway,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/316264-1782847069.jpg?lm=1,AM,RW,RW,martin odegaard,2028-06-30,316264.0,2026-07-09T08:39:23,2021-08-20,,0.081,0.081,0.333,2.539,1.47,0.784,1,6,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.99,84.66,51.35,27.27,33.33,42.11,37.5,41.57,41.24,2.6277372262773726,0.3941605839416058,0.3941605839416058,0.3284671532846716,0.0,0.4598540145985402,4.598540145985401,0.1970802919708029,0.5255474452554745,2.4306569343065694,0.0656934306569343,1.248175182481752,0.5912408759124088,20.036496350364963,0.0,3.0,0.0,0.0,0.0,0.0,24.0,1370.0
Martín Zubimendi,Arsenal,MF,26,2992,0.15,0.03,0.81,0.27,0.392,1.175,1.175,0.994,0.452,0.03,75000000.0,Spain,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/423440-1684149419.jpg?lm=1,DM,,DM,martin zubimendi,2030-06-30,423440.0,2026-07-09T08:39:23,2025-07-06,,0.087,0.087,0.032,0.562,0.799,0.399,5,1,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.04,87.34,46.9,25.0,46.67,55.88,66.33,55.7,59.77,0.5698100633122293,0.0299900033322225,2.3392202599133625,0.2399200266577807,0.149950016661113,1.1696101299566812,3.478840386537821,1.9493502165944687,1.1396201266244586,2.6391202932355884,0.149950016661113,0.2099300233255581,0.2099300233255581,12.415861379540154,0.0,10.0,0.0,0.0,0.0,0.0,38.0,3001.0
Max Dowman,Arsenal,MF,15,157,0.57,0.0,3.44,0.57,3.529,0.588,1.176,1.176,4.118,0.0,30000000.0,England,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1187629-1773914587.jpg?lm=1,RW,,RW,max dowman,2025-07-01,1187629.0,2026-07-09T08:39:23,2025-07-01,,0.424,0.424,0.402,2.535,3.803,1.024,1,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.77,88.46,100.0,16.67,35.29,100.0,0.0,39.47,37.5,2.2222222222222223,0.0,0.0,0.5555555555555556,0.0,0.5555555555555556,7.222222222222222,0.0,1.1111111111111112,8.333333333333334,0.0,0.5555555555555556,3.333333333333333,14.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,6.0,162.0
Mikel Merino,Arsenal,"MF,FW",29,1036,0.35,0.26,1.91,0.69,0.348,0.783,1.13,1.913,1.739,0.261,25000000.0,Spain,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/338424-1716803831.jpg?lm=1,BX,,CM,mikel merino,2028-06-30,338424.0,2026-07-09T08:39:23,2024-08-27,,0.469,0.469,0.206,1.078,1.976,0.752,4,3,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.84,75.95,34.78,0.0,41.67,50.0,39.44,50.5,45.93,1.0434782608695652,0.3478260869565217,1.6521739130434785,0.5217391304347826,0.1739130434782608,0.8695652173913043,4.956521739130435,2.4347826086956523,1.1304347826086956,4.434782608695652,0.0,0.6956521739130435,0.4347826086956521,8.434782608695652,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1035.0
Myles Lewis-Skelly,Arsenal,"MF,DF",18,709,0.0,0.0,0.25,0.0,0.0,0.633,0.633,1.266,2.025,0.127,45000000.0,England,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/890721-1758053582.jpg?lm=1,LB,,LB,myles lewis-skelly,2030-06-30,890721.0,2026-07-09T08:39:23,2024-07-01,,0.017,0.017,0.024,0.541,0.27,0.287,0,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.66,91.62,56.25,0.0,80.0,62.5,35.29,58.18,52.78,0.4986149584487535,0.0,1.371191135734072,0.1246537396121883,0.1246537396121883,0.6232686980609419,3.739612188365651,0.7479224376731302,0.6232686980609419,3.988919667590028,0.1246537396121883,0.1246537396121883,0.997229916897507,9.97229916897507,0.0,2.0,0.0,0.0,0.0,0.0,20.0,722.0
