detected_at,team,previous_manager,detected_manager,change_type,accepted,source
2026-09-23 09:37,Atalanta,Raffaele Palladino,Maurizio Sarri,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Bologna,Vincenzo Italiano,Raffaele Palladino,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Lazio,Maurizio Sarri,Gennaro Gattuso,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Milan,Massimiliano Allegri,Ruben Amorim,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Napoli,Antonio Conte,Massimiliano Allegri,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Sassuolo,Fabio Grosso,Alberto Aquilani,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
2026-09-23 09:37,Torino,Roberto D'Aversa,Ignazio Abate,season,1,Wikipedia 2025-26 Serie A → 2026-27 Serie A
