detected_at,team,previous_manager,detected_manager,change_type,accepted,source
2026-09-21 10:17,Athletic Club,Ernesto Valverde,Edin Terzić,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Elche,Eder Sarabia,Martín Anselmi,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Osasuna,Alessio Lisci,Luis Miguel Ramis,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Rayo Vallecano,Iñigo Pérez,Beñat San José,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Real Madrid,Álvaro Arbeloa,José Mourinho,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Valencia,Carlos Corberán,Óscar Sánchez (caretaker),season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
2026-09-21 10:17,Villarreal,Marcelino,Iñigo Pérez,season,1,Wikipedia 2025-26 La Liga → 2026-27 La Liga
