squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
AVS Futebol,리그,por.1,2025-08-09,A,Arouca,1,3,1-3,L,completed,750250
AVS Futebol,리그,por.1,2025-08-15,H,Casa Pia,0,2,0-2,L,completed,750262
AVS Futebol,리그,por.1,2025-08-24,A,Braga,2,2,2-2,D,completed,750270
AVS Futebol,리그,por.1,2025-08-30,H,Famalicão,0,1,0-1,L,completed,750277
AVS Futebol,리그,por.1,2025-09-13,A,Estoril,1,3,1-3,L,completed,750290
AVS Futebol,리그,por.1,2025-09-20,H,Benfica,0,3,0-3,L,completed,750291
AVS Futebol,리그,por.1,2025-09-27,A,Estrela,0,3,0-3,L,completed,750307
AVS Futebol,리그,por.1,2025-10-04,H,Alverca,1,3,1-3,L,completed,750309
AVS Futebol,리그,por.1,2025-10-25,A,Santa Clara,0,2,0-2,L,completed,750324
AVS Futebol,리그,por.1,2025-11-02,H,Tondela,2,2,2-2,D,completed,750331
AVS Futebol,리그,por.1,2025-11-09,H,Gil Vicente FC,1,1,1-1,D,completed,750341
AVS Futebol,리그,por.1,2025-11-28,A,Vit. Guimarães,0,4,0-4,L,completed,750353
AVS Futebol,리그,por.1,2025-12-06,H,Rio Ave,1,2,1-2,L,completed,750357
AVS Futebol,리그,por.1,2025-12-13,A,Sporting CP,0,6,0-6,L,completed,750366
AVS Futebol,리그,por.1,2025-12-21,H,Nacional,2,2,2-2,D,completed,750376
AVS Futebol,리그,por.1,2025-12-29,A,Porto,0,2,0-2,L,completed,750389
AVS Futebol,리그,por.1,2026-01-03,H,Moreirense,0,2,0-2,L,completed,750397
AVS Futebol,리그,por.1,2026-01-17,H,Arouca,0,1,0-1,L,completed,750403
AVS Futebol,리그,por.1,2026-01-23,A,Casa Pia,3,3,3-3,D,completed,750408
AVS Futebol,리그,por.1,2026-02-02,H,Braga,0,4,0-4,L,completed,750420
AVS Futebol,리그,por.1,2026-02-09,A,Famalicão,1,3,1-3,L,completed,750433
