squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
Auxerre,Francisco Sierralta,371436,25/26,12,3,72,Muscle tear · Adductor pain · Dead leg,"[{""injury"": ""Muscle tear"", ""from"": ""02/01/2026"", ""until"": ""25/02/2026"", ""games"": 7}, {""injury"": ""Adductor pain"", ""from"": ""15/11/2025"", ""until"": ""24/11/2025"", ""games"": 3}, {""injury"": ""Dead leg"", ""from"": ""09/09/2025"", ""until"": ""15/09/2025"", ""games"": 2}]",2026-07-06
Auxerre,Theo Bair,501709,25/26,12,1,59,Syndesmosis ligament tear,"[{""injury"": ""Syndesmosis ligament tear"", ""from"": ""07/01/2026"", ""until"": ""06/03/2026"", ""games"": 12}]",2026-07-06
Auxerre,Gabriel Osho,364409,25/26,7,1,28,Toe injury,"[{""injury"": ""Toe injury"", ""from"": ""03/12/2025"", ""until"": ""30/12/2025"", ""games"": 7}]",2026-07-06
Auxerre,Sinaly Diomande,702441,25/26,7,2,59,Groin injury · Dead leg,"[{""injury"": ""Groin injury"", ""from"": ""13/09/2025"", ""until"": ""20/10/2025"", ""games"": 5}, {""injury"": ""Dead leg"", ""from"": ""19/08/2025"", ""until"": ""08/09/2025"", ""games"": 2}]",2026-07-06
Auxerre,Clément Akpa,806793,25/26,6,4,67,Adductor pain · Pelvic injury · Ill,"[{""injury"": ""Adductor pain"", ""from"": ""14/05/2026"", ""until"": ""22/06/2026"", ""games"": 1}, {""injury"": ""Pelvic injury"", ""from"": ""17/04/2026"", ""until"": ""24/04/2026"", ""games"": 1}, {""injury"": ""Ill"", ""from"": ""04/01/2026"", ""until"": ""16/01/2026"", ""games"": 3}, {""injury"": ""Adductor pain"", ""from"": ""11/09/2025"", ""until"": ""16/09/2025"", ""games"": 1}]",2026-07-06
Auxerre,Romain Faivre,555076,25/26,6,2,42,Knock · Injury to the ankle,"[{""injury"": ""Knock"", ""from"": ""01/05/2026"", ""until"": ""20/05/2026"", ""games"": 3}, {""injury"": ""Injury to the ankle"", ""from"": ""16/02/2026"", ""until"": ""09/03/2026"", ""games"": 3}]",2026-07-06
Auxerre,Elisha Owusu,395695,25/26,5,1,41,Muscle injury,"[{""injury"": ""Muscle injury"", ""from"": ""21/11/2025"", ""until"": ""31/12/2025"", ""games"": 5}]",2026-07-06
Auxerre,Lasso Coulibaly,658534,25/26,5,2,53,Ankle injury · Shoulder injury,"[{""injury"": ""Ankle injury"", ""from"": ""02/11/2025"", ""until"": ""08/12/2025"", ""games"": 4}, {""injury"": ""Shoulder injury"", ""from"": ""28/09/2025"", ""until"": ""13/10/2025"", ""games"": 1}]",2026-07-06
Auxerre,Fredrik Oppegard,539665,25/26,3,1,72,Ankle sprain,"[{""injury"": ""Ankle sprain"", ""from"": ""26/04/2026"", ""until"": """", ""games"": 3}]",2026-07-06
Auxerre,Marvin Senaya,830890,25/26,3,1,18,Muscle injury,"[{""injury"": ""Muscle injury"", ""from"": ""21/11/2025"", ""until"": ""08/12/2025"", ""games"": 3}]",2026-07-06
Auxerre,Donovan Léon,170911,25/26,2,1,15,Dead leg,"[{""injury"": ""Dead leg"", ""from"": ""20/04/2026"", ""until"": ""04/05/2026"", ""games"": 2}]",2026-07-06
Auxerre,Bryan Okoh,539795,25/26,1,1,55,Cruciate ligament tear,"[{""injury"": ""Cruciate ligament tear"", ""from"": ""13/05/2026"", ""until"": """", ""games"": 1}]",2026-07-06
Auxerre,Rudy Matondo,1241211,25/26,1,2,16,Injury to the ankle · Muscle injury,"[{""injury"": ""Injury to the ankle"", ""from"": ""30/01/2026"", ""until"": ""02/02/2026"", ""games"": 1}, {""injury"": ""Muscle injury"", ""from"": ""05/01/2026"", ""until"": ""16/01/2026"", ""games"": 0}]",2026-07-06
Auxerre,Assane Dioussé,287635,25/26,0,0,0,,[],2026-07-06
Auxerre,Gideon Mensah,397171,25/26,0,1,2,Muscle injury,"[{""injury"": ""Muscle injury"", ""from"": ""19/09/2025"", ""until"": ""20/09/2025"", ""games"": 0}]",2026-07-06
Auxerre,Ibrahim Osman,1110406,25/26,0,0,0,,[],2026-07-06
Auxerre,Josué Casimir,763182,25/26,0,0,0,,[],2026-07-06
Auxerre,Kévin Danois,743496,25/26,0,0,0,,[],2026-07-06
Auxerre,Lamine Sy,796865,25/26,0,0,0,,[],2026-07-06
Auxerre,Lassine Sinayoko,569140,25/26,0,0,0,,[],2026-07-06
Auxerre,Naouirou Ahamada,538971,25/26,0,0,0,,[],2026-07-06
Auxerre,Sekou Mara,557612,25/26,0,0,0,,[],2026-07-06
Auxerre,Théo De Percin,695422,25/26,0,0,0,,[],2026-07-06
Brest,Mama Samba Baldé,325223,25/26,16,4,190,Dead leg,"[{""injury"": ""Dead leg"", ""from"": ""15/05/2026"", ""until"": """", ""games"": 1}, {""injury"": ""Dead leg"", ""from"": ""22/03/2026"", ""until"": ""20/04/2026"", ""games"": 2}, {""injury"": ""Dead leg"", ""from"": ""05/01/2026"", ""until"": ""16/03/2026"", ""games"": 9}, {""injury"": ""Dead leg"", ""from"": ""15/09/2025"", ""until"": ""20/10/2025"", ""games"": 4}]",2026-07-06
Brest,Pierre Lees-Melou,377393,25/26,11,1,79,Shin injury,"[{""injury"": ""Shin injury"", ""from"": ""24/11/2025"", ""until"": ""10/02/2026"", ""games"": 11}]",2026-07-06
Brest,Bradley Locko,805908,25/26,10,3,69,Hamstring injury · Dead leg,"[{""injury"": ""Hamstring injury"", ""from"": ""17/04/2026"", ""until"": ""14/05/2026"", ""games"": 5}, {""injury"": ""Hamstring injury"", ""from"": ""30/01/2026"", ""until"": ""16/02/2026"", ""games"": 3}, {""injury"": ""Dead leg"", ""from"": ""09/11/2025"", ""until"": ""01/12/2025"", ""games"": 2}]",2026-07-06
Brest,Soumaïla Coulibaly,659513,25/26,10,4,101,Shin injury · Dead leg · Muscle injury · Calf injury,"[{""injury"": ""Shin injury"", ""from"": ""08/05/2026"", ""until"": ""01/06/2026"", ""games"": 3}, {""injury"": ""Dead leg"", ""from"": ""02/02/2026"", ""until"": ""16/02/2026"", ""games"": 2}, {""injury"": ""Muscle injury"", ""from"": ""23/12/2025"", ""until"": ""03/01/2026"", ""games"": 0}, {""injury"": ""Calf injury"", ""from"": ""26/07/2025"", ""until"": ""12/09/2025"", ""games"": 5}]",2026-07-06
Brest,Kamory Doumbia,671594,25/26,9,2,59,Adductor pain · Knee injury,"[{""injury"": ""Adductor pain"", ""from"": ""21/03/2026"", ""until"": ""27/04/2026"", ""games"": 5}, {""injury"": ""Knee injury"", ""from"": ""24/10/2025"", ""until"": ""13/11/2025"", ""games"": 4}]",2026-07-06
Brest,Lucas Tousart,353948,25/26,7,1,56,Dead leg,"[{""injury"": ""Dead leg"", ""from"": ""12/08/2025"", ""until"": ""06/10/2025"", ""games"": 7}]",2026-07-06
Brest,Radosław Majecki,346546,25/26,3,1,20,Knee injury,"[{""injury"": ""Knee injury"", ""from"": ""18/11/2025"", ""until"": ""07/12/2025"", ""games"": 3}]",2026-07-06
Brest,Rémy Labeau Lascary,917778,25/26,3,2,24,Muscle injury · Elbow injury,"[{""injury"": ""Muscle injury"", ""from"": ""24/10/2025"", ""until"": ""30/10/2025"", ""games"": 2}, {""injury"": ""Elbow injury"", ""from"": ""29/09/2025"", ""until"": ""15/10/2025"", ""games"": 1}]",2026-07-06
Brest,Junior Dina Ebimbe,536482,25/26,1,2,35,Muscle injury · Knock,"[{""injury"": ""Muscle injury"", ""from"": ""15/05/2026"", ""until"": ""16/06/2026"", ""games"": 1}, {""injury"": ""Knock"", ""from"": ""12/09/2025"", ""until"": ""13/09/2025"", ""games"": 0}]",2026-07-06
Brest,Romain Del Castillo,353399,25/26,1,1,6,Muscle injury,"[{""injury"": ""Muscle injury"", ""from"": ""02/10/2025"", ""until"": ""07/10/2025"", ""games"": 1}]",2026-07-06
Brest,Axel Camblan,924800,25/26,0,0,0,,[],2026-07-06
Brest,Brendan Chardonnet,250779,25/26,0,0,0,,[],2026-07-06
Brest,Daouda Guindo,671590,25/26,0,0,0,,[],2026-07-06
Brest,Grégoire Coudert,525155,25/26,0,0,0,,[],2026-07-06
Brest,Hamidou Makalou,1200289,25/26,0,0,0,,[],2026-07-06
Brest,Hugo Magnetti,474662,25/26,0,0,0,,[],2026-07-06
Brest,Ibrahim Kanté,1131159,25/26,0,0,0,,[],2026-07-06
Brest,Joris Chotard,624037,25/26,0,0,0,,[],2026-07-06
Brest,Julien Le Cardinal,794349,25/26,0,0,0,,[],2026-07-06
Brest,Junior Diaz,1009596,25/26,0,0,0,,[],2026-07-06
Brest,Justin Bourgault,1030153,25/26,0,0,0,,[],2026-07-06
Brest,Kenny Lala,174196,25/26,0,0,0,,[],2026-07-06
Brest,Luck Zogbé,1144999,25/26,0,0,0,,[],2026-07-06
Brest,Ludovic Ajorque,283994,25/26,0,0,0,,[],2026-07-06
Brest,Pathé Mboup,979551,25/26,0,0,0,,[],2026-07-06
Brest,Raphael Le Guen,1166473,25/26,0,0,0,,[],2026-07-06
Brest,Sérigné Diop,1237907,25/26,0,0,0,,[],2026-07-06
Le Havre,Abdoulaye Touré,181382,25/26,24,3,241,Knee injury · Leg injury · Hamstring injury,"[{""injury"": ""Knee injury"", ""from"": ""23/11/2025"", ""until"": """", ""games"": 22}, {""injury"": ""Leg injury"", ""from"": ""15/09/2025"", ""until"": ""19/09/2025"", ""games"": 0}, {""injury"": ""Hamstring injury"", ""from"": ""14/08/2025"", ""until"": ""23/08/2025"", ""games"": 2}]",2026-07-06
Le Havre,Reda Khadra,405686,25/26,11,2,104,Shoulder injury · Knee injury,"[{""injury"": ""Shoulder injury"", ""from"": ""12/12/2025"", ""until"": ""07/03/2026"", ""games"": 9}, {""injury"": ""Knee injury"", ""from"": ""03/10/2025"", ""until"": ""20/10/2025"", ""games"": 2}]",2026-07-06
Le Havre,Mbwana Samatta,182201,25/26,9,3,51,Knock · Dead leg · Muscle injury,"[{""injury"": ""Knock"", ""from"": ""29/01/2026"", ""until"": ""02/02/2026"", ""games"": 1}, {""injury"": ""Dead leg"", ""from"": ""27/10/2025"", ""until"": ""24/11/2025"", ""games"": 5}, {""injury"": ""Muscle injury"", ""from"": ""29/09/2025"", ""until"": ""15/10/2025"", ""games"": 3}]",2026-07-06
Le Havre,Sofiane Boufal,232271,25/26,6,1,21,Hamstring injury,"[{""injury"": ""Hamstring injury"", ""from"": ""26/08/2025"", ""until"": ""15/09/2025"", ""games"": 6}]",2026-07-06
