detected_at,team,previous_manager,detected_manager,change_type,accepted,source
2026-09-19 09:10,Frankfurt,Albert Riera,Adi Hütter,season,1,Wikipedia 2025-26 Bundesliga → 2026-27 Bundesliga
2026-09-19 09:10,Gladbach,Eugen Polanski,Jan-Moritz Lichte,season,1,Wikipedia 2025-26 Bundesliga → 2026-27 Bundesliga
2026-09-19 09:10,Leverkusen,Kasper Hjulmand,Carles Martínez Novell,season,1,Wikipedia 2025-26 Bundesliga → 2026-27 Bundesliga
2026-09-19 09:10,RB Leipzig,Ole Werner,Martín Demichelis,season,1,Wikipedia 2025-26 Bundesliga → 2026-27 Bundesliga
2026-09-19 09:10,Union Berlin,Marie-Louise Eta (interim),Mauro Lustrinelli,season,1,Wikipedia 2025-26 Bundesliga → 2026-27 Bundesliga
