squad,gw,date,home_away,opponent,gf,ga,score,result
Cercle Brugge,7,2025-09-14,H,Charleroi,2,3,2:3,L
Cercle Brugge,8,2025-09-21,A,Mechelen,0,0,0:0,D
Cercle Brugge,9,2025-09-28,H,Gent,2,4,2:4,L
Cercle Brugge,10,2025-10-04,A,Antwerp,1,1,1:1,D
Cercle Brugge,11,2025-10-19,H,Genk,2,2,2:2,D
Cercle Brugge,12,2025-10-26,H,Zulte Waregem,1,1,1:1,D
Cercle Brugge,13,2025-11-02,A,La Louvière,1,2,1:2,L
Cercle Brugge,14,2025-11-08,H,OH Leuven,1,2,1:2,L
Cercle Brugge,15,2025-11-22,A,Union SG,0,2,0:2,L
Cercle Brugge,16,2025-11-29,A,Zulte Waregem,1,1,1:1,D
Cercle Brugge,17,2025-12-06,H,Standard Liège,1,2,1:2,L
Cercle Brugge,18,2025-12-13,H,Mechelen,2,3,2:3,L
Cercle Brugge,19,2025-12-21,A,OH Leuven,2,0,2:0,W
Cercle Brugge,20,2025-12-26,H,Union SG,1,1,1:1,D
Cercle Brugge,21,2026-01-17,A,Westerlo,2,0,2:0,W
Cercle Brugge,22,2026-01-25,A,Genk,1,1,1:1,D
Cercle Brugge,23,2026-01-31,H,Antwerp,0,4,0:4,L
Cercle Brugge,24,2026-02-07,A,Charleroi,4,3,4:3,W
Cercle Brugge,25,2026-02-15,H,Club Brugge,1,2,1:2,L
Cercle Brugge,26,2026-02-20,A,Gent,1,0,1:0,W
Cercle Brugge,27,2026-03-01,H,Dender,0,0,0:0,D
Cercle Brugge,28,2026-03-08,A,Sint-Truiden,1,2,1:2,L
Cercle Brugge,29,2026-03-15,H,La Louvière,1,3,1:3,L
Cercle Brugge,30,2026-03-22,A,Anderlecht,3,2,3:2,W
Charleroi,1,2025-07-27,A,OH Leuven,2,2,2:2,D
Charleroi,1,2026-04-05,A,Westerlo,0,2,0:2,L
Charleroi,2,2025-08-03,H,Sint-Truiden,1,1,1:1,D
Charleroi,2,2026-04-10,H,Antwerp,2,1,2:1,W
Charleroi,3,2025-08-10,A,La Louvière,0,1,0:1,L
Charleroi,3,2026-04-18,H,Standard Liège,1,2,1:2,L
Charleroi,4,2025-08-17,H,Antwerp,1,1,1:1,D
Charleroi,4,2026-04-21,A,Genk,1,1,1:1,D
Charleroi,5,2025-09-17,A,Genk,1,0,1:0,W
Charleroi,5,2026-04-25,A,OH Leuven,2,0,2:0,W
Charleroi,6,2025-08-30,H,Dender,3,1,3:1,W
Charleroi,6,2026-05-02,H,Genk,2,0,2:0,W
Charleroi,7,2025-09-14,A,Cercle Brugge,3,2,3:2,W
Charleroi,7,2026-05-10,A,Antwerp,1,0,1:0,W
Charleroi,8,2025-09-20,H,Zulte Waregem,1,2,1:2,L
Charleroi,8,2026-05-16,H,Westerlo,0,1,0:1,L
Charleroi,9,2025-09-28,H,Mechelen,0,2,0:2,L
Charleroi,9,2026-05-19,H,OH Leuven,1,1,1:1,D
Charleroi,10,2025-10-03,A,Gent,1,2,1:2,L
Charleroi,10,2026-05-23,A,Standard Liège,2,0,2:0,W
Charleroi,11,2025-10-18,A,Union SG,1,3,1:3,L
Charleroi,12,2025-10-24,H,Anderlecht,1,0,1:0,W
Charleroi,13,2025-10-31,A,Standard Liège,1,3,1:3,L
Charleroi,14,2025-11-08,H,Westerlo,2,0,2:0,W
Charleroi,15,2025-11-22,A,Club Brugge,0,1,0:1,L
Charleroi,16,2025-11-29,H,La Louvière,0,0,0:0,D
Charleroi,17,2025-12-07,A,Mechelen,0,1,0:1,L
Charleroi,18,2025-12-14,H,Union SG,1,1,1:1,D
Charleroi,19,2025-12-19,H,Genk,2,2,2:2,D
Charleroi,20,2025-12-26,A,Anderlecht,2,1,2:1,W
Charleroi,21,2026-01-18,H,Standard Liège,2,0,2:0,W
Charleroi,22,2026-01-25,A,Antwerp,2,0,2:0,W
Charleroi,23,2026-01-31,A,Sint-Truiden,2,0,2:0,W
Charleroi,24,2026-02-07,H,Cercle Brugge,3,4,3:4,L
Charleroi,25,2026-02-14,H,Gent,2,3,2:3,L
Charleroi,26,2026-02-22,A,Westerlo,1,2,1:2,L
Charleroi,27,2026-03-01,H,Club Brugge,1,2,1:2,L
Charleroi,28,2026-03-07,A,Dender,2,2,2:2,D
Charleroi,29,2026-03-14,H,OH Leuven,0,2,0:2,L
Charleroi,30,2026-03-22,A,Zulte Waregem,0,1,0:1,L
Club Brugge,1,2025-07-27,H,Genk,2,1,2:1,W
Club Brugge,1,2026-04-06,H,Anderlecht,4,2,4:2,W
Club Brugge,2,2025-08-01,A,Mechelen,1,2,1:2,L
Club Brugge,2,2026-04-11,A,Sint-Truiden,2,1,2:1,W
Club Brugge,3,2025-08-09,H,Cercle Brugge,2,0,2:0,W
Club Brugge,3,2026-04-19,A,Union SG,1,2,1:2,L
Club Brugge,4,2025-08-16,A,Zulte Waregem,1,0,1:0,W
Club Brugge,4,2026-04-22,H,Mechelen,6,1,6:1,W
Club Brugge,5,2025-09-24,H,Westerlo,5,5,5:5,D
Club Brugge,5,2026-04-26,A,Gent,2,0,2:0,W
Club Brugge,6,2025-08-31,A,Gent,1,1,1:1,D
Club Brugge,6,2026-05-03,A,Anderlecht,3,1,3:1,W
Club Brugge,7,2025-09-13,A,La Louvière,0,1,0:1,L
Club Brugge,7,2026-05-09,H,Sint-Truiden,2,0,2:0,W
Club Brugge,8,2025-09-21,H,Sint-Truiden,2,0,2:0,W
Club Brugge,8,2026-05-17,H,Union SG,5,0,5:0,W
Club Brugge,9,2025-09-27,A,Standard Liège,2,1,2:1,W
Club Brugge,9,2026-05-21,A,Mechelen,2,2,2:2,D
Club Brugge,10,2025-10-05,H,Union SG,1,0,1:0,W
