sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
865523,Noah Okafor,Leeds United,noah okafor,6.94,28,19,1573,8,5.26,1,1.32,4,4,35,15,22.86,253,332,76.2,22,28,78.57,20,107,18,27,39,92,42.39,37,7,18.92,708,263,11,61,31,76,40.0,12,20,37.5,88,39.64,23,15,65.22,12,16,10,1,0,0,13,18,14,3,0,0,0,0,0,26,0,0,23,3,0,0,0,0,0,0,0
894474,Max Kilman,West Ham United,max kilman,6.56,21,17,1565,0,0.57,0,0.31,0,2,7,1,0.0,604,687,87.92,27,76,35.53,4,43,13,44,4,5,80.0,3,1,33.33,916,98,0,43,5,22,44.0,47,35,57.32,69,52.27,16,8,50.0,9,111,2,24,0,0,7,16,2,4,0,0,0,0,1,37,0,0,35,2,0,0,0,0,0,0,0
1142675,Chemsdine Talbi,Sunderland,chemsdine talbi,6.63,28,16,1561,4,2.13,1,1.19,0,2,25,10,16.0,327,402,81.34,13,23,56.52,12,108,10,17,16,36,44.44,49,7,14.29,637,192,4,61,11,28,36.36,1,13,7.14,29,31.87,11,6,54.55,2,17,5,1,2,0,13,5,1,0,0,0,0,0,2,14,0,0,10,4,0,0,0,0,0,0,0
905163,Mohammed Kudus,Tottenham Hotspur,mohammed kudus,6.86,19,19,1545,2,1.93,5,2.4,3,3,26,9,7.69,380,444,85.59,19,27,70.37,25,178,17,25,52,102,50.98,122,28,22.95,931,331,12,95,54,96,41.03,11,18,37.93,107,40.68,29,19,65.52,3,6,10,0,0,1,12,23,15,3,0,0,0,0,2,20,0,0,13,7,0,0,0,0,0,0,0
875360,Hjalmar Ekdal,Burnley,hjalmar ekdal,6.67,19,17,1539,0,0.26,0,0.27,0,1,6,1,0.0,579,681,85.02,30,78,38.46,4,38,18,44,2,4,50.0,1,0,0.0,925,116,0,49,4,31,67.39,52,32,61.9,83,63.85,24,16,66.67,12,125,2,13,1,1,4,5,7,0,0,0,0,0,2,34,0,0,29,5,0,0,0,0,0,0,0
839981,Lucas Paquetá,West Ham United,lucas paqueta,6.91,18,18,1521,4,2.82,1,2.11,6,1,23,11,17.39,608,789,77.06,25,49,51.02,23,203,27,66,16,42,38.1,35,7,20.0,1141,314,9,76,27,85,48.3,38,51,42.7,123,46.42,39,22,56.41,8,17,6,6,0,1,12,28,30,5,1,0,0,0,1,32,0,0,30,2,0,0,0,0,0,0,0
792122,Josh Cullen,Burnley,josh cullen,6.91,18,18,1519,2,0.9,2,1.35,4,0,11,6,18.18,728,866,84.06,42,96,43.75,13,164,36,84,2,6,33.33,12,1,8.33,1084,183,3,73,10,49,55.68,17,16,51.52,66,54.55,31,18,58.06,22,35,4,11,0,2,12,16,18,2,0,0,0,0,2,29,0,0,27,2,0,0,0,0,0,0,0
827606,Rodri,Manchester City,rodri,7.43,21,17,1513,1,1.13,0,2.59,2,0,16,3,6.25,1458,1618,90.11,90,131,68.7,25,340,94,134,7,15,46.67,6,1,16.67,1869,203,10,107,11,79,62.2,39,11,78.0,118,66.67,41,22,53.66,14,41,6,3,0,3,15,14,31,3,0,0,0,0,3,15,0,0,12,3,0,0,0,0,0,0,0
794953,Kevin Danso,Tottenham Hotspur,kevin danso,6.84,24,17,1507,0,0.59,0,0.27,1,0,11,2,0.0,829,954,86.9,35,97,36.08,3,71,31,62,2,3,66.67,7,0,0.0,1305,197,0,45,4,41,53.95,79,44,64.23,120,60.3,27,12,44.44,25,135,5,11,1,1,9,21,13,8,0,0,0,0,4,25,0,0,19,6,0,0,0,0,0,0,0
1085950,Tim Iroegbunam,Everton,tim iroegbunam,6.75,29,17,1505,0,0.6,2,0.71,3,0,12,1,0.0,399,490,81.43,9,17,52.94,8,108,11,21,15,40,37.5,3,0,0.0,794,173,4,78,28,103,53.93,22,16,57.89,125,54.59,68,45,66.18,22,9,4,12,1,2,7,29,20,9,0,0,0,0,3,18,0,0,17,1,0,0,0,0,0,0,0
1142335,Archie Gray,Tottenham Hotspur,archie gray,6.6,24,18,1500,2,1.48,2,1.18,3,0,11,5,18.18,448,539,83.12,21,52,40.38,8,108,24,52,7,16,43.75,12,4,33.33,766,150,2,57,17,20,33.9,9,16,36.0,29,34.52,11,8,72.73,17,44,3,4,1,0,1,12,2,5,0,0,0,0,2,28,0,0,20,8,0,0,0,0,0,0,0
