player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Enric Llansana,Anderlecht,MF,24,1710,0.0,0.05,0.95,0.05,0.263,1.0,2.421,2.579,0.947,0.053,2000000.0,0,0.0,0.05,0.15,0.95,0,0,1,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.75,82.42,60.32,20.0,27.27,72.58,52.31,46.89,48.35,0.9479227618490346,0.1579871269748391,2.0011702750146285,0.2106495026331188,0.3686366296079579,0.8952603861907549,5.002925687536572,1.7905207723815098,2.3698069046225867,4.370977179637215,0.0526623756582797,0.5792861322410767,0.1579871269748391,11.849034523112932,0.0,3.0,0.0,0.0,0.0,0.0,29.0,1709.0,Netherlands,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/412945-1690212386.jpg?lm=1,enric llansana,2029-06-30,412945,2026-07-07T15:50:45,2025-07-01,
Ibrahim Kanaté,Anderlecht,FW,18,362,0.5,0.0,2.98,1.24,4.25,0.5,2.5,1.25,1.5,0.75,1000000.0,0,0.5,0.0,0.0,2.98,0,2,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.72,82.11,0.0,5.56,48.65,61.54,27.27,48.1,45.56,0.7336956521739131,0.0,1.4673913043478262,1.2228260869565215,0.0,0.4891304347826087,5.135869565217392,0.7336956521739131,1.956521739130435,9.293478260869566,0.0,0.9782608695652176,4.402173913043479,13.45108695652174,0.0,0.0,0.0,0.0,0.0,0.0,19.0,368.0,Mali,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/1132628-1753700514.jpg?lm=1,ibrahim kanate,,,,,
Ilay Camara,Anderlecht,"DF,MF",22,1303,0.14,0.07,1.04,0.48,2.552,1.862,0.966,1.793,0.828,0.276,3500000.0,0,0.14,0.07,0.21,1.04,0,2,1,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.56,83.54,36.36,18.92,50.0,73.68,23.08,39.62,36.36,1.5801526717557253,0.3435114503816794,1.236641221374046,0.1374045801526717,0.1374045801526717,2.1297709923664123,4.946564885496184,0.4122137404580153,0.9618320610687024,2.885496183206107,0.0,0.2061068702290076,0.7557251908396947,13.877862595419847,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1310.0,Senegal,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/570781-1779366722.jpg?lm=1,ilay camara,2030-06-30,570781,2026-07-07T15:50:45,2025-07-05,
Jan-Carlo Simic,Anderlecht,DF,20,177,0.0,0.0,0.51,0.0,0.0,2.0,2.0,0.5,1.0,0.0,12000000.0,0,0.0,0.0,0.0,0.51,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.45,84.16,36.36,0.0,0.0,75.0,44.44,75.0,58.82,0.0,0.0,4.044943820224719,0.0,0.5056179775280899,1.5168539325842696,3.033707865168539,2.02247191011236,1.5168539325842696,3.033707865168539,0.5056179775280899,0.0,0.0,5.561797752808989,0.0,0.0,0.0,0.0,0.0,0.0,2.0,178.0,Serbia,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/800948-1716239984.jpg?lm=1,jan-carlo simic,,,,,
Joshua Bethume,Anderlecht,MF,16,36,0.0,0.0,5.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.37,75.0,0.0,0.0,0.0,100.0,0.0,33.33,33.33,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,2.4324324324324325,2.4324324324324325,0.0,0.0,0.0,7.297297297297297,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,,,,joshua bethume,,,,,
Justin Heekeren,Anderlecht,GK,24,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0,0.0,0.0,0.0,0.0,0,0,0,60.0,0.0,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.4,64.52,29.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,0.0,0.5,0.0,0.0,0.0,2.0,180.0,Germany,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/453770-1730797362.jpg?lm=1,justin heekeren,2029-06-30,453770,2026-07-07T15:50:45,2026-01-20,
Kasper Dolberg,Anderlecht,FW,27,123,0.0,0.0,5.12,2.93,0.0,0.0,0.0,0.0,0.714,0.0,7000000.0,0,0.0,0.0,0.0,5.12,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.5,86.21,0.0,0.0,25.0,0.0,33.33,28.57,30.0,0.7377049180327868,0.0,0.0,0.0,0.7377049180327868,0.0,1.4754098360655736,0.7377049180327868,0.0,1.4754098360655736,0.0,0.7377049180327868,0.7377049180327868,11.803278688524587,0.0,0.0,0.0,0.0,0.0,0.0,3.0,122.0,Denmark,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/283196-1725633296.jpg?lm=1,kasper dolberg,,,,,
Killian Sardella,Anderlecht,DF,23,2041,0.0,0.04,1.01,0.26,2.115,0.881,0.881,1.278,0.705,0.044,2500000.0,0,0.0,0.04,0.12,1.01,0,0,1,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.66,84.07,45.67,13.21,63.64,60.61,51.52,52.1,51.89,0.8284883720930233,0.1308139534883721,3.226744186046512,0.436046511627907,0.6976744186046512,0.9593023255813954,4.316860465116279,1.4825581395348837,0.872093023255814,2.703488372093023,0.0872093023255814,0.2180232558139535,0.6104651162790697,9.593023255813954,0.0,4.0,0.0,0.0,0.0,0.0,32.0,2064.0,Belgium,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/454336-1660676236.jpg?lm=1,killian sardella,2028-06-30,454336,2026-07-07T15:50:45,2019-07-01,
Lucas Hey,Anderlecht,DF,22,2516,0.0,0.0,0.36,0.04,0.071,1.036,0.679,0.893,0.714,0.0,2500000.0,0,0.0,0.0,0.0,0.36,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.83,85.07,38.8,0.0,100.0,72.0,59.48,59.26,59.39,0.1065088757396449,0.0355029585798816,5.431952662721893,0.1775147928994082,0.9585798816568049,0.9940828402366864,3.7633136094674553,2.4497041420118344,0.6390532544378698,1.7041420118343191,0.0355029585798816,0.1065088757396449,0.1420118343195266,4.93491124260355,0.0,8.0,0.0,0.0,0.0,0.0,32.0,2535.0,Denmark,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/728924-1684943150.jpg?lm=1,lucas hey,2029-06-30,728924,2026-07-07T15:50:45,2025-01-21,
Ludwig Augustinsson,Anderlecht,DF,31,2073,0.0,0.13,0.91,0.13,3.652,0.826,1.13,1.13,0.391,0.13,1500000.0,0,0.0,0.13,0.39,0.91,0,0,3,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.89,80.47,32.14,28.05,25.0,50.0,53.93,48.67,50.99,1.2536023054755043,0.2161383285302593,3.760806916426513,0.345821325648415,0.5187319884726225,0.8213256484149856,3.6743515850144095,2.07492795389049,0.9510086455331412,2.377521613832853,0.0,0.2161383285302593,0.0864553314121037,12.925072046109513,0.0,6.0,0.0,0.0,0.0,0.0,27.0,2082.0,Sweden,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/170646-1693900836.jpg?lm=1,ludwig augustinsson,2027-06-30,170646,2026-07-07T15:50:45,2024-08-06,
