norm_key,name,team,n_points,gw,gh,grid
christian norgaard,Christian Nørgaard,Arsenal,108,12,8,0 20 0 20 0 0 40 60 40 20 0 0 0 20 0 80 40 40 60 40 20 0 20 0 40 60 40 60 100 40 60 80 60 60 20 20 0 60 20 40 0 80 20 40 20 20 0 0 20 60 0 80 20 20 0 60 0 0 0 0 0 40 20 20 20 100 20 60 20 0 20 0 0 0 0 20 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0
reiss nelson,Reiss Nelson,Arsenal,128,12,8,0 0 0 0 14 0 29 14 29 0 14 0 0 0 0 0 29 0 0 43 14 29 14 0 0 0 29 29 29 14 0 14 0 14 0 0 0 0 0 0 29 14 14 29 29 29 0 0 0 14 0 14 0 14 29 14 29 29 29 14 0 0 14 0 57 57 57 43 57 57 14 57 0 14 14 29 29 14 29 100 57 29 29 14 0 14 0 0 14 0 14 100 71 71 29 57
gabriel magalhaes,Gabriel Magalhães,Arsenal,1734,12,8,1 1 3 3 4 3 0 3 0 3 1 0 5 5 4 3 0 5 3 4 1 3 1 0 12 13 12 19 17 21 16 13 3 5 8 5 34 30 16 40 30 29 25 13 8 0 6 25 45 56 40 79 71 73 49 32 29 3 21 16 47 60 70 100 92 65 62 60 29 10 1 4 25 47 58 87 64 43 56 55 49 9 0 0 13 21 22 18 32 13 32 23 9 6 3 0
william saliba,William Saliba,Arsenal,1851,12,8,16 37 33 29 39 34 42 34 21 9 2 0 15 28 48 72 73 39 44 51 39 10 1 1 26 48 71 100 91 76 78 74 24 11 2 2 33 38 38 88 66 48 48 29 16 0 9 3 12 20 15 47 25 20 21 10 3 1 1 8 9 6 8 13 10 10 13 6 0 1 6 1 3 4 6 10 12 7 2 6 2 0 0 0 3 1 1 7 4 3 1 1 0 0 0 0
piero hincapie,Piero Hincapié,Arsenal,1196,12,8,5 5 7 5 2 2 9 0 2 2 0 0 12 9 9 7 0 0 7 0 0 2 0 2 12 12 12 12 26 7 9 5 2 0 7 0 30 21 9 40 33 21 19 7 9 2 5 9 40 47 33 60 47 35 44 37 12 9 7 14 37 77 49 91 53 47 56 42 16 16 19 9 60 49 49 91 72 65 56 77 58 42 26 28 35 37 44 98 100 84 91 74 91 81 56 28
jurrien timber,Jurriën Timber,Arsenal,1434,12,8,28 36 46 93 85 61 82 100 84 84 46 16 18 25 33 64 76 58 57 88 88 43 48 28 12 22 25 46 45 36 42 48 37 19 28 40 13 16 12 21 15 10 18 13 10 7 10 18 10 7 6 15 10 7 4 6 4 3 6 10 3 1 1 4 6 6 4 3 4 7 4 0 3 4 4 1 1 1 1 1 3 3 0 3 1 1 0 1 4 1 1 3 1 1 1 0
riccardo calafiori,Riccardo Calafiori,Arsenal,1087,12,8,0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 4 0 0 2 0 8 0 0 0 4 0 2 2 8 0 12 12 4 8 10 6 8 2 10 10 10 10 10 6 17 10 10 19 17 29 8 23 12 21 23 19 23 15 23 15 25 27 33 56 52 31 38 56 46 40 25 19 19 40 44 62 77 40 54 73 69 42 27 25 29 44 56 100 96 69 92 98 67 69 58 25
cristhian mosquera,Cristhian Mosquera,Arsenal,818,12,8,12 44 49 53 70 26 67 49 58 30 26 5 23 44 49 67 42 40 60 58 37 14 9 0 12 21 51 100 84 63 53 47 21 5 7 2 23 23 21 70 33 37 40 16 5 0 7 5 16 7 12 23 9 28 9 14 0 5 2 7 2 2 5 5 23 7 7 0 7 0 12 0 2 0 5 2 5 2 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0
myles lewis-skelly,Myles Lewis-Skelly,Arsenal,531,12,8,0 0 0 0 0 0 16 5 0 0 5 0 0 0 5 5 21 5 16 16 21 5 0 0 0 5 0 16 42 5 11 32 42 5 0 0 11 5 0 58 26 58 58 32 5 11 0 5 5 37 26 89 84 89 68 53 58 21 11 5 5 21 32 74 42 58 79 79 84 11 42 16 16 47 26 89 58 63 84 100 68 16 11 0 21 42 47 95 68 79 68 58 63 21 16 0
ben white,Ben White,Arsenal,536,12,8,33 37 43 97 93 77 97 100 93 80 40 23 10 17 30 87 77 43 63 83 93 40 27 23 13 23 20 23 47 13 17 10 17 27 17 10 7 27 3 7 0 0 3 0 17 0 13 0 7 3 0 3 7 3 0 3 0 3 3 3 3 7 3 0 0 0 0 7 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
david raya,David Raya,Arsenal,874,12,8,0 1 5 2 3 0 1 1 0 0 0 0 14 16 10 10 6 2 0 1 0 0 0 0 47 60 24 25 8 1 2 0 0 0 0 0 100 86 38 45 9 7 2 0 0 0 0 0 98 100 38 48 9 2 0 0 0 0 0 0 38 53 21 11 7 3 1 0 0 0 0 0 13 14 8 6 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0
kepa arrizabalaga,Kepa Arrizabalaga,Arsenal,35,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 40 80 10 0 0 0 0 0 0 0 0 0 100 50 30 10 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
erling haaland,Erling Haaland,Manchester City,808,12,8,0 0 2 2 9 17 6 7 4 11 4 2 0 4 0 2 15 20 17 22 17 15 6 0 7 6 4 9 24 33 26 31 37 26 31 19 22 7 4 17 19 26 26 28 33 43 74 41 19 24 6 17 13 30 22 22 41 41 100 41 7 6 7 11 26 11 26 26 13 26 20 26 0 0 6 4 15 13 6 13 20 2 2 4 0 0 0 0 6 9 15 15 4 2 6 6
omar marmoush,Omar Marmoush,Manchester City,361,12,8,0 7 0 0 20 0 13 20 7 13 7 7 0 0 0 0 7 13 0 20 27 20 20 7 0 7 0 0 20 13 7 7 13 20 33 13 13 0 13 7 0 20 7 7 20 33 47 20 0 7 0 0 13 13 33 27 73 40 80 13 0 13 7 40 27 40 40 73 53 80 80 73 7 7 7 27 40 93 47 100 80 47 93 20 0 27 0 40 13 73 60 60 80 93 27 13
phil foden,Phil Foden,Manchester City,1525,12,8,0 9 11 22 35 13 18 29 44 31 29 9 4 2 11 27 31 20 31 69 78 24 24 13 2 5 20 42 49 35 60 78 100 67 24 13 2 5 4 22 25 38 62 51 60 33 38 13 2 13 11 25 36 33 40 36 78 36 36 13 11 9 13 55 40 42 56 64 53 33 20 13 9 9 11 44 35 15 55 49 53 20 22 11 2 16 22 33 29 13 24 36 29 24 15 4
antoine semenyo,Antoine Semenyo,Manchester City,1713,12,8,2 12 8 51 45 57 63 78 86 80 63 22 2 6 12 27 31 18 29 53 65 82 67 31 6 6 16 12 29 14 25 37 43 65 57 35 12 20 10 8 10 18 29 22 31 39 33 14 18 18 2 16 16 22 12 24 37 49 41 27 8 14 14 24 16 12 33 57 57 39 53 39 14 12 10 22 29 39 31 67 61 67 67 37 14 25 22 53 67 59 69 100 94 82 65 29
rayan cherki,Rayan Cherki,Manchester City,1557,12,8,5 18 26 44 51 39 57 75 100 66 23 7 3 8 8 36 36 33 44 70 95 57 33 28 0 16 5 16 33 39 54 57 90 66 67 36 0 7 11 18 13 36 34 44 46 31 23 15 0 5 2 15 23 11 43 38 67 38 38 7 0 2 10 11 7 10 39 54 75 41 13 11 2 2 2 3 11 10 20 39 41 31 11 2 0 3 0 3 7 10 13 15 21 15 5 5
rodri,Rodri,Manchester City,1665,12,8,5 3 5 17 19 14 22 40 28 9 7 7 2 5 14 33 22 22 52 60 41 3 2 2 10 19 36 66 59 55 88 76 57 19 7 3 14 34 38 53 64 47 64 69 53 10 19 7 19 28 24 62 66 57 84 69 71 17 9 3 3 21 28 72 67 55 100 88 50 26 7 0 3 12 28 26 47 52 59 53 47 3 5 0 0 9 5 9 12 5 17 16 17 7 9 3
