squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,coppa_starts,coppa_apps,euro_starts,euro_apps,cup_starts,cup_apps
Roma,Robinio Vaz,robinio vaz,0,0,0,2,0,0,0,0,0,2,0,0
Roma,Antonio Arena,antonio arena,0,0,0,0,0,0,0,1,0,0,0,1
Sassuolo,Stefano Turati,stefano turati,0,0,0,0,0,0,2,2,0,0,2,2
Sassuolo,Tarik Muharemovic,tarik muharemovic,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Filippo Romagna,filippo romagna,0,0,0,0,0,0,2,2,0,0,2,2
Sassuolo,Josh Doig,josh doig,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Sebastian Walukiewicz,sebastian walukiewicz,0,0,0,0,0,0,1,2,0,0,1,2
Sassuolo,Daniel Boloca,daniel boloca,0,0,0,0,0,0,2,2,0,0,2,2
Sassuolo,Andrea Ghion,andrea ghion,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Ismaël Koné,ismael kone,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Armand Laurienté,armand lauriente,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Alieu Fadera,alieu fadera,0,0,0,0,0,0,2,2,0,0,2,2
Sassuolo,Domenico Berardi,domenico berardi,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Andrea Pinamonti,andrea pinamonti,0,0,0,0,0,0,0,1,0,0,0,1
Sassuolo,Luca Lipani,luca lipani,0,0,0,0,0,0,1,2,0,0,1,2
Sassuolo,Edoardo Iannoni,edoardo iannoni,0,0,0,0,0,0,1,2,0,0,1,2
Sassuolo,Nicholas Pierini,nicholas pierini,0,0,0,0,0,0,0,2,0,0,0,2
Sassuolo,Cristian Volpato,cristian volpato,0,0,0,0,0,0,1,2,0,0,1,2
Sassuolo,Fali Candé,fali cande,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Edoardo Pieragnolo,edoardo pieragnolo,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Woyo Coulibaly,woyo coulibaly,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Walid Cheddira,walid cheddira,0,0,0,0,0,0,1,1,0,0,1,1
Sassuolo,Kristian Thorstvedt,kristian thorstvedt,0,0,0,0,0,0,0,1,0,0,0,1
Sassuolo,Luca Moro,luca moro,0,0,0,0,0,0,0,1,0,0,0,1
Sassuolo,Laurs Skjellerup,laurs skjellerup,0,0,0,0,0,0,0,1,0,0,0,1
Torino,Franco Israel,franco israel,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Adam Masina,adam masina,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Saúl Coco,saul coco,0,0,0,0,0,0,4,4,0,0,4,4
Torino,Cristiano Biraghi,cristiano biraghi,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Marcus Holmgren Pedersen,marcus holmgren pedersen,0,0,0,0,0,0,3,3,0,0,3,3
Torino,Nikola Vlasic,nikola vlasic,0,0,0,0,0,0,3,4,0,0,3,4
Torino,Cesare Casadei,cesare casadei,0,0,0,0,0,0,2,3,0,0,2,3
Torino,Gvidas Gineitis,gvidas gineitis,0,0,0,0,0,0,2,2,0,0,2,2
Torino,Ché Adams,che adams,0,0,0,0,0,0,3,3,0,0,3,3
Torino,Zakaria Aboukhlal,zakaria aboukhlal,0,0,0,0,0,0,2,3,0,0,2,3
Torino,Cyril Ngonge,cyril ngonge,0,0,0,0,0,0,2,3,0,0,2,3
Torino,Emirhan Ilkhan,emirhan ilkhan,0,0,0,0,0,0,1,3,0,0,1,3
Torino,Duván Zapata,duvan zapata,0,0,0,0,0,0,0,2,0,0,0,2
Torino,Faustino Anjorin,faustino anjorin,0,0,0,0,0,0,1,2,0,0,1,2
Torino,Valentino Lazaro,valentino lazaro,0,0,0,0,0,0,1,4,0,0,1,4
Torino,Giovanni Simeone,giovanni simeone,0,0,0,0,0,0,1,3,0,0,1,3
Torino,Alberto Paleari,alberto paleari,0,0,0,0,0,0,3,3,0,0,3,3
Torino,Adrian Ismajli,adrian ismajli,0,0,0,0,0,0,2,2,0,0,2,2
Torino,Ali Dembélé,ali dembele,0,0,0,0,0,0,1,2,0,0,1,2
Torino,Adrien Tamèze,adrien tameze,0,0,0,0,0,0,3,3,0,0,3,3
Torino,Niels Nkounkou,niels nkounkou,0,0,0,0,0,0,1,2,0,0,1,2
Torino,Alieu Njie,alieu njie,0,0,0,0,0,0,2,3,0,0,2,3
Torino,Kristjan Asllani,kristjan asllani,0,0,0,0,0,0,0,1,0,0,0,1
Torino,Guillermo Maripán,guillermo maripan,0,0,0,0,0,0,0,2,0,0,0,2
Torino,Luca Marianucci,luca marianucci,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Matteo Prati,matteo prati,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Rafael Obrador,rafael obrador,0,0,0,0,0,0,1,1,0,0,1,1
Torino,Sandro Kulenovic,sandro kulenovic,0,0,0,0,0,0,1,1,0,0,1,1
Udinese,Razvan Sava,razvan sava,0,0,0,0,0,0,3,3,0,0,3,3
Udinese,Thomas Kristensen,thomas kristensen,0,0,0,0,0,0,1,3,0,0,1,3
Udinese,Oumar Solet,oumar solet,0,0,0,0,0,0,3,3,0,0,3,3
Udinese,Matteo Palma,matteo palma,0,0,0,0,0,0,3,3,0,0,3,3
Udinese,Arthur Atta,arthur atta,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Sandi Lovric,sandi lovric,0,0,0,0,0,0,2,3,0,0,2,3
Udinese,Jesper Karlström,jesper karlstrom,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Jordan Zemura,jordan zemura,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Kingsley Ehizibue,kingsley ehizibue,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Iker Bravo,iker bravo,0,0,0,0,0,0,1,2,0,0,1,2
Udinese,Keinan Davis,keinan davis,0,0,0,0,0,0,1,2,0,0,1,2
Udinese,Saba Goglichidze,saba goglichidze,0,0,0,0,0,0,0,1,0,0,0,1
Udinese,Bayo Youssouf,bayo youssouf,0,0,0,0,0,0,0,1,0,0,0,1
Udinese,Jakub Piotrowski,jakub piotrowski,0,0,0,0,0,0,1,2,0,0,1,2
Udinese,Simone Pafundi,simone pafundi,0,0,0,0,0,0,0,1,0,0,0,1
Udinese,Oier Zarraga,oier zarraga,0,0,0,0,0,0,1,2,0,0,1,2
Udinese,Christian Kabasele,christian kabasele,0,0,0,0,0,0,1,1,0,0,1,1
Udinese,Lennon Miller,lennon miller,0,0,0,0,0,0,1,2,0,0,1,2
Udinese,Hassane Kamara,hassane kamara,0,0,0,0,0,0,1,1,0,0,1,1
Udinese,Alessandro Zanoli,alessandro zanoli,0,0,0,0,0,0,1,1,0,0,1,1
Udinese,Adam Buksa,adam buksa,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Nicolò Zaniolo,nicolo zaniolo,0,0,0,0,0,0,2,2,0,0,2,2
Udinese,Jurgen Ekkelenkamp,jurgen ekkelenkamp,0,0,0,0,0,0,0,2,0,0,0,2
Udinese,Idrissa Gueye,idrissa gueye,0,0,0,0,0,0,0,2,0,0,0,2
Udinese,Nicolò Bertola,nicolo bertola,0,0,0,0,0,0,1,1,0,0,1,1
