detected_at,team,previous_manager,detected_manager,change_type,accepted,source
2026-09-17 10:08,Ajax,Óscar García,Míchel,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
2026-09-17 10:08,Feyenoord,Robin van Persie,Giovanni van Bronckhorst,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
2026-09-17 10:08,Go Ahead Eagles,Melvin Boel,Joseph Oosting,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
2026-09-17 10:08,Sparta R.,Maurice Steijn,Rogier Meijer,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
2026-09-17 10:08,Telstar,Anthony Correia,Henk Brugge,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
2026-09-17 10:08,Utrecht,Ron Jans,Anthony Correia,season,1,Wikipedia 2025-26 Eredivisie → 2026-27 Eredivisie
