squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Porto,2026,summer,out,Jakub Kiwior,jakub kiwior,Centre-Back,26,Poland,Arsenal,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/425918-1683101307.jpg?lm=1
Porto,2026,summer,out,Seko Fofana,seko fofana,Central Midfield,31,Cote d'Ivoire,Stade Rennais,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/182893-1653394911.jpg?lm=1
Porto,2026,summer,out,Terem Moffi,terem moffi,Centre-Forward,27,Nigeria,Nice,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/538874-1780563723.jpg?lm=1
Benfica,2026,summer,in,Georgiy Sudakov,georgiy sudakov,Attacking Midfield,23,Ukraine,Shakhtar D.,20250000.0,€20.25m,https://img.a.transfermarkt.technology/portrait/medium/623325-1758058526.jpg?lm=1
Benfica,2026,summer,in,Jakub Kamiński,jakub kaminski,Left Winger,24,Poland,1.FC Köln,17000000.0,€17.00m,https://img.a.transfermarkt.technology/portrait/medium/407098-1752743041.jpg?lm=1
Benfica,2026,summer,in,Enzo Barrenechea,enzo barrenechea,Defensive Midfield,25,Argentina,Aston Villa,12000000.0,€12.00m,https://img.a.transfermarkt.technology/portrait/medium/671915-1758058491.jpg?lm=1
Benfica,2026,summer,in,Clément Lenglet,clement lenglet,Centre-Back,31,France,Atlético,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/182904-1599988301.jpg?lm=1
Benfica,2026,summer,in,Orkun Kökçü,orkun kokcu,Central Midfield,25,Türkiye,Besiktas,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/454567-1770375601.png?lm=1
Benfica,2026,summer,in,Florentino,florentino,Defensive Midfield,26,Portugal,Burnley,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/357162-1701295561.jpg?lm=1
Benfica,2026,summer,in,Rafa Obrador,rafa obrador,Left-Back,22,Spain,Torino,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/646747-1724425498.jpg?lm=1
Benfica,2026,summer,in,Tiago Gouveia,tiago gouveia,Right Winger,25,Portugal,Nice,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/479638-1757513051.jpg?lm=1
Benfica,2026,summer,out,Orkun Kökçü,orkun kokcu,Central Midfield,25,Türkiye,Besiktas,30000000.0,€30.00m,https://img.a.transfermarkt.technology/portrait/medium/454567-1770375601.png?lm=1
Benfica,2026,summer,out,Florentino,florentino,Defensive Midfield,26,Portugal,Burnley,24000000.0,€24.00m,https://img.a.transfermarkt.technology/portrait/medium/357162-1701295561.jpg?lm=1
Benfica,2026,summer,out,Sidny Lopes Cabral,sidny lopes cabral,Left-Back,23,Cape Verde,Trabzonspor,7000000.0,€7.00m,https://img.a.transfermarkt.technology/portrait/medium/611855-1780406209.jpg?lm=1
