squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Augsburg,DFB-포칼,ger.dfb_pokal,2026-08-22,A,Energie Cottbus,0,0,0-0,,scheduled,401875177
Augsburg,리그,ger.1,2026-08-29,H,Schalke 04,0,0,0-0,,scheduled,401884813
Augsburg,리그,ger.1,2026-09-05,A,Frankfurt,0,0,0-0,,scheduled,401884805
Augsburg,리그,ger.1,2026-09-12,H,Leverkusen,0,0,0-0,,scheduled,401884795
Augsburg,리그,ger.1,2026-09-19,A,Werder Bremen,0,0,0-0,,scheduled,401884784
Augsburg,리그,ger.1,2026-10-10,H,Bayern Munich,0,0,0-0,,scheduled,401884777
Augsburg,리그,ger.1,2026-10-17,A,SV Elversberg,0,0,0-0,,scheduled,401884764
Augsburg,리그,ger.1,2026-10-24,H,Union Berlin,0,0,0-0,,scheduled,401884758
Augsburg,리그,ger.1,2026-10-31,H,Freiburg,0,0,0-0,,scheduled,401884751
Augsburg,리그,ger.1,2026-11-07,A,RB Leipzig,0,0,0-0,,scheduled,401884744
Augsburg,리그,ger.1,2026-11-21,H,Mainz 05,0,0,0-0,,scheduled,401884733
Augsburg,리그,ger.1,2026-11-28,A,Hoffenheim,0,0,0-0,,scheduled,401884725
Augsburg,리그,ger.1,2026-12-05,H,Köln,0,0,0-0,,scheduled,401884713
Augsburg,리그,ger.1,2026-12-12,A,Dortmund,0,0,0-0,,scheduled,401884709
Augsburg,리그,ger.1,2026-12-19,H,SC Paderborn 07,0,0,0-0,,scheduled,401884696
Augsburg,리그,ger.1,2027-01-09,A,Stuttgart,0,0,0-0,,scheduled,401884690
Augsburg,리그,ger.1,2027-01-13,H,Gladbach,0,0,0-0,,scheduled,401884679
Augsburg,리그,ger.1,2027-01-16,A,Hamburger SV,0,0,0-0,,scheduled,401884667
Augsburg,리그,ger.1,2027-01-23,A,Schalke 04,0,0,0-0,,scheduled,401884657
Augsburg,리그,ger.1,2027-01-30,H,Frankfurt,0,0,0-0,,scheduled,401884651
Augsburg,리그,ger.1,2027-02-06,A,Leverkusen,0,0,0-0,,scheduled,401884644
Augsburg,리그,ger.1,2027-02-13,H,Werder Bremen,0,0,0-0,,scheduled,401884633
Augsburg,리그,ger.1,2027-02-20,A,Bayern Munich,0,0,0-0,,scheduled,401884628
Augsburg,리그,ger.1,2027-02-27,H,SV Elversberg,0,0,0-0,,scheduled,401884614
Augsburg,리그,ger.1,2027-03-03,A,Union Berlin,0,0,0-0,,scheduled,401884607
Augsburg,리그,ger.1,2027-03-06,A,Freiburg,0,0,0-0,,scheduled,401884597
Augsburg,리그,ger.1,2027-03-13,H,RB Leipzig,0,0,0-0,,scheduled,401884589
Augsburg,리그,ger.1,2027-03-20,A,Mainz 05,0,0,0-0,,scheduled,401884578
Augsburg,리그,ger.1,2027-04-03,H,Hoffenheim,0,0,0-0,,scheduled,401884570
Augsburg,리그,ger.1,2027-04-10,A,Köln,0,0,0-0,,scheduled,401884559
Augsburg,리그,ger.1,2027-04-17,H,Dortmund,0,0,0-0,,scheduled,401884551
Augsburg,리그,ger.1,2027-04-24,A,SC Paderborn 07,0,0,0-0,,scheduled,401884539
Augsburg,리그,ger.1,2027-05-08,H,Stuttgart,0,0,0-0,,scheduled,401884534
Augsburg,리그,ger.1,2027-05-15,A,Gladbach,0,0,0-0,,scheduled,401884524
Augsburg,리그,ger.1,2027-05-22,H,Hamburger SV,0,0,0-0,,scheduled,401884497
Bayern Munich,리그,ger.1,2026-08-28,H,Stuttgart,0,0,0-0,,scheduled,401884817
Bayern Munich,DFB-포칼,ger.dfb_pokal,2026-09-02,A,VfL Osnabruck,0,0,0-0,,scheduled,401875174
Bayern Munich,리그,ger.1,2026-09-05,A,Schalke 04,0,0,0-0,,scheduled,401884801
Bayern Munich,리그,ger.1,2026-09-12,A,SV Elversberg,0,0,0-0,,scheduled,401884791
Bayern Munich,리그,ger.1,2026-09-19,H,Union Berlin,0,0,0-0,,scheduled,401884790
Bayern Munich,리그,ger.1,2026-10-10,A,Augsburg,0,0,0-0,,scheduled,401884777
Bayern Munich,리그,ger.1,2026-10-17,H,RB Leipzig,0,0,0-0,,scheduled,401884772
Bayern Munich,리그,ger.1,2026-10-24,A,Freiburg,0,0,0-0,,scheduled,401884759
Bayern Munich,리그,ger.1,2026-10-31,H,Dortmund,0,0,0-0,,scheduled,401884754
Bayern Munich,리그,ger.1,2026-11-07,A,Mainz 05,0,0,0-0,,scheduled,401884740
Bayern Munich,리그,ger.1,2026-11-21,H,Köln,0,0,0-0,,scheduled,401884736
Bayern Munich,리그,ger.1,2026-11-28,A,Hamburger SV,0,0,0-0,,scheduled,401884722
Bayern Munich,리그,ger.1,2026-12-05,H,SC Paderborn 07,0,0,0-0,,scheduled,401884718
Bayern Munich,리그,ger.1,2026-12-12,A,Hoffenheim,0,0,0-0,,scheduled,401884707
Bayern Munich,리그,ger.1,2026-12-19,H,Werder Bremen,0,0,0-0,,scheduled,401884700
Bayern Munich,리그,ger.1,2027-01-09,A,Gladbach,0,0,0-0,,scheduled,401884687
Bayern Munich,리그,ger.1,2027-01-13,H,Leverkusen,0,0,0-0,,scheduled,401884682
Bayern Munich,리그,ger.1,2027-01-16,A,Frankfurt,0,0,0-0,,scheduled,401884669
Bayern Munich,리그,ger.1,2027-01-23,A,Stuttgart,0,0,0-0,,scheduled,401884664
Bayern Munich,리그,ger.1,2027-01-30,H,Schalke 04,0,0,0-0,,scheduled,401884655
Bayern Munich,리그,ger.1,2027-02-06,H,SV Elversberg,0,0,0-0,,scheduled,401884646
