squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Volendam,2026,summer,out,Aurelio Oehlers,aurelio oehlers,Right Winger,22,Netherlands,FC Luzern,,?,https://img.a.transfermarkt.technology/portrait/medium/654902-1758624754.jpg?lm=1
Volendam,2026,summer,out,Brandley Kuwas,brandley kuwas,Right Winger,33,Curacao,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/232219-1758624724.jpg?lm=1
Volendam,2026,summer,out,Robert Mühren,robert muhren,Centre-Forward,37,Netherlands,Retired,,-,https://img.a.transfermarkt.technology/portrait/medium/186763-1758624998.jpg?lm=1
Volendam,2026,summer,out,Aaron Meijers,aaron meijers,Left-Back,38,Netherlands,Retired,,-,https://img.a.transfermarkt.technology/portrait/medium/56836-1758624784.jpg?lm=1
Volendam,2026,summer,out,Myron Mau-Asam,myron mau-asam,Central Midfield,22,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/928359-1758625130.jpg?lm=1
Volendam,2026,summer,out,Anass Bouziane,anass bouziane,Defensive Midfield,19,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/1196804-1758624813.jpg?lm=1
Volendam,2026,summer,out,Juninho Bacuna,juninho bacuna,Central Midfield,28,Curacao,Gaziantep FK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/348863-1771407091.jpg?lm=1
Volendam,2026,summer,out,Dave Kwakman,dave kwakman,Central Midfield,21,Netherlands,AZ Alkmaar,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/747017-1771407127.jpg?lm=1
Volendam,2026,summer,out,Nick Verschuren,nick verschuren,Centre-Back,21,Netherlands,Ajax U21,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/891835-1758624966.jpg?lm=1
Volendam,2026,summer,out,Benjamin Pauwels,benjamin pauwels,Left Winger,21,Belgium,CD Leganés,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1104143-1771407163.jpg?lm=1
Volendam,2026,summer,out,Bilal Ould-Chikh,bilal ould-chikh,Right Winger,28,Morocco,Raja Casablanca,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/241324-1726674105.jpg?lm=1
Volendam,2026,summer,out,Anthony Descotte,anthony descotte,Centre-Forward,22,Belgium,R Charleroi SC,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/565434-1758625304.jpg?lm=1
