player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Heorhii Tsitaishvili,Metz,"MF,DF",24,2449,0.11,0.07,1.14,0.29,5.882,0.515,0.441,0.846,1.324,0.221,,heorhii tsitaishvili,,,,,,
Ibou Sané,Metz,"FW,MF",20,541,0.17,0.17,1.0,0.5,2.333,0.167,0.5,1.5,2.5,0.5,,ibou sane,2028-06-30,1111776.0,2026-07-09T08:47:06,2023-07-22,,https://img.a.transfermarkt.technology/portrait/medium/1111776-1697461975.png?lm=1
Idrissa Guèye,Metz,FW,18,132,0.0,0.0,1.36,0.0,0.0,0.0,1.333,2.0,1.333,0.0,,idrissa gueye,,,,,,
Ismaël Guerti,Metz,FW,21,27,0.0,0.0,0.0,0.0,3.333,3.333,3.333,0.0,0.0,0.0,,ismael guerti,,,,,,
Jahyann Pandore,Metz,MF,17,88,1.02,0.0,2.05,1.02,3.0,0.0,4.0,2.0,1.0,0.0,,jahyann pandore,,,,,,
Jean-Philippe Gbamin,Metz,"DF,MF",29,2485,0.04,0.04,0.51,0.25,0.181,0.978,0.978,0.906,0.29,0.0,,jean-philippe gbamin,,,,,,
Jessy Deminguet,Metz,MF,27,1995,0.09,0.0,0.77,0.32,0.856,0.991,0.946,1.261,1.441,0.0,,jessy deminguet,2028-06-30,539232.0,2026-07-09T08:47:06,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/539232-1540373365.jpg?lm=1
Joel Asoro,Metz,FW,26,227,0.0,0.0,1.59,0.4,0.4,0.0,0.0,0.8,0.4,0.8,,joel asoro,,,,,,
Jonathan Fischer,Metz,GK,23,2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,jonathan fischer,2029-06-30,542452.0,2026-07-09T08:47:06,2025-07-29,,https://img.a.transfermarkt.technology/portrait/medium/542452-1711581097.jpg?lm=1
Joseph Nduquidi,Metz,MF,20,7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,joseph nduquidi,2028-06-30,919620.0,2026-07-07T08:42:45,2023-08-31,,https://img.a.transfermarkt.technology/portrait/medium/919620-1697462326.png?lm=1
Koffi Kouao,Metz,"DF,MF",27,2265,0.08,0.04,0.91,0.4,2.341,1.111,1.825,1.27,1.31,0.119,,koffi kouao,,,,,,
Lucas Michal,Metz,MF,20,212,0.0,0.0,2.97,0.85,0.417,0.0,0.0,1.25,0.833,0.417,,lucas michal,,,,,,
Malick Mbaye,Metz,MF,21,300,0.0,0.0,0.6,0.3,2.424,0.909,2.424,0.606,0.909,0.0,,malick mbaye,,,,,,
Maxime Colin,Metz,DF,33,1692,0.0,0.0,0.37,0.11,0.638,1.277,1.596,0.532,0.372,0.0,,maxime colin,2027-06-30,156618.0,2026-07-09T08:47:06,2023-07-27,,https://img.a.transfermarkt.technology/portrait/medium/156618-1697464153.png?lm=1
Michel Mboula,Metz,"DF,MF",22,746,0.0,0.0,0.24,0.12,0.964,1.807,1.205,1.084,1.325,0.0,,michel mboula,2028-06-30,1038308.0,2026-07-09T08:47:06,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1038308-1691065668.png?lm=1
Morgan Bokelé Mputu,Metz,MF,21,227,0.0,0.0,1.19,0.4,2.0,0.4,1.6,0.8,3.2,0.0,,morgan bokele mputu,,,,,,
Nathan Mbala,Metz,"MF,FW",17,441,0.41,0.41,3.06,0.82,7.347,0.204,1.224,0.612,1.224,0.0,,nathan mbala,2029-06-30,1307004.0,2026-07-09T08:47:06,2026-02-01,,https://img.a.transfermarkt.technology/portrait/medium/1307004-1779443858.jpg?lm=1
Pape Mamadou Sy,Metz,GK,28,706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pape mamadou sy,,,,,,
Sadibou Sané,Metz,DF,21,1940,0.09,0.05,0.28,0.09,0.185,1.806,1.574,1.019,0.694,0.0,,sadibou sane,2027-06-30,1111777.0,2026-07-07T08:42:45,2023-07-22,,https://img.a.transfermarkt.technology/portrait/medium/1111777-1697462116.png?lm=1
Terry Yegbe,Metz,DF,24,1963,0.0,0.05,0.28,0.09,0.229,1.009,0.321,0.872,0.367,0.0,,terry yegbe,,,,,,
Aladji Bamba,Monaco,MF,19,816,0.0,0.22,0.22,0.11,0.44,0.879,2.198,2.527,1.978,0.0,,aladji bamba,2030-06-30,975347.0,2026-07-09T08:47:11,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/975347-1764186059.jpg?lm=1
Aleksandr Golovin,Monaco,MF,29,1649,0.27,0.27,1.86,0.98,2.022,1.148,0.984,1.585,0.984,0.109,,aleksandr golovin,2029-06-30,263918.0,2026-07-09T08:47:11,2018-07-27,,https://img.a.transfermarkt.technology/portrait/medium/263918-1614091807.jpg?lm=1
Ansu Fati,Monaco,"MF,FW",22,1093,0.66,0.0,3.54,1.98,0.661,0.165,0.744,0.744,0.496,0.248,,ansu fati,2030-06-30,466810.0,2026-07-09T08:47:11,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/466810-1721828228.jpg?lm=1
Caio Henrique Oliveira Silva,Monaco,"DF,MF",28,1536,0.0,0.12,0.12,0.0,5.263,0.702,0.643,0.76,0.994,0.058,,caio henrique oliveira silva,,,,,,
Christian Mawissa,Monaco,"DF,MF",20,1191,0.0,0.0,0.15,0.08,0.379,1.136,1.894,0.909,0.909,0.0,,christian mawissa,2029-06-30,1005240.0,2026-07-09T08:47:11,2024-08-11,,https://img.a.transfermarkt.technology/portrait/medium/1005240-1708555606.jpg?lm=1
Denis Zakaria,Monaco,"DF,MF",28,2031,0.09,0.04,0.8,0.13,0.487,1.991,1.106,1.15,0.31,0.0,,denis zakaria,2028-06-30,334526.0,2026-07-09T08:47:11,2023-08-14,,https://img.a.transfermarkt.technology/portrait/medium/334526-1780491997.jpg?lm=1
Eliesse Ben Seghir,Monaco,MF,20,45,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,eliesse ben seghir,,,,,,
Eric Dier,Monaco,DF,31,688,0.13,0.0,0.39,0.26,0.263,1.316,0.263,1.184,0.526,0.0,,eric dier,2028-06-30,175722.0,2026-07-09T08:47:11,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/175722-1665608595.jpg?lm=1
Folarin Balogun,Monaco,FW,24,2230,0.4,0.16,3.11,1.29,0.565,0.161,0.242,1.774,1.492,0.685,,folarin balogun,2028-06-30,503770.0,2026-07-09T08:47:11,2023-08-30,,https://img.a.transfermarkt.technology/portrait/medium/503770-1672838317.jpg?lm=1
George Ilenikhena,Monaco,FW,18,385,0.47,0.0,3.51,1.64,0.0,0.0,0.0,0.465,1.395,1.86,,george ilenikhena,,,,,,
Ilane Touré,Monaco,MF,18,35,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.5,0.0,0.0,,ilane toure,,,,,,
Jordan Teze,Monaco,"MF,DF",25,2489,0.04,0.07,0.51,0.18,2.31,1.083,1.625,1.155,0.903,0.108,,jordan teze,2029-06-30,364245.0,2026-07-09T08:47:11,2024-08-20,,https://img.a.transfermarkt.technology/portrait/medium/364245-1707214531.jpg?lm=1
Kassoum Ouattara,Monaco,"MF,DF",20,967,0.0,0.28,1.12,0.0,4.673,1.776,1.776,2.056,0.935,0.093,,kassoum ouattara,,,,,,
Krépin Diatta,Monaco,"MF,DF",26,1013,0.0,0.09,0.62,0.09,3.451,1.327,1.416,0.708,0.885,0.354,,krepin diatta,,,,,,
Lamine Camara,Monaco,MF,21,1847,0.15,0.19,1.22,0.19,4.927,1.854,1.61,1.366,2.341,0.0,,lamine camara,2029-06-30,918969.0,2026-07-09T08:47:11,2024-07-30,,https://img.a.transfermarkt.technology/portrait/medium/918969-1726834088.jpg?lm=1
Lucas Michal,Monaco,FW,20,59,0.0,0.0,1.53,0.0,4.286,0.0,0.0,2.857,1.429,0.0,,lucas michal,2029-06-30,810909.0,2026-07-09T08:47:11,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/810909-1693948175.png?lm=1
Lukáš Hrádecký,Monaco,GK,35,1439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,lukas hradecky,2027-06-30,48015.0,2026-07-09T08:47:11,2025-08-08,,https://img.a.transfermarkt.technology/portrait/medium/48015-1695367833.jpg?lm=1
Maghnes Akliouche,Monaco,"MF,FW",23,2400,0.23,0.23,1.8,0.71,1.985,0.674,0.974,1.086,1.348,0.337,,maghnes akliouche,2028-06-30,745200.0,2026-07-09T08:47:11,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/745200-1717406573.jpg?lm=1
Mamadou Coulibaly,Monaco,MF,21,1381,0.2,0.2,0.85,0.33,0.98,1.373,1.373,2.026,1.046,0.196,,mamadou coulibaly,2028-06-30,745173.0,2026-07-09T08:47:11,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/745173-1693947752.png?lm=1
Mika Biereth,Monaco,FW,22,1074,0.17,0.17,1.59,0.59,0.756,0.0,0.588,1.345,1.176,0.756,,mika biereth,2030-06-30,565821.0,2026-07-09T08:47:11,2025-01-11,,https://img.a.transfermarkt.technology/portrait/medium/565821-1736777758.jpg?lm=1
Mohammed Salisu,Monaco,DF,26,1080,0.08,0.0,0.67,0.17,0.0,1.583,0.917,1.417,0.25,0.333,,mohammed salisu,2028-06-30,563963.0,2026-07-09T08:47:11,2023-08-01,,https://img.a.transfermarkt.technology/portrait/medium/563963-1668428508.jpg?lm=1
