squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Fulham,Raúl Jiménez,raul jimenez,0,0,0,0,0,0,0,3,4,4,0,0,4,7
Fulham,Ryan Sessegnon,ryan sessegnon,0,0,0,0,0,0,2,2,1,2,0,0,3,4
Fulham,Antonee Robinson,antonee robinson,0,0,0,0,0,0,1,2,2,2,0,0,3,4
Fulham,Sasa Lukic,sasa lukic,0,0,0,0,0,0,1,1,1,3,0,0,2,4
Fulham,Harry Wilson,harry wilson,0,0,0,0,0,0,0,2,2,3,0,0,2,5
Fulham,Josh King,josh king,0,0,0,0,0,0,1,2,1,4,0,0,2,6
Fulham,Rodrigo Muniz,rodrigo muniz,0,0,0,0,0,0,2,2,0,2,0,0,2,4
Fulham,Oscar Bobb,oscar bobb,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Fulham,Joachim Andersen,joachim andersen,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Fulham,Jonah Kusi-Asare,jonah kusi-asare,0,0,0,0,0,0,1,1,0,2,0,0,1,3
Fulham,Sander Berge,sander berge,0,0,0,0,0,0,0,2,1,2,0,0,1,4
Fulham,Alex Iwobi,alex iwobi,0,0,0,0,0,0,1,2,0,2,0,0,1,4
Fulham,Samuel Chukwueze,samuel chukwueze,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Fulham,Calvin Bassey,calvin bassey,0,0,0,0,0,0,0,0,1,2,0,0,1,2
Fulham,Kenny Tete,kenny tete,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Leeds United,Jaka Bijol,jaka bijol,0,0,0,0,0,0,5,5,1,1,0,0,6,6
Leeds United,Ao Tanaka,ao tanaka,0,0,0,0,0,0,5,5,0,0,0,0,5,5
Leeds United,Noah Okafor,noah okafor,0,0,0,0,0,0,4,4,1,1,0,0,5,5
Leeds United,Lukas Nmecha,lukas nmecha,0,0,0,0,0,0,4,5,1,1,0,0,5,6
Leeds United,Ethan Ampadu,ethan ampadu,0,0,0,0,0,0,4,5,0,0,0,0,4,5
Leeds United,Sebastiaan Bornauw,sebastiaan bornauw,0,0,0,0,0,0,3,4,1,1,0,0,4,5
Leeds United,Lucas Perri,lucas perri,0,0,0,0,0,0,4,4,0,0,0,0,4,4
Leeds United,Joël Piroe,joel piroe,0,0,0,0,0,0,2,4,1,1,0,0,3,5
Leeds United,Wilfried Gnonto,wilfried gnonto,0,0,0,0,0,0,3,5,0,1,0,0,3,6
Leeds United,Sean Longstaff,sean longstaff,0,0,0,0,0,0,2,4,1,1,0,0,3,5
Leeds United,James Justin,james justin,0,0,0,0,0,0,3,5,0,0,0,0,3,5
Leeds United,Gabriel Gudmundsson,gabriel gudmundsson,0,0,0,0,0,0,3,3,0,0,0,0,3,3
Leeds United,Karl Darlow,karl darlow,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Leeds United,Ilia Gruev,ilia gruev,0,0,0,0,0,0,1,2,1,1,0,0,2,3
Leeds United,Jack Harrison,jack harrison,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Leeds United,Brenden Aaronson,brenden aaronson,0,0,0,0,0,0,1,4,1,1,0,0,2,5
Leeds United,Jayden Bogle,jayden bogle,0,0,0,0,0,0,2,4,0,1,0,0,2,5
Leeds United,Pascal Struijk,pascal struijk,0,0,0,0,0,0,2,3,0,0,0,0,2,3
Leeds United,Sam Byram,sam byram,0,0,0,0,0,0,0,2,1,1,0,0,1,3
Leeds United,Anton Stach,anton stach,0,0,0,0,0,0,1,4,0,1,0,0,1,5
Leeds United,Facundo Buonanotte,facundo buonanotte,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Leeds United,Dominic Calvert-Lewin,dominic calvert-lewin,0,0,0,0,0,0,1,3,0,1,0,0,1,4
Leeds United,Joe Rodon,joe rodon,0,0,0,0,0,0,1,3,0,0,0,0,1,3
Leeds United,Daniel James,daniel james,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Liverpool,Virgil van Dijk,virgil van dijk,12,12,0,0,0,0,4,4,0,0,12,12,4,4
Liverpool,Dominik Szoboszlai,dominik szoboszlai,12,12,0,0,0,0,4,4,0,0,12,12,4,4
Liverpool,Ryan Gravenberch,ryan gravenberch,11,11,0,0,0,0,2,3,0,0,11,11,2,3
Liverpool,Hugo Ekitike,hugo ekitike,11,12,0,0,0,0,1,3,0,1,11,12,1,4
Liverpool,Ibrahima Konaté,ibrahima konate,10,10,0,0,0,0,2,4,0,0,10,10,2,4
Liverpool,Florian Wirtz,florian wirtz,10,11,0,0,0,0,2,4,0,0,10,11,2,4
Liverpool,Alexis Mac Allister,alexis mac allister,9,12,0,0,0,0,3,4,1,1,9,12,4,5
Liverpool,Jeremie Frimpong,jeremie frimpong,8,9,0,0,0,0,1,3,1,1,8,9,2,4
Liverpool,Mohamed Salah,mohamed salah,7,10,0,0,0,0,3,3,0,0,7,10,3,3
Liverpool,Milos Kerkez,milos kerkez,7,9,0,0,0,0,2,2,1,2,7,9,3,4
Liverpool,Giorgi Mamardashvili,giorgi mamardashvili,6,7,0,0,0,0,2,2,1,1,6,7,3,3
Liverpool,Alisson Becker,alisson becker,6,6,0,0,0,0,2,2,0,0,6,6,2,2
Liverpool,Andy Robertson,andy robertson,5,7,0,0,0,0,2,2,2,2,5,7,4,4
Liverpool,Cody Gakpo,cody gakpo,5,11,0,0,0,0,3,4,0,0,5,11,3,4
Liverpool,Curtis Jones,curtis jones,4,9,0,0,0,0,4,4,1,1,4,9,5,5
Liverpool,Joe Gomez,joe gomez,4,6,0,0,0,0,3,4,2,2,4,6,5,6
Liverpool,Alexander Isak,alexander isak,4,7,0,0,0,0,0,0,1,1,4,7,1,1
Liverpool,Conor Bradley,conor bradley,1,5,0,0,0,0,0,0,0,1,1,5,0,1
Liverpool,Rio Ngumoha,rio ngumoha,0,4,0,0,0,0,2,4,2,2,0,4,4,6
Liverpool,Federico Chiesa,federico chiesa,0,5,0,0,0,0,2,3,2,2,0,5,4,5
Liverpool,Wataru Endo,wataru endo,0,1,0,0,0,0,0,0,2,2,0,1,2,2
Liverpool,Trey Nyoni,trey nyoni,0,3,0,0,0,0,0,3,2,2,0,3,2,5
Liverpool,Calvin Ramsay,calvin ramsay,0,0,0,0,0,0,0,1,1,1,0,0,1,2
Liverpool,Kieran Morrison,kieran morrison,0,0,0,0,0,0,0,1,1,1,0,0,1,2
Liverpool,Giovanni Leoni,giovanni leoni,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Liverpool,Freddie Woodman,freddie woodman,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Liverpool,Amara Nallo,amara nallo,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Liverpool,Jayden Danns,jayden danns,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Liverpool,Kaide Gordon,kaide gordon,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Liverpool,Wellity Lucky,wellity lucky,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Liverpool,Trent Kone-Doherty,trent kone-doherty,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester City,Erling Haaland,erling haaland,9,10,0,0,0,0,3,4,2,3,9,10,5,7
Manchester City,Gianluigi Donnarumma,gianluigi donnarumma,9,9,0,0,0,0,0,0,0,0,9,9,0,0
Manchester City,Jérémy Doku,jeremy doku,8,9,0,0,0,0,3,5,3,3,8,9,6,8
Manchester City,Nico O'Reilly,nico o'reilly,7,8,0,0,0,0,3,6,5,5,7,8,8,11
Manchester City,Bernardo Silva,bernardo silva,7,8,0,0,0,0,2,4,2,3,7,8,4,7
Manchester City,Abdukodir Khusanov,abdukodir khusanov,6,6,0,0,0,0,5,5,5,5,6,6,10,10
Manchester City,Tijjani Reijnders,tijjani reijnders,6,10,0,0,0,0,4,5,2,4,6,10,6,9
Manchester City,Rúben Dias,ruben dias,6,7,0,0,0,0,0,0,0,0,6,7,0,0
Manchester City,Matheus Nunes,matheus nunes,5,6,0,0,0,0,4,4,4,5,5,6,8,9
Manchester City,Phil Foden,phil foden,5,7,0,0,0,0,2,4,3,6,5,7,5,10
Manchester City,Rodri,rodri,5,5,0,0,0,0,3,4,1,3,5,5,4,7
Manchester City,Josko Gvardiol,josko gvardiol,5,5,0,0,0,0,0,0,0,2,5,5,0,2
Manchester City,Nico González,nico gonzalez,4,8,0,0,0,0,3,4,4,4,4,8,7,8
Manchester City,Rayan Cherki,rayan cherki,4,8,0,0,0,0,4,6,3,5,4,8,7,11
Manchester City,John Stones,john stones,4,4,0,0,0,0,3,3,1,2,4,4,4,5
Manchester City,Rayan Aït-Nouri,rayan ait-nouri,4,6,0,0,0,0,2,2,2,3,4,6,4,5
Manchester City,Savinho,savinho,4,7,0,0,0,0,1,3,2,2,4,7,3,5
Manchester City,Rico Lewis,rico lewis,3,4,0,0,0,0,2,2,3,5,3,4,5,7
Manchester City,Nathan Aké,nathan ake,2,5,0,0,0,0,3,3,6,6,2,5,9,9
Manchester City,Omar Marmoush,omar marmoush,2,8,0,0,0,0,4,5,2,2,2,8,6,7
Manchester City,James Trafford,james trafford,1,1,0,0,0,0,6,6,6,6,1,1,12,12
Manchester City,Antoine Semenyo,antoine semenyo,1,2,0,0,0,0,3,5,3,3,1,2,6,8
Manchester City,Oscar Bobb,oscar bobb,1,3,0,0,0,0,0,0,3,3,1,3,3,3
Manchester City,Max Alleyne,max alleyne,1,1,0,0,0,0,2,2,1,2,1,1,3,4
Manchester City,Marc Guéhi,marc guehi,1,2,0,0,0,0,2,3,0,0,1,2,2,3
Manchester City,Divine Mukasa,divine mukasa,0,0,0,0,0,0,0,1,3,3,0,0,3,4
Manchester City,Mateo Kovacic,mateo kovacic,0,1,0,0,0,0,1,2,0,0,0,1,1,2
Manchester City,Ryan McAidoo,ryan mcaidoo,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Manchester City,Stephen Mfuni,stephen mfuni,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Manchester City,Jaden Heskey,jaden heskey,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester City,Reigan Heskey,reigan heskey,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester City,Kalvin Phillips,kalvin phillips,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester City,Charlie Gray,charlie gray,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester Utd,Patrick Dorgu,patrick dorgu,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Diogo Dalot,diogo dalot,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Kobbie Mainoo,kobbie mainoo,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Manuel Ugarte,manuel ugarte,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Benjamin Sesko,benjamin sesko,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Matheus Cunha,matheus cunha,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Manchester Utd,Senne Lammens,senne lammens,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Manchester Utd,Lisandro Martínez,lisandro martinez,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Manchester Utd,Leny Yoro,leny yoro,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Manchester Utd,Bruno Fernandes,bruno fernandes,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Manchester Utd,Mason Mount,mason mount,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Manchester Utd,Harry Maguire,harry maguire,0,0,0,0,0,0,0,1,1,1,0,0,1,2
Manchester Utd,André Onana,andre onana,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Manchester Utd,Ayden Heaven,ayden heaven,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Manchester Utd,Tyler Fredricson,tyler fredricson,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Manchester Utd,Amad Diallo,amad diallo,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Manchester Utd,Casemiro,casemiro,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Manchester Utd,Shea Lacey,shea lacey,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Manchester Utd,Joshua Zirkzee,joshua zirkzee,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Manchester Utd,Bryan Mbeumo,bryan mbeumo,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Manchester Utd,Matthijs de Ligt,matthijs de ligt,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Newcastle United,Sandro Tonali,sandro tonali,11,11,0,0,0,0,3,3,2,4,11,11,5,7
Newcastle United,Dan Burn,dan burn,11,11,0,0,0,0,1,2,2,2,11,11,3,4
Newcastle United,Malick Thiaw,malick thiaw,10,11,0,0,0,0,3,3,5,5,10,11,8,8
Newcastle United,Harvey Barnes,harvey barnes,9,12,0,0,0,0,3,3,2,5,9,12,5,8
Newcastle United,Kieran Trippier,kieran trippier,9,9,0,0,0,0,3,3,1,4,9,9,4,7
Newcastle United,Anthony Gordon,anthony gordon,9,12,0,0,0,0,0,3,3,5,9,12,3,8
Newcastle United,Joelinton,joelinton,8,10,0,0,0,0,0,2,2,3,8,10,2,5
Newcastle United,Nick Pope,nick pope,8,8,0,0,0,0,0,0,1,1,8,8,1,1
Newcastle United,Nick Woltemade,nick woltemade,7,10,0,0,0,0,3,3,2,5,7,10,5,8
Newcastle United,Bruno Guimarães,bruno guimaraes,7,7,0,0,0,0,0,1,3,4,7,7,3,5
Newcastle United,Sven Botman,sven botman,6,8,0,0,0,0,2,2,3,3,6,8,5,5
Newcastle United,Lewis Hall,lewis hall,6,10,0,0,0,0,2,3,3,3,6,10,5,6
Newcastle United,Anthony Elanga,anthony elanga,6,10,0,0,0,0,1,2,2,5,6,10,3,7
Newcastle United,Aaron Ramsdale,aaron ramsdale,4,4,0,0,0,0,3,3,4,4,4,4,7,7
Newcastle United,Jacob Ramsey,jacob ramsey,4,9,0,0,0,0,2,2,4,4,4,9,6,6
Newcastle United,Joe Willock,joe willock,3,9,0,0,0,0,2,3,3,3,3,9,5,6
Newcastle United,Jacob Murphy,jacob murphy,3,9,0,0,0,0,1,1,2,3,3,9,3,4
Newcastle United,Tino Livramento,tino livramento,3,5,0,0,0,0,1,2,1,2,3,5,2,4
Newcastle United,Lewis Miley,lewis miley,2,7,0,0,0,0,0,1,3,3,2,7,3,4
Newcastle United,William Osula,william osula,2,6,0,0,0,0,2,2,1,3,2,6,3,5
Newcastle United,Fabian Schär,fabian schar,2,3,0,0,0,0,0,0,2,2,2,3,2,2
Newcastle United,Yoane Wissa,yoane wissa,1,4,0,0,0,0,1,2,2,3,1,4,3,5
Newcastle United,Alex Murphy,alex murphy,1,1,0,0,0,0,0,1,0,2,1,1,0,3
Newcastle United,Emil Krafth,emil krafth,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Newcastle United,Sean Neave,sean neave,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Newcastle United,Leo Shahar,leo shahar,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Nottingham Forest,Morato,morato,0,0,13,14,0,0,1,1,1,1,13,14,2,2
Nottingham Forest,Nikola Milenkovic,nikola milenkovic,0,0,11,15,0,0,0,0,0,0,11,15,0,0
Nottingham Forest,Nicolás Domínguez,nicolas dominguez,0,0,11,13,0,0,0,1,0,0,11,13,0,1
Nottingham Forest,Neco Williams,neco williams,0,0,10,15,0,0,0,1,0,0,10,15,0,1
Nottingham Forest,Morgan Gibbs-White,morgan gibbs-white,0,0,10,14,0,0,0,1,0,1,10,14,0,2
Nottingham Forest,James McAtee,james mcatee,0,0,9,10,0,0,1,1,1,1,9,10,2,2
Nottingham Forest,Murillo,murillo,0,0,9,13,0,0,0,1,0,0,9,13,0,1
Nottingham Forest,Igor Jesus,igor jesus,0,0,8,13,0,0,1,1,1,1,8,13,2,2
Nottingham Forest,Dan Ndoye,dan ndoye,0,0,8,12,0,0,1,1,0,0,8,12,1,1
Nottingham Forest,Elliot Anderson,elliot anderson,0,0,8,12,0,0,0,0,0,0,8,12,0,0
Nottingham Forest,Omari Hutchinson,omari hutchinson,0,0,7,8,0,0,1,1,1,1,7,8,2,2
Nottingham Forest,Ryan Yates,ryan yates,0,0,7,12,0,0,0,0,1,1,7,12,1,1
Nottingham Forest,Ibrahim Sangaré,ibrahim sangare,0,0,7,14,0,0,0,0,0,1,7,14,0,1
Nottingham Forest,Callum Hudson-Odoi,callum hudson-odoi,0,0,7,11,0,0,0,1,0,1,7,11,0,2
Nottingham Forest,Stefan Ortega,stefan ortega,0,0,7,7,0,0,0,0,0,0,7,7,0,0
Nottingham Forest,Matz Sels,matz sels,0,0,6,6,0,0,1,1,0,0,6,6,1,1
Nottingham Forest,Zach Abbott,zach abbott,0,0,5,7,0,0,0,0,0,0,5,7,0,0
Nottingham Forest,Ola Aina,ola aina,0,0,5,8,0,0,0,0,0,0,5,8,0,0
Nottingham Forest,Douglas Luiz,douglas luiz,0,0,4,4,0,0,1,1,1,1,4,4,2,2
Nottingham Forest,Jair Paula,jair paula,0,0,4,4,0,0,1,1,0,1,4,4,1,2
Nottingham Forest,Chris Wood,chris wood,0,0,4,5,0,0,0,0,0,0,4,5,0,0
Nottingham Forest,Oleksandr Zinchenko,oleksandr zinchenko,0,0,3,3,0,0,1,1,1,1,3,3,2,2
Nottingham Forest,Dilane Bakwa,dilane bakwa,0,0,3,8,0,0,1,1,1,1,3,8,2,2
Nottingham Forest,John Victor,john victor,0,0,3,3,0,0,0,0,1,1,3,3,1,1
Nottingham Forest,Arnaud Kalimuendo,arnaud kalimuendo,0,0,3,4,0,0,0,0,0,1,3,4,0,1
Nottingham Forest,Nicolò Savona,nicolo savona,0,0,2,4,0,0,1,1,1,1,2,4,2,2
Nottingham Forest,Lorenzo Lucca,lorenzo lucca,0,0,2,5,0,0,0,0,0,0,2,5,0,0
Nottingham Forest,Willy Boly,willy boly,0,0,0,1,0,0,0,0,1,1,0,1,1,1
Nottingham Forest,Jimmy Sinclair,jimmy sinclair,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Nottingham Forest,Taiwo Awoniyi,taiwo awoniyi,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sunderland,Enzo Le Fée,enzo le fee,0,0,0,0,0,0,3,3,1,1,0,0,4,4
Sunderland,Luke O'Nien,luke o'nien,0,0,0,0,0,0,3,3,0,0,0,0,3,3
Sunderland,Nordi Mukiele,nordi mukiele,0,0,0,0,0,0,2,2,1,1,0,0,3,3
Sunderland,Robin Roefs,robin roefs,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Dennis Cirkin,dennis cirkin,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Trai Hume,trai hume,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Eliezer Mayenda,eliezer mayenda,0,0,0,0,0,0,2,3,0,0,0,0,2,3
Sunderland,Romaine Mundle,romaine mundle,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Wilson Isidor,wilson isidor,0,0,0,0,0,0,1,3,1,1,0,0,2,4
Sunderland,Lutsharel Geertruida,lutsharel geertruida,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Habib Diarra,habib diarra,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Chemsdine Talbi,chemsdine talbi,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Sunderland,Chris Rigg,chris rigg,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Sunderland,Noah Sadiki,noah sadiki,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Sunderland,Granit Xhaka,granit xhaka,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Sunderland,Simon Adingra,simon adingra,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sunderland,Danny Ballard,danny ballard,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Sunderland,Melker Ellborg,melker ellborg,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sunderland,Omar Alderete,omar alderete,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sunderland,Nilson Angulo,nilson angulo,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sunderland,Anthony Patterson,anthony patterson,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Arthur Masuaku,arthur masuaku,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Harrison Jones,harrison jones,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Niall Huggins,niall huggins,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Daniel Neil,daniel neil,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Patrick Roberts,patrick roberts,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Marc Guiu,marc guiu,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sunderland,Brian Brobbey,brian brobbey,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sunderland,Jocelin Ta Bi,jocelin ta bi,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sunderland,Milan Aleksic,milan aleksic,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sunderland,Jenson Seelt,jenson seelt,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sunderland,Jenson Arron Jones,jenson arron jones,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tottenham Hotspur,Pedro Porro,pedro porro,9,9,0,0,0,0,1,1,2,2,9,9,3,3
Tottenham Hotspur,Guglielmo Vicario,guglielmo vicario,9,10,0,0,0,0,1,1,0,0,9,10,1,1
Tottenham Hotspur,Djed Spence,djed spence,8,10,0,0,0,0,0,1,2,2,8,10,2,3
Tottenham Hotspur,Micky van de Ven,micky van de ven,8,8,0,0,0,0,1,1,0,0,8,8,1,1
Tottenham Hotspur,Cristian Romero,cristian romero,8,8,0,0,0,0,0,0,0,0,8,8,0,0
Tottenham Hotspur,Archie Gray,archie gray,7,8,0,0,0,0,1,1,1,1,7,8,2,2
Tottenham Hotspur,Pape Matar Sarr,pape matar sarr,7,9,0,0,0,0,0,0,1,1,7,9,1,1
Tottenham Hotspur,Xavi Simons,xavi simons,6,10,0,0,0,0,1,1,2,2,6,10,3,3
Tottenham Hotspur,Richarlison,richarlison,6,7,0,0,0,0,1,1,1,2,6,7,2,3
Tottenham Hotspur,Wilson Odobert,wilson odobert,6,7,0,0,0,0,1,1,1,1,6,7,2,2
Tottenham Hotspur,Kevin Danso,kevin danso,5,8,0,0,0,0,1,1,2,2,5,8,3,3
Tottenham Hotspur,Rodrigo Bentancur,rodrigo bentancur,5,5,0,0,0,0,0,0,2,2,5,5,2,2
Tottenham Hotspur,Lucas Bergvall,lucas bergvall,5,7,0,0,0,0,0,0,1,2,5,7,1,2
Tottenham Hotspur,Randal Kolo Muani,randal kolo muani,5,9,0,0,0,0,0,1,0,1,5,9,0,2
Tottenham Hotspur,João Palhinha,joao palhinha,3,8,0,0,0,0,1,1,2,2,3,8,3,3
Tottenham Hotspur,Mohammed Kudus,mohammed kudus,3,5,0,0,0,0,0,0,0,1,3,5,0,1
Tottenham Hotspur,Destiny Udogie,destiny udogie,3,7,0,0,0,0,0,0,0,1,3,7,0,1
Tottenham Hotspur,Brennan Johnson,brennan johnson,2,4,0,0,0,0,0,0,2,2,2,4,2,2
Tottenham Hotspur,Mathys Tel,mathys tel,2,3,0,0,0,0,1,1,1,2,2,3,2,3
Tottenham Hotspur,Antonín Kinsky,antonin kinsky,1,1,0,0,0,0,0,0,2,2,1,1,2,2
Tottenham Hotspur,Dominic Solanke,dominic solanke,1,3,0,0,0,0,0,1,0,0,1,3,0,1
Tottenham Hotspur,Radu Dragusin,radu dragusin,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Tottenham Hotspur,Ben Davies,ben davies,0,1,0,0,0,0,1,1,0,0,0,1,1,1
Tottenham Hotspur,Dane Scarlett,dane scarlett,0,2,0,0,0,0,0,1,0,0,0,2,0,1
Tottenham Hotspur,Jun'Ai Byfield,jun'ai byfield,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Tottenham Hotspur,Conor Gallagher,conor gallagher,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Tottenham Hotspur,Callum Olusesi,callum olusesi,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Tottenham Hotspur,Luca Williams-Barnett,luca williams-barnett,0,0,0,0,0,0,0,0,0,1,0,0,0,1
West Ham United,Konstantinos Mavropanos,konstantinos mavropanos,0,0,0,0,0,0,3,3,1,1,0,0,4,4
West Ham United,Jarrod Bowen,jarrod bowen,0,0,0,0,0,0,3,3,1,1,0,0,4,4
West Ham United,Kyle Walker-Peters,kyle walker-peters,0,0,0,0,0,0,3,4,1,1,0,0,4,5
West Ham United,Alphonse Areola,alphonse areola,0,0,0,0,0,0,3,3,1,1,0,0,4,4
West Ham United,Max Kilman,max kilman,0,0,0,0,0,0,3,3,0,1,0,0,3,4
West Ham United,Soungoutou Magassa,soungoutou magassa,0,0,0,0,0,0,3,4,0,0,0,0,3,4
West Ham United,Adama Traoré,adama traore,0,0,0,0,0,0,3,3,0,0,0,0,3,3
West Ham United,Jean-Clair Todibo,jean-clair todibo,0,0,0,0,0,0,1,1,1,1,0,0,2,2
West Ham United,Freddie Potts,freddie potts,0,0,0,0,0,0,2,3,0,0,0,0,2,3
West Ham United,Ezra Mayers,ezra mayers,0,0,0,0,0,0,2,4,0,0,0,0,2,4
West Ham United,Valentín Castellanos,valentin castellanos,0,0,0,0,0,0,2,4,0,0,0,0,2,4
West Ham United,Tomás Soucek,tomas soucek,0,0,0,0,0,0,1,3,1,1,0,0,2,4
West Ham United,Oliver Scarles,oliver scarles,0,0,0,0,0,0,2,4,0,0,0,0,2,4
West Ham United,Mohamadou Kanté,mohamadou kante,0,0,0,0,0,0,2,3,0,0,0,0,2,3
West Ham United,Axel Disasi,axel disasi,0,0,0,0,0,0,2,3,0,0,0,0,2,3
West Ham United,Mateus Fernandes,mateus fernandes,0,0,0,0,0,0,2,2,0,0,0,0,2,2
West Ham United,El Hadji Malick Diouf,el hadji malick diouf,0,0,0,0,0,0,1,1,1,1,0,0,2,2
West Ham United,Mads Hermansen,mads hermansen,0,0,0,0,0,0,1,1,0,0,0,0,1,1
West Ham United,Aaron Wan-Bissaka,aaron wan-bissaka,0,0,0,0,0,0,1,2,0,0,0,0,1,2
West Ham United,Crysencio Summerville,crysencio summerville,0,0,0,0,0,0,1,3,0,0,0,0,1,3
West Ham United,Guido Rodríguez,guido rodriguez,0,0,0,0,0,0,0,1,1,1,0,0,1,2
West Ham United,Pablo,pablo,0,0,0,0,0,0,1,3,0,0,0,0,1,3
West Ham United,Callum Wilson,callum wilson,0,0,0,0,0,0,1,2,0,1,0,0,1,3
West Ham United,Keiber Lamadrid,keiber lamadrid,0,0,0,0,0,0,1,1,0,0,0,0,1,1
West Ham United,Nayef Aguerd,nayef aguerd,0,0,0,0,0,0,0,0,1,1,0,0,1,1
West Ham United,James Ward-Prowse,james ward-prowse,0,0,0,0,0,0,0,0,1,1,0,0,1,1
West Ham United,Lucas Paquetá,lucas paqueta,0,0,0,0,0,0,0,0,1,1,0,0,1,1
West Ham United,Lewis Orford,lewis orford,0,0,0,0,0,0,0,1,0,0,0,0,0,1
West Ham United,Finlay Herrick,finlay herrick,0,0,0,0,0,0,0,1,0,0,0,0,0,1
West Ham United,Niclas Füllkrug,niclas fullkrug,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Wolves,Sam Johnstone,sam johnstone,0,0,0,0,0,0,3,3,2,2,0,0,5,5
