squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Fiorentina,2026,summer,in,Riccardo Sottil,riccardo sottil,Left Winger,27,Italy,Lecce,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/386455-1663591627.jpg?lm=1
Fiorentina,2026,summer,in,Nicolás Valentini,nicolas valentini,Centre-Back,25,Argentina,Hellas Verona,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/860992-1711028718.jpg?lm=1
Fiorentina,2026,summer,in,Tommaso Rubino,tommaso rubino,Attacking Midfield,19,Italy,Carrarese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/866247-1715679843.jpg?lm=1
Fiorentina,2026,summer,in,Jonas Harder,jonas harder,Central Midfield,20,Italy,Padova,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/932740-1707406029.jpg?lm=1
Fiorentina,2026,summer,in,Maat Daniel Caprini,maat daniel caprini,Left Winger,20,Italy,Mantova,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/996453-1707214283.jpg?lm=1
Fiorentina,2026,summer,in,Filippo Distefano,filippo distefano,Second Striker,22,Italy,Carrarese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/669915-1673248566.jpg?lm=1
Fiorentina,2026,summer,in,Antonín Barák,antonin barak,Attacking Midfield,31,Czech Republic,Sampdoria,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/272261-1727699332.jpg?lm=1
Fiorentina,2026,summer,in,Tommaso Vannucchi,tommaso vannucchi,Goalkeeper,19,Italy,Cosenza,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/988977-1695026842.jpg?lm=1
Fiorentina,2026,summer,in,Lorenzo Romani,lorenzo romani,Centre-Back,21,Italy,Lecco,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/899542-1715679763.jpg?lm=1
Fiorentina,2026,summer,in,Giulio Scuderi,giulio scuderi,Left-Back,20,Italy,Alcione,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Fiorentina,2026,summer,in,Jacopo Tarantino,jacopo tarantino,Centre-Forward,21,Italy,Cerignola,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/928056-1752406559.jpg?lm=1
Fiorentina,2026,summer,in,Mirko Elia,mirko elia,Centre-Back,20,Italy,Forlì,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/883053-1752179318.jpg?lm=1
Fiorentina,2026,summer,in,Mattia Ievoli,mattia ievoli,Central Midfield,21,Italy,Ospitaletto,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/932741-1715680376.jpg?lm=1
Fiorentina,2026,summer,in,Leonardo Baroncelli,leonardo baroncelli,Centre-Back,20,Italy,AS Gubbio,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/932733-1724147453.jpg?lm=1
Fiorentina,2026,summer,in,Riccardo Spaggiari,riccardo spaggiari,Right Midfield,21,Italy,Arzignano,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Fiorentina,2026,summer,in,Francesco Presta,francesco presta,Second Striker,21,Italy,Foll. Gavorrano,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Fiorentina,2026,summer,in,Laerte Tognetti,laerte tognetti,Goalkeeper,21,Italy,Foll. Gavorrano,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/883046-1715679104.jpg?lm=1
Fiorentina,2026,summer,out,Lorenzo Amatucci,lorenzo amatucci,Defensive Midfield,22,Italy,Dep. A Coruña,2500000.0,€2.50m,https://img.a.transfermarkt.technology/portrait/medium/707450-1751270499.jpg?lm=1
Fiorentina,2026,summer,out,Lorenzo Lucchesi,lorenzo lucchesi,Centre-Back,23,Italy,Monza,1000000.0,€1.00m,https://img.a.transfermarkt.technology/portrait/medium/567454-1643816062.jpg?lm=1
Fiorentina,2026,summer,out,Lucas Beltrán,lucas beltran,Centre-Forward,25,Argentina,River Plate,,Loan fee: €500k,https://img.a.transfermarkt.technology/portrait/medium/628366-1692881138.jpg?lm=1
Fiorentina,2026,summer,out,Francesco Presta,francesco presta,Second Striker,21,Italy,Foll. Gavorrano,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Fiorentina,2026,summer,out,Leonardo Baroncelli,leonardo baroncelli,Centre-Back,20,Italy,AS Gubbio,,?,https://img.a.transfermarkt.technology/portrait/medium/932733-1724147453.jpg?lm=1
Fiorentina,2026,summer,out,Eddy Kouadio,eddy kouadio,Centre-Back,20,Italy,Monza,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/957822-1755840967.jpg?lm=1
Fiorentina,2026,summer,out,Abdelhamid Sabiri,abdelhamid sabiri,Attacking Midfield,29,Morocco,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/340394-1661514460.jpg?lm=1
Fiorentina,2026,summer,out,Giovanni Fabbian,giovanni fabbian,Attacking Midfield,23,Italy,Bologna,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/633668-1695027735.jpg?lm=1
Fiorentina,2026,summer,out,Marco Brescianini,marco brescianini,Central Midfield,26,Italy,Atalanta,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/459128-1730183739.jpg?lm=1
Fiorentina,2026,summer,out,Manor Solomon,manor solomon,Left Winger,26,Israel,Tottenham,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/396638-1684793985.jpg?lm=1
Fiorentina,2026,summer,out,Jack Harrison,jack harrison,Left Winger,29,England,Leeds,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/417346-1711746777.jpg?lm=1
Fiorentina,2026,summer,out,Daniele Rugani,daniele rugani,Centre-Back,31,Italy,Juventus,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/162959-1753427431.jpg?lm=1
Fiorentina,2026,winter,in,Gino Infantino,gino infantino,Central Midfield,23,Argentina,Argentinos Jrs.,,End of loan 31/12/2026,https://img.a.transfermarkt.technology/portrait/medium/831162-1695027339.jpg?lm=1
Genoa,2026,summer,in,Lorenzo Colombo,lorenzo colombo,Centre-Forward,24,Italy,AC Milan,7000000.0,€7.00m,https://img.a.transfermarkt.technology/portrait/medium/487843-1730186148.jpg?lm=1
Genoa,2026,summer,in,David Puczka,david puczka,Left-Back,21,Austria,Juve Next Gen,6000000.0,€6.00m,https://img.a.transfermarkt.technology/portrait/medium/715894-1782973384.jpg?lm=1
Genoa,2026,summer,in,Franz-Ethan Meichtry,franz-ethan meichtry,Central Midfield,20,Switzerland,FC Thun,4000000.0,€4.00m,https://img.a.transfermarkt.technology/portrait/medium/1172166-1771764915.jpg?lm=1
Genoa,2026,summer,in,Samuel Wiafe,samuel wiafe,Central Midfield,18,Italy,Modena,3000000.0,€3.00m,https://img.a.transfermarkt.technology/portrait/medium/1295778-1770621237.png?lm=1
Genoa,2026,summer,in,Marcelo Vaz,marcelo vaz,Left-Back,18,Guinea-Bissau,Varesina,300000.0,€300k,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Latif Ouedraogo,latif ouedraogo,Left-Back,18,Burkina Faso,Genoa U20,,-,https://img.a.transfermarkt.technology/portrait/medium/1385195-1779180199.jpg?lm=1
Genoa,2026,summer,in,Lorenzo Venturino,lorenzo venturino,Right Winger,20,Italy,Roma,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1061820-1737358590.jpg?lm=1
Genoa,2026,summer,in,Gabriele Calvani,gabriele calvani,Centre-Back,22,Italy,Frosinone,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/745778-1745569323.jpg?lm=1
Genoa,2026,summer,in,Alan Matturro,alan matturro,Centre-Back,21,Uruguay,Levante,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/861981-1692967519.jpg?lm=1
Genoa,2026,summer,in,Alessandro Vogliacco,alessandro vogliacco,Centre-Back,27,Italy,PAOK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/330208-1762636759.png?lm=1
Genoa,2026,summer,in,Seydou Fini,seydou fini,Right Winger,20,Italy,Frosinone,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/866250-1750415371.jpg?lm=1
Genoa,2026,summer,in,Alessandro Debenedetti,alessandro debenedetti,Centre-Forward,22,Italy,Virtus Entella,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1044794-1745853366.jpg?lm=1
Genoa,2026,summer,in,Franz Stolz,franz stolz,Goalkeeper,25,Austria,Grazer AK 1902,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/462699-1771411473.jpg?lm=1
Genoa,2026,summer,in,David Ankeye,david ankeye,Centre-Forward,24,Nigeria,Krasava ENY,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/881610-1737554623.jpg?lm=1
Genoa,2026,summer,in,Matteo Barbini,matteo barbini,Centre-Back,19,Italy,Dolomiti,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Hugo Cuenca,hugo cuenca,Attacking Midfield,21,Paraguay,Burgos Promesas,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/906315-1739282726.jpg?lm=1
