sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
268701,Ronald Koeman Jr,Telstar,ronald koeman jr,7.53,33,33,2959,1,0.79,0,0.21,0,0,1,1,100.0,919,1388,66.21,380,835,45.51,0,104,191,278,2,2,100.0,0,0,0.0,1708,483,0,319,0,8,100.0,4,2,66.67,12,85.71,1,1,100.0,0,23,0,0,2,1,0,0,5,3,0,143,0,22,5,53,111,30,46,7,8,12,12,12,1,4,0
1387012,Mats Rots,Twente,mats rots,6.94,34,34,2954,4,2.83,4,5.63,9,2,37,12,10.81,1136,1428,79.55,74,185,40.0,51,390,31,76,34,93,36.56,83,16,19.28,2287,570,13,193,31,136,46.26,18,22,45.0,154,46.11,73,42,57.53,39,65,13,7,1,3,41,27,29,4,0,0,0,0,7,36,0,0,30,6,0,0,0,0,0,0,0
138842,Joris van Overeem,Heerenveen,joris van overeem,7.22,33,33,2933,2,2.29,9,6.3,9,2,15,4,13.33,1487,1872,79.43,136,271,50.18,58,484,128,238,22,36,61.11,96,29,30.21,2433,559,25,273,37,109,47.81,42,34,55.26,151,49.67,54,28,51.85,35,79,4,8,1,6,28,43,33,5,0,0,0,0,4,51,0,0,40,11,0,0,0,0,0,0,0
318575,Damon Mirani,Heracles Almelo,damon mirani,6.65,33,33,2933,3,1.46,0,0.36,1,2,15,5,20.0,1258,1457,86.34,87,191,45.55,5,136,46,82,8,9,88.89,1,1,100.0,1892,221,1,93,4,56,60.87,86,67,56.21,142,57.96,35,21,60.0,28,192,2,36,2,1,15,20,13,6,0,0,0,0,2,79,0,0,71,8,0,0,0,0,0,0,0
946506,Bart van Rooij,Twente,bart van rooij,7.4,33,33,2928,3,2.03,4,5.29,5,1,36,9,8.33,1422,1709,83.21,126,222,56.76,42,355,56,107,18,34,52.94,75,14,18.67,2650,520,17,182,10,161,66.26,38,26,59.38,199,64.82,108,64,59.26,20,94,10,18,0,1,30,28,35,5,1,0,0,0,6,39,0,0,32,7,0,0,0,0,0,0,0
347726,Vasilis Barkas,Utrecht,vasilis barkas,7.15,33,33,2925,0,,0,0.08,0,0,0,0,0.0,723,1110,65.14,268,645,41.55,0,32,37,69,1,1,100.0,0,0,0.0,1442,390,0,336,0,7,87.5,10,0,100.0,17,94.44,1,1,100.0,0,28,0,0,2,1,1,0,4,1,0,110,2,16,9,39,73,36,32,7,8,21,21,32,0,2,1
1000548,Alonzo Engwanda,Utrecht,alonzo engwanda,6.93,34,34,2924,0,0.22,1,1.55,0,0,9,1,0.0,1022,1182,86.46,45,74,60.81,8,197,31,53,19,39,48.72,11,2,18.18,1647,235,12,124,22,132,60.27,38,25,60.32,170,60.28,96,58,60.42,56,71,5,9,0,2,18,28,17,4,0,0,0,0,8,40,0,0,33,7,0,0,0,0,0,0,0
847073,Koen Kostons,Zwolle,koen kostons,6.79,34,34,2887,11,11.1,6,3.8,7,12,61,28,18.03,545,750,72.67,21,33,63.64,21,214,27,46,10,31,32.26,16,3,18.75,1181,394,22,79,36,63,39.13,54,107,33.54,117,36.34,24,14,58.33,4,23,9,9,0,1,12,31,29,2,0,0,0,0,5,64,0,0,54,10,0,0,0,0,0,0,0
1393970,Kayne van Oevelen,Volendam,kayne van oevelen,7.2,32,32,2851,0,0.02,0,0.25,1,0,1,0,0.0,741,1384,53.54,250,883,28.31,3,91,53,117,2,2,100.0,0,0,0.0,1804,656,1,334,0,18,100.0,15,1,93.75,33,97.06,0,0,0.0,0,41,0,0,0,5,0,0,17,1,0,149,1,43,3,51,89,55,45,6,25,16,16,32,0,2,0
1004278,Alexandre Penetra,AZ Alkmaar,alexandre penetra,6.94,33,33,2845,2,2.22,1,0.96,1,1,16,2,12.5,1688,1882,89.69,108,201,53.73,8,172,59,118,1,2,50.0,7,3,42.86,2340,244,3,117,2,66,64.08,49,59,45.37,115,54.5,42,29,69.05,28,185,4,27,0,1,15,19,23,5,0,0,0,0,8,48,0,0,39,9,0,0,0,0,0,0,0
1005693,Anselmo Garcia McNulty,Zwolle,anselmo garcia mcnulty,6.63,32,32,2845,2,1.25,0,1.13,2,2,15,5,13.33,1282,1515,84.62,101,236,42.8,11,186,83,167,7,9,77.78,9,1,11.11,1957,270,4,103,0,62,56.88,46,37,55.42,108,56.25,40,24,60.0,32,186,5,20,0,1,16,29,15,4,1,0,0,0,6,67,0,0,56,11,0,0,0,0,0,0,0
991679,Souffian El Karouani,Utrecht,souffian el karouani,7.29,32,32,2833,2,2.13,11,8.88,16,2,47,16,4.26,904,1152,78.47,74,171,43.27,98,261,51,109,13,47,27.66,320,103,32.19,2253,635,12,146,19,143,55.0,19,23,45.24,162,53.64,87,59,67.82,31,61,11,8,0,3,21,46,43,3,0,0,0,0,9,36,0,0,29,7,0,0,0,0,0,0,0
891795,Melle Meulensteen,Go Ahead Eagles,melle meulensteen,7.14,34,33,2832,6,5.21,1,1.63,3,5,41,19,14.63,1415,1646,85.97,75,154,48.7,14,315,79,132,23,35,65.71,18,4,22.22,2203,326,9,173,18,107,59.12,66,64,50.77,173,55.63,45,22,48.89,55,112,9,22,0,1,31,15,43,2,0,0,0,0,8,49,0,0,44,5,0,0,0,0,0,0,0
1424404,Jorg Schreuders,Groningen,jorg schreuders,6.82,34,32,2828,1,3.6,2,3.91,4,7,36,18,2.78,922,1074,85.85,32,48,66.67,36,337,19,35,26,52,50.0,44,9,20.45,1560,318,22,154,37,114,50.22,15,17,46.88,129,49.81,48,33,68.75,11,14,8,5,0,0,28,26,40,3,0,0,0,0,7,40,0,0,35,5,0,0,0,0,0,0,0
76160,Marvin Peersman,Groningen,marvin peersman,6.74,33,33,2828,3,3.0,1,2.99,1,5,21,6,14.29,1011,1274,79.36,71,162,43.83,26,278,58,129,12,35,34.29,46,9,19.57,2020,481,8,187,8,93,51.96,35,38,47.95,128,50.79,39,25,64.1,29,101,4,7,1,1,19,39,42,5,0,0,0,0,5,38,0,0,33,5,0,0,0,0,0,0,0
858242,Boy Kemper,NAC Breda,boy kemper,6.83,32,32,2821,5,3.11,3,3.67,7,3,30,13,16.67,813,1134,71.69,75,171,43.86,37,281,40,104,10,23,43.48,115,22,19.13,2009,582,10,135,16,97,53.59,68,53,56.2,165,54.64,50,29,58.0,23,89,2,13,0,0,19,38,40,3,0,0,0,0,4,53,0,0,50,3,0,0,0,0,0,0,0
367118,Stijn van Gassel,Excelsior,stijn van gassel,7.36,32,32,2820,0,,1,0.54,2,0,0,0,0.0,845,1450,58.28,423,1021,41.43,3,113,87,164,0,0,0.0,0,0,0.0,1795,618,0,305,0,3,60.0,5,0,100.0,8,80.0,0,0,0.0,0,44,0,0,1,3,2,0,4,0,0,117,0,27,6,46,77,38,39,7,19,24,23,27,0,4,0
1150061,Oliver Braude,Heerenveen,oliver braude,6.81,32,32,2819,0,1.59,4,4.31,4,2,21,4,0.0,1071,1381,77.55,100,224,44.64,25,279,70,155,18,33,54.55,61,15,24.59,2115,463,8,167,15,136,56.67,48,53,47.52,184,53.96,67,41,61.19,22,83,5,15,0,1,30,46,51,7,0,0,0,0,5,50,0,0,41,9,0,0,0,0,0,0,0
1064426,Vasilios Zagaritis,Heerenveen,vasilios zagaritis,6.88,34,33,2816,2,1.42,3,4.66,9,1,20,6,10.0,972,1157,84.01,35,69,50.72,33,291,23,44,28,49,57.14,98,19,19.39,1990,406,8,139,23,118,57.84,69,31,69.0,187,61.51,59,39,66.1,47,107,5,12,0,1,16,28,32,4,0,0,0,0,1,48,0,0,38,10,0,0,0,0,0,0,0
794013,Mats Deijl,Feyenoord,mats deijl,6.75,33,32,2811,1,2.77,5,2.56,5,3,17,10,5.88,978,1192,82.05,67,161,41.61,26,276,45,93,10,17,58.82,44,12,27.27,1866,328,6,111,6,115,71.43,48,35,57.83,163,66.8,46,33,71.74,17,82,1,18,0,1,7,29,61,5,0,0,0,0,6,49,0,0,42,7,0,0,0,0,0,0,0
1433802,Gjivai Zechiël,Utrecht,gjivai zechiel,7.19,34,32,2808,8,5.84,7,5.73,9,8,62,26,12.9,1126,1326,84.92,62,103,60.19,46,316,54,91,26,58,44.83,22,8,36.36,1815,333,22,154,28,111,50.45,16,10,61.54,127,51.63,51,24,47.06,39,35,21,7,0,0,28,21,34,4,0,0,0,0,6,35,0,0,28,7,0,0,0,0,0,0,0
803021,Sherel Constancio Floranus,Zwolle,sherel constancio floranus,6.4,32,32,2801,1,0.75,3,2.03,5,2,7,3,14.29,954,1168,81.68,47,102,46.08,14,188,29,61,17,33,51.52,39,8,20.51,1887,381,4,148,16,86,50.89,28,36,43.75,114,48.93,55,38,69.09,50,111,1,7,0,2,31,23,14,5,0,0,0,0,3,65,0,0,56,9,0,0,0,0,0,0,0
990798,Gonzalo Crettaz,NEC Nijmegen,gonzalo crettaz,7.14,31,31,2790,0,,0,0.56,3,0,0,0,0.0,813,1473,55.19,302,950,31.79,3,97,85,177,0,0,0.0,0,0,0.0,1763,665,0,340,1,5,62.5,5,0,100.0,10,76.92,5,2,40.0,0,38,0,0,2,2,2,0,1,3,0,104,0,17,4,49,66,34,42,7,7,53,51,14,0,5,1
