sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
1064174,Nayel Mehssatou,Standard Liège,nayel mehssatou,6.67,29,10,1124,0,0.85,1,1.14,2,1,10,5,0.0,342,425,80.47,17,37,45.95,7,126,25,40,6,26,23.08,22,5,22.73,615,156,4,34,11,43,45.74,5,8,38.46,48,44.86,15,9,60.0,4,15,2,2,0,3,8,12,22,2,0,0,0,0,1,15,0,0,14,1,0,0,0,0,0,0,0
1086072,Nikolas Sattlberger,Genk,nikolas sattlberger,6.59,25,12,1124,0,0.75,1,0.73,4,0,8,2,0.0,472,566,83.39,23,44,52.27,6,87,17,32,2,4,50.0,3,1,33.33,711,115,4,50,7,24,35.82,18,23,43.9,42,38.89,16,10,62.5,11,45,2,2,0,0,6,30,6,3,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0
1010634,Hyeon-gyu Oh,Genk,hyeon-gyu oh,6.77,20,13,1116,6,7.63,3,1.49,5,14,49,24,12.24,160,198,80.81,6,7,85.71,17,83,7,13,6,12,50.0,5,1,20.0,391,107,7,25,12,32,48.48,15,40,27.27,47,38.84,10,4,40.0,1,3,11,3,0,0,3,15,16,2,0,0,0,0,0,20,0,0,19,1,0,0,0,0,0,0,0
94300,Benito Raman,Mechelen,benito raman,6.65,29,10,1087,3,4.82,3,1.09,1,5,28,10,10.71,132,193,68.39,12,18,66.67,13,53,15,20,11,25,44.0,12,1,8.33,344,121,11,27,12,29,38.67,2,13,13.33,31,34.44,11,7,63.64,2,3,6,0,0,0,10,10,7,0,0,0,0,0,0,20,0,0,17,3,0,0,0,0,0,0,0
110777,Hendrik Van Crombrugge,Genk,hendrik van crombrugge,7.13,12,12,1080,0,,0,0.03,0,0,0,0,0.0,337,401,84.04,72,130,55.38,0,11,26,44,0,0,0.0,0,0,0.0,517,66,0,86,0,1,100.0,0,0,0.0,1,100.0,0,0,0.0,1,10,0,0,1,2,0,0,1,0,0,40,0,4,1,18,32,8,15,3,6,3,2,13,0,1,0
1512197,Noah Adedeji-Sternberg,Genk,noah adedeji-sternberg,6.8,25,12,1052,1,1.22,1,2.9,5,0,22,4,4.55,356,433,82.22,4,10,40.0,16,174,15,25,22,61,36.07,47,9,19.15,781,232,8,44,20,80,50.63,7,13,35.0,87,48.88,22,15,68.18,8,6,7,2,0,1,7,12,36,0,0,0,0,0,0,11,0,0,10,1,0,0,0,0,0,0,0
1403124,Emran Soglo,Zulte Waregem,emran soglo,6.85,18,11,1045,0,1.02,3,2.37,4,1,16,2,0.0,314,407,77.15,12,34,35.29,15,125,12,34,23,34,67.65,42,10,23.81,722,186,8,62,13,65,56.03,9,8,52.94,74,55.64,29,17,58.62,15,8,4,1,0,0,11,16,13,2,0,0,0,0,0,18,0,0,15,3,0,0,0,0,0,0,0
1047509,Bjorn Meijer,Club Brugge,bjorn meijer,6.88,27,9,1041,1,1.56,1,2.26,6,1,14,4,7.14,418,511,81.8,21,40,52.5,19,143,18,31,9,20,45.0,39,15,38.46,850,175,1,31,6,33,55.0,25,14,64.1,58,58.59,15,9,60.0,14,38,5,4,0,0,4,6,9,1,0,0,0,0,3,10,0,0,9,1,0,0,0,0,0,0,0
1473492,Makaya Ibrahima Diaby,Cercle Brugge,makaya ibrahima diaby,6.7,26,10,1039,2,2.24,1,0.73,2,2,18,7,11.11,318,419,75.89,14,20,70.0,5,60,7,11,13,25,52.0,6,1,16.67,676,172,7,58,17,62,46.97,31,24,56.36,93,49.73,35,24,68.57,18,25,4,6,0,0,15,27,14,4,1,0,0,0,1,22,0,0,19,3,0,0,0,0,0,0,0
10406,Simon Mignolet,Club Brugge,simon mignolet,7.14,12,12,1023,0,,0,0.02,0,0,0,0,0.0,304,360,84.44,58,112,51.79,0,10,17,26,0,0,0.0,0,0,0.0,448,57,0,80,0,0,0.0,2,0,100.0,2,100.0,0,0,0.0,0,5,0,0,2,0,0,0,0,1,0,34,0,5,1,11,26,7,8,3,3,1,1,9,0,1,0
1529975,Lucca Brughmans,Genk,lucca brughmans,7.11,11,11,1020,0,,0,0.02,0,0,0,0,0.0,202,309,65.37,59,165,35.76,1,12,16,32,0,0,0.0,0,0,0.0,404,113,0,77,0,0,0.0,1,0,100.0,1,100.0,0,0,0.0,0,10,0,0,1,0,0,0,0,0,0,28,0,8,5,7,24,4,6,1,3,5,5,9,0,2,0
198282,Patrik Hrošovský,Genk,patrik hrosovsky,6.94,16,10,1002,1,1.52,1,1.12,2,0,24,8,4.17,530,595,89.08,38,58,65.52,13,177,24,44,8,17,47.06,32,8,25.0,773,123,7,72,12,33,50.0,5,10,33.33,38,46.91,18,10,55.56,9,14,9,2,0,0,8,6,7,0,0,0,0,0,1,14,0,0,11,3,0,0,0,0,0,0,0
1166767,Dikeni Salifou,Mechelen,dikeni salifou,6.62,18,11,1002,0,0.28,0,0.17,0,1,3,2,0.0,352,417,84.41,20,34,58.82,1,68,15,24,7,14,50.0,2,0,0.0,589,110,3,53,18,44,46.81,20,20,50.0,64,47.76,31,17,54.84,19,19,1,3,0,1,10,16,6,2,0,0,0,0,1,20,0,0,16,4,0,0,0,0,0,0,0
190379,Lucas Pirard,Standard Liège,lucas pirard,7.44,11,11,990,0,,0,0.03,0,0,0,0,0.0,174,336,51.79,93,253,36.76,0,16,13,31,1,1,100.0,0,0,0.0,446,164,0,106,0,4,100.0,3,0,100.0,7,100.0,0,0,0.0,0,13,0,0,1,1,0,0,3,1,0,45,0,5,4,11,33,12,10,1,2,8,8,6,0,0,0
982315,Moussa Ndiaye,Anderlecht,moussa ndiaye,6.88,17,9,977,0,0.69,0,0.34,0,0,10,1,0.0,505,616,81.98,20,61,32.79,4,136,16,43,8,12,66.67,7,1,14.29,904,163,1,58,1,57,71.25,33,16,67.35,90,69.77,29,14,48.28,21,36,3,3,0,0,8,10,20,2,0,0,0,0,1,17,0,0,14,3,0,0,0,0,0,0,0
1122552,Alan Minda,Cercle Brugge,alan minda,6.86,17,11,974,3,2.77,2,1.19,3,2,27,12,11.11,201,243,82.72,12,17,70.59,10,91,7,10,20,40,50.0,16,7,43.75,429,129,8,24,17,32,41.03,6,7,46.15,38,41.76,3,2,66.67,4,2,5,0,0,0,6,3,10,0,0,0,0,0,1,16,0,0,13,3,0,0,0,0,0,0,0
1142092,Darío Benavides,La Louvière,dario benavides,6.73,20,12,974,0,0.68,1,1.43,2,1,7,1,0.0,220,288,76.39,10,21,47.62,10,80,8,21,6,9,66.67,32,9,28.13,528,135,7,52,6,41,55.41,17,17,50.0,58,53.7,22,12,54.55,19,26,0,2,0,0,13,12,13,1,0,0,0,0,1,15,0,0,15,0,0,0,0,0,0,0,0
2033824,Abdoul Karim Traoré,OH Leuven,abdoul karim traore,6.41,25,11,972,2,4.07,1,0.64,2,6,34,8,5.88,120,164,73.17,3,7,42.86,8,46,1,4,11,41,26.83,15,0,0.0,398,162,10,52,22,32,28.32,18,47,27.69,50,28.09,8,5,62.5,4,5,13,1,0,0,8,23,13,3,0,0,0,0,0,15,0,0,12,3,0,0,0,0,0,0,0
985262,Moussa Diarra,Anderlecht,moussa diarra,6.48,12,12,970,0,0.23,0,0.17,0,0,5,1,0.0,538,622,86.5,22,60,36.67,0,46,17,46,2,4,50.0,7,0,0.0,780,107,2,41,2,25,52.08,26,23,53.06,51,52.58,8,3,37.5,21,38,1,11,0,1,1,18,15,4,0,0,0,0,0,23,0,0,19,4,0,0,0,0,0,0,0
1402293,Ryan Merlen,Sint-Truiden,ryan merlen,6.82,33,7,965,3,3.41,2,2.27,5,4,24,5,12.5,493,619,79.64,62,104,59.62,19,164,61,106,9,15,60.0,33,8,24.24,788,193,6,71,8,19,38.0,16,17,48.48,35,42.17,8,5,62.5,4,16,7,2,0,0,9,8,2,4,1,0,0,0,1,8,0,0,8,0,0,0,0,0,0,0,0
1407164,Gora Diouf,Mechelen,gora diouf,6.78,18,9,951,1,0.59,1,0.28,0,0,6,1,16.67,383,466,82.19,42,87,48.28,4,32,24,42,8,9,88.89,1,0,0.0,675,108,1,32,3,34,66.67,21,18,53.85,55,61.11,22,12,54.55,14,76,0,6,0,0,6,9,4,5,1,0,0,0,2,17,0,0,14,3,0,0,0,0,0,0,0
822673,Dante Vanzeir,Cercle Brugge,dante vanzeir,6.58,20,10,950,2,1.86,2,1.3,6,3,23,10,8.7,144,225,64.0,4,9,44.44,13,79,3,10,7,14,50.0,39,7,17.95,399,162,9,29,9,17,32.69,10,26,27.78,27,30.68,8,6,75.0,5,10,7,0,0,0,8,11,2,0,0,0,0,0,1,16,0,0,13,3,0,0,0,0,0,0,0
2115926,Benoit De Jaegere,Zulte Waregem,benoit de jaegere,6.61,17,10,946,0,0.05,0,0.59,0,0,2,0,0.0,380,462,82.25,30,80,37.5,3,53,15,47,2,5,40.0,6,1,16.67,632,108,2,27,4,32,61.54,9,16,36.0,41,53.25,24,14,58.33,6,50,0,3,0,1,5,8,6,1,0,0,0,0,1,18,0,0,16,2,0,0,0,0,0,0,0
1101178,Oucasse Mendy,La Louvière,oucasse mendy,6.59,17,12,930,1,0.8,0,0.49,2,2,7,2,14.29,70,113,61.95,0,8,0.0,11,36,2,5,9,22,40.91,8,1,12.5,290,112,3,16,20,44,44.0,25,39,39.06,69,42.07,9,8,88.89,6,7,2,1,0,0,3,20,26,4,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0
904992,Loïc Mbe Soh,Sint-Truiden,loic mbe soh,7.18,14,9,921,2,1.47,0,0.27,0,2,5,2,40.0,708,765,92.55,28,54,51.85,1,68,19,36,1,2,50.0,1,0,0.0,897,66,2,49,3,16,55.17,20,13,60.61,36,58.06,12,4,33.33,15,57,1,18,0,0,1,9,3,1,0,0,0,0,0,14,0,0,11,3,0,0,0,0,0,0,0
1465835,Andreas Verstraeten,Antwerp,andreas verstraeten,6.77,16,9,921,0,,1,0.39,1,0,0,0,0.0,457,550,83.09,31,76,40.79,8,69,21,55,4,9,44.44,23,4,17.39,702,141,2,49,5,33,55.93,6,7,46.15,39,54.17,21,15,71.43,14,18,0,4,0,0,9,7,8,3,0,0,0,0,1,12,0,0,11,1,0,0,0,0,0,0,0
942937,Hong Hyun-seok,Gent,hong hyun-seok,6.71,19,13,912,1,0.82,0,0.66,1,1,6,4,16.67,276,340,81.18,9,19,47.37,7,92,8,14,5,14,35.71,10,3,30.0,484,107,5,36,8,34,53.97,7,9,43.75,41,51.9,18,9,50.0,12,7,2,1,0,1,9,4,12,0,0,0,0,0,0,12,0,0,11,1,0,0,0,0,0,0,0
331837,Alireza Jahanbakhsh,Dender,alireza jahanbakhsh,6.6,21,9,906,1,2.38,1,1.07,0,1,20,7,5.0,260,370,70.27,18,33,54.55,11,109,12,31,8,21,38.1,30,2,6.67,598,206,8,35,15,31,39.74,19,22,46.34,50,42.02,9,5,55.56,4,16,4,3,0,1,7,14,14,5,0,0,0,0,0,18,0,0,16,2,0,0,0,0,0,0,0
1397885,Geoffrey Kondo,Cercle Brugge,geoffrey kondo,7.08,10,10,900,1,0.63,1,1.11,2,0,9,2,11.11,435,506,85.97,43,76,56.58,3,36,24,41,5,7,71.43,3,0,0.0,661,86,0,59,0,24,72.73,21,7,75.0,45,73.77,16,9,56.25,10,67,3,5,0,0,2,5,3,0,0,0,0,0,1,22,0,0,19,3,0,0,0,0,0,0,0
583506,Michael Verrips,Dender,michael verrips,6.86,10,10,900,0,,0,0.02,0,0,0,0,0.0,240,374,64.17,63,195,32.31,0,10,11,21,0,0,0.0,0,0,0.0,459,136,0,97,0,3,100.0,3,1,75.0,6,85.71,0,0,0.0,1,7,0,0,0,0,0,0,3,0,0,21,0,3,2,15,15,6,14,1,2,1,1,4,0,2,0
252515,Simen Juklerød,Sint-Truiden,simen juklerod,6.77,22,7,873,1,0.83,4,1.79,3,1,8,3,12.5,314,416,75.48,15,40,37.5,14,135,9,26,4,12,33.33,36,7,19.44,641,168,4,35,3,22,45.83,17,17,50.0,39,47.56,13,10,76.92,8,23,1,2,0,1,8,7,5,0,0,0,0,0,3,9,0,0,7,2,0,0,0,0,0,0,0
1177406,Andrés Ferrari,Sint-Truiden,andres ferrari,6.62,20,10,869,3,4.29,1,0.39,0,5,32,8,9.38,81,108,75.0,5,7,71.43,8,30,4,5,12,40,30.0,3,0,0.0,340,125,6,24,15,43,38.05,23,24,48.94,66,41.25,15,8,53.33,6,8,8,3,0,0,5,24,16,4,0,0,0,0,0,10,0,0,8,2,0,0,0,0,0,0,0
1135616,Momodou Sonko,Gent,momodou sonko,6.67,28,6,868,0,1.16,2,3.54,5,1,20,2,0.0,295,358,82.4,12,20,60.0,20,108,3,9,17,43,39.53,59,15,25.42,609,189,5,50,18,33,38.37,3,1,75.0,36,40.0,10,9,90.0,5,7,8,0,0,1,2,7,6,2,0,0,0,0,0,18,0,0,15,3,0,0,0,0,0,0,0
1445119,Bilal Bafdili,Mechelen,bilal bafdili,6.72,19,11,867,1,1.42,3,1.69,4,2,11,4,9.09,223,286,77.97,11,29,37.93,16,81,11,23,10,27,37.04,30,9,30.0,471,149,6,58,17,30,35.29,7,14,33.33,37,34.91,8,4,50.0,7,14,3,0,0,0,9,12,12,2,0,0,0,0,1,11,0,0,10,1,0,0,0,0,0,0,0
997827,Kyan Vaesen,OH Leuven,kyan vaesen,6.52,32,7,863,2,3.79,1,0.44,2,4,22,9,9.09,100,166,60.24,2,5,40.0,11,49,1,5,4,11,36.36,3,0,0.0,327,136,3,24,15,23,38.98,40,50,44.44,63,42.28,9,6,66.67,3,13,1,1,0,0,3,11,11,4,0,0,0,0,0,23,0,0,21,2,0,0,0,0,0,0,0
1470532,Benjamin Fredrick,Dender,benjamin fredrick,6.51,14,10,862,0,0.45,0,0.68,2,1,6,1,0.0,287,342,83.92,10,26,38.46,4,48,5,10,3,4,75.0,19,5,26.32,550,93,0,25,5,30,60.0,13,25,34.21,43,48.86,22,11,50.0,14,38,3,6,0,0,6,8,5,2,0,0,0,0,0,16,0,0,14,2,0,0,0,0,0,0,0
1168646,Ibrahim Diakité,Cercle Brugge,ibrahim diakite,6.61,19,10,858,0,0.87,1,0.66,0,1,5,1,0.0,215,304,70.72,17,45,37.78,2,72,18,42,5,9,55.56,11,1,9.09,529,142,5,32,8,41,60.29,16,14,53.33,57,58.16,27,19,70.37,7,29,1,0,0,0,4,12,9,3,0,0,0,0,0,16,0,0,15,1,0,0,0,0,0,0,0
1869028,Shunsuke Saito,Westerlo,shunsuke saito,6.72,17,10,855,1,1.62,1,2.37,4,1,18,2,5.56,190,253,75.1,5,14,35.71,11,82,8,18,13,26,50.0,26,8,30.77,446,147,6,31,19,39,45.35,5,8,38.46,44,44.44,17,6,35.29,5,6,5,0,0,0,8,9,10,2,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0
1860321,Davis Opoku,OH Leuven,davis opoku,6.79,21,5,837,0,0.18,2,1.21,2,0,4,1,0.0,209,260,80.38,11,29,37.93,13,61,10,22,10,17,58.82,20,8,40.0,530,124,3,32,9,59,57.84,6,8,42.86,65,56.03,33,22,66.67,14,26,3,2,0,1,11,16,16,2,0,0,0,0,1,14,0,0,12,2,0,0,0,0,0,0,0
1499156,Valy Konaté,Cercle Brugge,valy konate,6.92,13,9,835,0,0.08,0,0.87,2,0,3,1,0.0,303,381,79.53,18,50,36.0,7,73,16,31,7,14,50.0,29,4,13.79,643,134,3,48,4,58,64.44,22,12,64.71,80,64.52,41,29,70.73,19,45,1,4,0,0,11,10,10,2,0,0,0,0,2,13,0,0,10,3,0,0,0,0,0,0,0
1931586,Moncef Zekri,Mechelen,moncef zekri,6.64,16,11,831,0,0.39,0,0.5,1,0,7,4,0.0,190,243,78.19,7,26,26.92,2,54,8,19,11,26,42.31,21,4,19.05,491,129,3,44,13,39,45.35,2,11,15.38,41,41.41,20,12,60.0,15,16,0,2,0,0,7,12,8,1,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0
1128427,Dirk Asare,Zulte Waregem,dirk asare,6.9,11,9,818,0,0.27,0,0.73,3,0,8,4,0.0,333,392,84.95,19,33,57.58,5,96,11,18,6,10,60.0,3,1,33.33,517,80,2,52,7,37,51.39,12,6,66.67,49,54.44,22,12,54.55,14,17,2,1,0,2,10,15,10,1,0,0,0,0,2,14,0,0,12,2,0,0,0,0,0,0,0
924664,David Hrnčár,Dender,david hrncar,6.66,18,9,815,2,2.21,0,1.03,1,4,17,8,11.76,119,182,65.38,14,33,42.42,11,44,13,24,2,7,28.57,37,13,35.14,381,126,3,24,5,16,41.03,7,9,43.75,23,41.82,11,6,54.55,5,26,3,1,0,0,8,6,4,1,0,0,0,0,1,16,0,0,16,0,0,0,0,0,0,0,0
1495876,Mamadou Diakhon,Club Brugge,mamadou diakhon,6.76,23,8,809,0,1.11,7,1.96,3,1,17,3,0.0,267,298,89.6,10,11,90.91,15,138,4,5,15,24,62.5,36,6,16.67,486,117,5,26,15,47,57.32,1,8,11.11,48,52.75,4,3,75.0,2,3,4,1,0,0,6,6,28,1,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0
1101702,Mario Stroeykens,Anderlecht,mario stroeykens,6.64,23,7,806,1,1.14,0,1.45,1,0,16,3,6.25,396,481,82.33,11,17,64.71,10,207,18,26,4,11,36.36,10,1,10.0,620,135,4,36,13,24,40.68,3,18,14.29,27,33.75,12,7,58.33,7,6,7,0,0,0,7,8,8,2,0,0,0,0,1,17,0,0,16,1,0,0,0,0,0,0,0
891609,Joedrick Pupe,Sint-Truiden,joedrick pupe,6.97,12,10,804,1,0.22,0,0.62,1,0,6,3,16.67,412,496,83.06,22,52,42.31,8,100,19,38,7,17,41.18,23,4,17.39,673,130,3,35,2,24,54.55,19,14,57.58,43,55.84,10,7,70.0,17,21,0,3,0,1,1,8,8,2,0,0,0,0,1,10,0,0,9,1,0,0,0,0,0,0,0
1173223,Besfort Zeneli,Union SG,besfort zeneli,7.13,15,8,774,3,2.06,6,3.52,8,3,16,8,18.75,251,327,76.76,7,12,58.33,22,101,9,18,7,14,50.0,59,25,42.37,503,153,3,25,9,24,48.98,5,4,55.56,29,50.0,8,6,75.0,3,0,5,2,0,1,4,6,9,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0
1387937,Mateo Biondic,Union SG,mateo biondic,6.76,15,9,771,4,4.58,2,0.91,1,6,27,15,14.81,112,164,68.29,2,4,50.0,9,46,0,2,8,17,47.06,6,1,16.67,303,108,8,24,9,19,32.76,24,28,46.15,43,39.09,5,2,40.0,3,5,6,0,0,0,3,19,6,0,0,0,0,0,1,5,0,0,3,2,0,0,0,0,0,0,0
1193085,Mihajlo Ilić,Anderlecht,mihajlo ilic,6.84,10,8,769,0,0.17,0,0.19,0,0,4,1,0.0,364,428,85.05,37,70,52.86,3,36,16,32,0,2,0.0,1,0,0.0,573,74,1,31,0,15,50.0,23,16,58.97,38,55.07,10,6,60.0,8,67,1,14,0,1,3,11,5,4,0,0,0,0,1,17,0,0,13,4,0,0,0,0,0,0,0
1108599,Vic Chambaere,Union SG,vic chambaere,6.73,9,8,765,0,,0,0.02,0,0,0,0,0.0,120,187,64.17,37,104,35.58,1,11,13,32,0,0,0.0,0,0,0.0,242,69,0,56,0,1,50.0,1,0,100.0,2,66.67,0,0,0.0,0,7,0,0,0,0,1,0,1,1,0,14,0,4,2,7,10,4,6,1,5,2,1,1,0,0,0
1049432,Dani van den Heuvel,Club Brugge,dani van den heuvel,6.68,10,8,764,0,,0,0.03,0,0,0,0,0.0,216,287,75.26,36,106,33.96,0,5,10,20,0,0,0.0,0,0,0.0,354,72,0,54,0,2,100.0,1,1,50.0,3,75.0,0,0,0.0,0,8,0,0,1,0,0,1,2,0,0,22,0,4,2,12,13,9,12,0,3,2,2,1,0,2,1
