player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Jean Mattéo Bahoya,Frankfurt,"MF,FW",20,1331,0.2,0.27,1.96,0.61,2.23,0.811,0.946,0.878,1.486,0.203,25000000.0,0.0,0.2,0.27,0.81,1.96,0.0,3,4,,,France,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/939964-1724772389.jpg?lm=1,6.96,80.45,37.5,21.21,59.42,45.16,26.92,58.39,54.01,2.09,0.404,0.876,0.944,0.135,0.876,4.045,0.472,0.944,6.337,0.0,0.27,2.764,8.09,0.0,3.0,0.0,0.0,0.0,0.0,27.0,1335.0,jean matteo bahoya,,,,,
Jessic Ngankam,Frankfurt,FW,25,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714,2.857,0.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/448177-1770980028.png?lm=1,6.43,88.24,100.0,0.0,100.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,1.286,0.0,1.286,0.0,0.0,3.857,0.0,1.286,1.286,3.857,0.0,0.0,0.0,0.0,0.0,0.0,3.0,70.0,jessic ngankam,2028-06-30,448177,2026-07-03T17:44:30,2023-07-14,
Jonathan Burkardt,Frankfurt,FW,25,1336,0.61,0.07,2.76,1.41,0.338,0.068,0.27,0.811,1.014,0.135,30000000.0,0.0,0.61,0.07,0.21,2.76,0.0,9,1,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/333647-1753985077.jpg?lm=1,6.94,73.3,66.67,20.0,54.55,50.0,20.0,43.28,32.79,0.604,0.067,0.739,0.537,0.0,0.067,1.478,0.739,0.269,1.948,0.067,0.269,0.403,4.097,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1340.0,jonathan burkardt,2030-06-30,333647,2026-07-03T17:44:30,2025-07-04,
Kauã Santos,Frankfurt,GK,22,1084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,53.6,15.4,Brazil,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/997861-1696509170.jpg?lm=1,6.62,63.0,29.09,0.0,100.0,0.0,90.0,100.0,93.33,0.0,0.0,1.659,0.0,0.0,0.0,8.959,0.747,0.0,0.415,0.332,0.0,0.083,0.747,3.069,1.0,0.829,0.498,0.498,1.0,13.0,1085.0,kaua santos,2030-06-30,997861,2026-07-03T17:44:30,2023-08-29,
Love Arrhov,Frankfurt,MF,17,65,0.0,0.0,0.0,0.0,0.0,0.0,2.857,2.857,1.429,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Sweden,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/1184986-1743334043.jpg?lm=1,6.55,73.91,0.0,0.0,33.33,100.0,0.0,40.0,40.0,1.169,0.0,1.169,0.0,0.0,0.0,0.0,0.0,2.338,4.675,0.0,0.0,1.169,5.844,0.0,0.0,0.0,0.0,0.0,0.0,5.0,77.0,love arrhov,2028-06-30,1184986,2026-07-03T17:44:30,2026-01-01,
Mahmoud Dahoud,Frankfurt,"MF,FW",29,716,0.25,0.38,2.14,0.25,1.0,1.25,1.0,2.0,0.25,0.0,2000000.0,0.0,0.25,0.38,1.14,2.14,0.0,2,3,,,Syria,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/191422-1726605307.jpg?lm=1,6.61,81.32,34.38,12.5,55.56,63.64,35.71,33.96,34.33,0.868,0.0,1.24,0.868,0.248,1.24,4.463,0.62,0.868,2.231,0.0,0.248,0.62,7.562,0.0,0.0,0.0,0.0,0.0,0.0,15.0,726.0,mahmoud dahoud,,,,,
Mario Götze,Frankfurt,MF,33,886,0.0,0.0,0.51,0.0,2.245,0.408,0.816,0.918,1.224,0.102,3000000.0,0.0,0.0,0.0,0.0,0.51,0.0,0,0,,,Germany,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/74842-1663065102.jpg?lm=1,6.54,83.2,52.0,26.09,35.71,64.29,6.25,40.26,34.41,1.536,0.614,0.307,0.307,0.307,0.512,5.017,0.102,0.922,3.174,0.0,0.922,0.512,11.877,0.0,0.0,0.0,0.0,0.0,0.0,21.0,879.0,mario gotze,2028-06-30,74842,2026-07-03T17:44:30,2022-07-01,
Michael Zetterer,Frankfurt,GK,30,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,65.3,28.6,Germany,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/196813-1757598019.jpg?lm=1,6.96,71.86,43.6,0.0,0.0,0.0,85.71,85.71,85.71,0.0,0.0,1.003,0.0,0.0,0.046,10.663,0.273,0.0,0.273,0.273,0.0,0.0,1.504,2.871,5.0,0.547,0.41,0.319,0.0,22.0,1975.0,michael zetterer,2029-06-30,196813,2026-07-03T17:44:30,2025-08-20,
Michy Batshuayi,Frankfurt,FW,31,139,0.0,0.0,3.24,0.65,0.0,0.0,0.667,1.333,0.667,0.667,2000000.0,0.0,0.0,0.0,0.0,3.24,0.0,0,0,,,Belgium,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/179184-1753985153.jpg?lm=1,6.4,73.68,100.0,0.0,50.0,100.0,21.43,33.33,26.09,1.286,0.0,0.643,1.929,0.0,0.0,3.857,1.929,0.643,1.929,0.0,0.0,0.643,6.429,0.0,0.0,0.0,0.0,0.0,0.0,6.0,140.0,michy batshuayi,2027-06-30,179184,2026-07-03T17:44:30,2025-02-03,
Nathaniel Brown,Frankfurt,"MF,DF",22,2656,0.14,0.14,0.61,0.3,1.525,0.847,1.932,0.915,1.119,0.034,40000000.0,0.0,0.14,0.14,0.42,0.61,0.0,4,4,,,Germany,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/691892-1724772335.jpg?lm=1,6.79,84.74,39.19,19.15,43.59,70.37,30.0,59.01,55.56,1.151,0.237,1.49,0.135,0.237,0.88,3.995,0.305,1.93,4.436,0.0,0.305,0.576,7.686,0.0,6.0,0.0,0.0,0.0,0.0,33.0,2658.0,nathaniel brown,2030-06-30,691892,2026-07-03T17:44:30,2024-01-03,
Nnamdi Collins,Frankfurt,DF,21,1500,0.06,0.12,0.24,0.06,0.24,1.437,2.275,1.317,1.138,0.0,20000000.0,0.0,0.06,0.12,0.36,0.24,0.0,1,2,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/684315-1724772257.jpg?lm=1,6.69,87.64,55.56,25.0,45.83,69.39,57.58,60.94,60.25,0.179,0.06,3.402,0.0,0.06,1.492,3.163,1.134,2.029,4.655,0.119,0.239,0.656,9.43,0.0,4.0,0.0,0.0,0.0,0.0,23.0,1508.0,nnamdi collins,2030-06-30,684315,2026-07-03T17:44:30,2023-08-09,
Oscar Højlund,Frankfurt,MF,20,1089,0.08,0.08,0.58,0.25,0.165,0.579,1.405,2.231,0.413,0.083,15000000.0,0.0,0.08,0.08,0.24,0.58,0.0,1,1,,,Denmark,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/846310-1724771793.jpg?lm=1,6.54,89.72,64.52,0.0,41.67,62.07,27.78,39.8,37.93,0.573,0.164,1.392,0.164,0.409,0.573,1.965,0.409,1.474,3.194,0.164,0.246,0.409,9.172,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1099.0,oscar hojlund,2029-06-30,846310,2026-07-03T17:44:30,2024-07-10,
Rasmus Kristensen,Frankfurt,"DF,MF",28,1538,0.12,0.0,0.88,0.35,1.93,1.111,1.93,1.404,0.585,0.175,10000000.0,0.0,0.12,0.0,0.0,0.88,0.0,2,0,,,Denmark,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/369684-1725875948.jpg?lm=1,6.96,79.41,45.19,15.15,63.64,71.74,58.18,55.04,55.98,0.461,0.058,3.34,0.173,0.058,1.094,5.24,1.843,1.9,4.088,0.058,0.403,0.806,11.516,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1563.0,rasmus kristensen,,,,,
Ritsu Doan,Frankfurt,MF,27,2364,0.19,0.19,1.56,0.57,4.221,0.646,0.875,0.989,1.331,0.114,17000000.0,0.0,0.19,0.19,0.5700000000000001,1.56,0.0,5,5,,,Japan,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/358504-1757597784.jpg?lm=1,6.85,77.65,42.0,26.55,42.5,55.81,35.59,43.87,42.31,1.513,0.454,0.605,0.416,0.038,0.643,2.837,0.794,0.908,4.199,0.0,0.681,1.286,10.214,0.0,3.0,0.0,0.0,0.0,0.0,31.0,2379.0,ritsu doan,2030-06-30,358504,2026-07-03T17:44:30,2025-08-07,
Robin Koch,Frankfurt,DF,29,2833,0.1,0.03,0.48,0.16,0.063,1.492,0.857,0.984,0.413,0.0,10000000.0,0.0,0.1,0.03,0.09,0.48,0.0,3,1,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/328784-1753984898.jpg?lm=1,6.96,91.77,49.2,0.0,66.67,52.38,62.43,55.88,60.0,0.317,0.032,6.635,0.063,0.889,1.46,3.429,3.429,0.698,1.81,0.19,0.032,0.063,4.444,0.0,5.0,0.0,0.0,0.0,0.0,32.0,2835.0,robin koch,2030-06-30,328784,2026-07-03T17:44:30,2024-07-01,
Timothy Chandler,Frankfurt,"DF,MF",35,11,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,United States,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/49723-1663064872.jpg?lm=1,7.0,80.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,timothy chandler,2027-06-30,49723,2026-07-03T17:44:30,2014-07-01,
Younes Ebnoutalib,Frankfurt,FW,21,133,0.68,0.0,3.38,1.35,0.0,0.667,0.0,1.333,1.333,0.0,8000000.0,0.0,0.68,0.0,0.0,3.38,0.0,1,0,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/692368-1753442833.jpg?lm=1,6.42,76.19,0.0,0.0,33.33,0.0,13.33,18.75,16.13,1.295,0.0,0.647,0.0,0.0,0.647,1.942,1.295,0.0,1.942,0.0,0.0,0.647,4.532,0.0,0.0,0.0,0.0,0.0,0.0,5.0,139.0,younes ebnoutalib,2031-06-30,692368,2026-07-03T17:44:30,2026-01-01,
Anthony Jung,Freiburg,DF,33,526,0.0,0.0,0.17,0.0,0.0,1.724,0.172,0.69,0.517,0.0,600000.0,0.007,0.007,0.04,0.717,0.179,0.233,0,0,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/58995-1753984159.jpg?lm=1,6.59,82.72,31.71,0.0,100.0,25.0,70.0,43.75,58.33,0.682,0.17,6.477,0.0,1.364,1.534,3.068,2.386,0.17,1.193,0.17,0.0,0.17,6.477,0.0,0.0,0.0,0.0,0.0,0.0,12.0,528.0,anthony jung,2027-06-30,58995,2026-07-03T17:44:34,2025-07-01,
Christian Günter,Freiburg,DF,32,1547,0.0,0.17,0.52,0.0,4.244,0.581,0.698,0.581,0.349,0.291,2000000.0,0.023,0.023,0.129,1.097,0.52,0.341,0,3,,,Germany,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/93707-1753984492.jpg?lm=1,6.57,78.79,39.73,31.51,40.0,63.16,52.63,54.0,53.62,1.144,0.172,1.888,0.172,0.343,0.515,2.117,0.572,0.687,1.545,0.057,0.286,0.114,6.408,0.0,2.0,0.0,0.0,0.0,0.0,24.0,1573.0,christian gunter,2012-07-01,93707,2026-07-03T17:44:34,2012-07-01,
Cyriaque Irié,Freiburg,MF,20,347,0.0,0.0,1.82,0.52,0.769,0.769,1.538,2.821,2.051,1.282,8000000.0,0.164,0.164,0.035,1.088,1.903,0.372,0,0,,,Burkina Faso,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1145064-1753954975.jpg?lm=1,6.66,83.64,100.0,0.0,60.0,66.67,30.77,50.88,47.14,1.05,0.0,1.574,0.262,0.0,0.787,5.773,1.05,1.574,7.609,0.262,0.262,3.149,8.659,0.0,0.0,0.0,0.0,0.0,0.0,10.0,343.0,cyriaque irie,2025-07-01,1145064,2026-07-03T17:44:34,2025-07-01,
Derry Scherhant,Freiburg,MF,22,1301,0.35,0.07,2.49,0.9,4.966,0.483,0.621,1.31,2.483,0.276,7500000.0,0.238,0.238,0.141,1.58,2.586,0.393,5,1,,,Germany,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/820957-1753954863.jpg?lm=1,6.69,75.66,45.45,27.78,37.5,50.0,23.08,42.36,40.17,1.514,0.069,1.239,0.894,0.275,0.482,3.647,0.413,0.688,5.917,0.0,0.275,2.064,4.61,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1308.0,derry scherhant,2025-07-01,820957,2026-07-03T17:44:34,2025-07-01,
Eren Dinkçi,Freiburg,MF,23,248,0.0,0.0,1.45,0.0,3.571,1.429,1.429,0.714,0.357,0.0,6000000.0,0.0,0.0,0.0,0.0,1.45,0.0,0,0,,,Türkiye,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/645774-1753984116.jpg?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eren dinkci,2024-07-01,645774,2026-07-03T17:44:34,2024-07-01,
Ifechukwu Ogbus,Freiburg,DF,19,1177,0.0,0.0,0.38,0.15,0.229,0.992,1.221,0.382,0.84,0.0,15000000.0,0.0,0.0,0.0,0.0,0.38,0.0,0,0,,,Switzerland,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/863759-1723189626.jpg?lm=1,6.64,91.6,46.67,33.33,20.0,73.91,44.23,55.38,50.43,0.076,0.0,5.767,0.076,1.366,0.835,3.718,1.745,1.29,2.732,0.228,0.152,0.228,3.87,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1186.0,ifechukwu ogbus,,,,,
Igor Matanović,Freiburg,FW,22,1571,0.57,0.11,2.92,1.09,0.0,0.514,0.629,2.4,1.257,0.343,22000000.0,0.561,0.473,0.131,1.289,2.988,0.573,11,2,,,Croatia,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/605268-1753984387.jpg?lm=1,6.8,62.58,43.75,0.0,40.0,34.78,51.88,37.01,44.59,1.261,0.229,2.006,0.745,0.115,0.516,2.924,4.758,0.459,3.268,0.057,0.516,0.688,4.127,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1570.0,igor matanovic,2025-07-09,605268,2026-07-03T17:44:34,2025-07-09,
Jan-Niklas Beste,Freiburg,MF,26,1704,0.11,0.11,1.27,0.74,5.608,0.899,1.27,0.899,1.905,0.265,10000000.0,0.183,0.183,0.197,1.883,1.255,0.54,2,2,,,Germany,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/342967-1753984040.jpg?lm=1,6.8,75.46,51.28,28.97,36.59,60.0,24.0,53.53,49.74,1.836,0.21,1.311,0.105,0.105,0.892,3.409,0.315,1.259,4.773,0.052,0.315,0.787,5.507,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1716.0,jan-niklas beste,,,,,
Johan Manzambi,Freiburg,MF,19,2077,0.22,0.17,2.21,0.56,1.515,1.169,0.606,0.952,3.377,0.087,50000000.0,0.169,0.169,0.15,0.797,2.14,0.523,5,4,,,Switzerland,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/927353-1753954939.jpg?lm=1,7.22,84.45,51.61,31.43,52.38,37.14,55.0,59.84,58.88,0.86,0.258,1.633,0.645,0.086,1.16,4.728,1.418,0.559,6.275,0.215,0.387,1.418,9.241,0.0,2.0,0.0,0.0,0.0,0.0,27.0,2094.0,johan manzambi,2030-06-30,927353,2026-07-03T17:44:34,2024-07-01,
Jordy Makengo,Freiburg,DF,23,1178,0.0,0.08,0.0,0.0,2.443,1.069,0.763,0.763,0.687,0.153,6000000.0,0.0,0.0,0.056,0.388,0.0,0.234,0,1,,,France,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/815078-1753955122.jpg?lm=1,6.59,84.04,41.94,30.3,53.85,45.45,58.33,63.33,61.9,0.379,0.076,3.939,0.0,0.758,1.136,3.636,1.061,0.758,2.879,0.227,0.227,0.53,5.682,0.0,2.0,0.0,0.0,0.0,0.0,20.0,1188.0,jordy makengo,2028-06-30,815078,2026-07-03T17:44:34,2023-07-01,
Junior Adamu,Freiburg,FW,24,446,0.2,0.2,1.61,0.61,0.4,1.0,1.2,2.0,1.8,1.2,3000000.0,0.353,0.353,0.246,0.987,1.579,0.458,1,1,,,Austria,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/452477-1753955032.jpg?lm=1,6.6,58.54,50.0,50.0,41.67,54.55,45.1,54.35,49.48,0.789,0.395,1.184,0.0,0.395,1.184,2.763,4.539,1.184,4.934,0.0,0.395,0.987,3.158,0.0,0.0,0.0,0.0,0.0,0.0,9.0,456.0,junior adamu,,,,,
Lucas Höler,Freiburg,"FW,MF",31,2037,0.13,0.04,1.46,0.66,0.354,0.487,0.531,1.327,1.327,0.531,3000000.0,0.228,0.228,0.091,1.043,1.435,0.359,3,1,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/248999-1753984328.jpg?lm=1,6.67,68.93,58.33,11.11,40.0,44.0,47.89,43.84,45.83,1.046,0.087,1.787,0.305,0.087,0.479,3.356,2.964,0.479,2.789,0.0,0.567,0.436,6.232,0.0,3.0,0.0,0.0,0.0,0.0,33.0,2065.0,lucas holer,2018-01-01,248999,2026-07-03T17:44:34,2018-01-01,
Lukas Kübler,Freiburg,DF,32,1587,0.11,0.11,1.08,0.28,1.705,1.761,1.42,1.136,0.625,0.341,1500000.0,0.148,0.148,0.078,0.613,1.058,0.272,2,2,,,Germany,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/93604-1658412582.jpg?lm=1,6.66,81.26,40.63,27.59,40.0,62.5,57.58,59.55,58.71,0.621,0.169,4.124,0.282,0.508,2.203,3.051,2.147,1.412,2.994,0.0,0.169,0.113,6.045,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1593.0,lukas kubler,2015-07-01,93604,2026-07-03T17:44:34,2015-07-01,
Matthias Ginter,Freiburg,DF,31,2833,0.1,0.1,0.6,0.22,0.476,0.698,0.444,0.508,0.603,0.063,5000000.0,0.065,0.065,0.067,0.443,0.601,0.362,3,3,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/124502-1753984264.jpg?lm=1,6.98,87.47,46.15,27.78,42.86,54.55,61.71,60.27,61.29,0.476,0.159,6.125,0.19,0.666,0.73,3.396,3.427,0.381,1.396,0.063,0.032,0.095,6.823,0.0,5.0,0.0,0.0,0.0,0.0,32.0,2836.0,matthias ginter,2027-06-30,124502,2026-07-03T17:44:34,2022-07-01,
Max Rosenfelder,Freiburg,DF,22,492,0.0,0.0,0.18,0.0,0.0,0.909,0.909,0.364,0.909,0.182,6000000.0,0.003,0.003,0.0,0.0,0.189,0.136,0,0,,,Germany,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/599419-1753955074.jpg?lm=1,6.53,89.12,47.62,0.0,66.67,50.0,30.0,73.68,51.28,0.0,0.0,5.148,0.178,0.355,0.888,3.905,1.065,0.71,2.485,0.178,0.0,0.355,2.485,0.0,2.0,0.0,0.0,0.0,0.0,12.0,507.0,max rosenfelder,2023-07-01,599419,2026-07-03T17:44:34,2023-07-01,
Maximilian Eggestein,Freiburg,MF,28,3060,0.09,0.03,1.29,0.38,0.412,0.912,1.0,0.529,0.588,0.029,10000000.0,0.1,0.1,0.042,0.559,1.294,0.321,3,1,,,Germany,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/190284-1723189965.jpg?lm=1,6.85,82.66,42.16,14.29,68.18,53.13,47.01,64.71,57.04,0.559,0.059,1.824,0.588,0.441,0.882,3.794,1.618,1.0,2.912,0.088,0.353,0.441,8.353,0.0,6.0,0.0,0.0,0.0,0.0,34.0,3060.0,maximilian eggestein,2021-08-18,190284,2026-07-03T17:44:34,2021-08-18,
Maximilian Philipp,Freiburg,"FW,MF",31,29,0.0,0.0,0.0,0.0,0.0,0.0,3.333,6.667,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,1.192,0,0,,,Germany,Second Striker,https://img.a.transfermarkt.technology/portrait/medium/143891-1723189806.jpg?lm=1,6.35,50.0,0.0,0.0,0.0,100.0,0.0,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.812,2.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,maximilian philipp,,,,,
Merlin Röhl,Freiburg,MF,23,66,0.0,0.0,0.0,0.0,1.429,0.0,1.429,2.857,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.948,0,0,,,Germany,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/608832-1726649794.jpg?lm=1,6.3,89.29,100.0,0.0,0.0,100.0,40.0,25.0,33.33,0.0,0.0,0.0,0.0,1.385,0.0,1.385,2.769,1.385,1.385,0.0,1.385,0.0,9.692,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,merlin rohl,,,,,
Nicolas Höfler,Freiburg,MF,35,291,0.0,0.0,1.24,0.62,0.0,0.625,1.875,1.875,0.938,0.0,500000.0,0.038,0.038,0.0,0.0,1.374,0.274,0,0,,,Germany,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/55099-1658412737.jpg?lm=1,6.55,85.12,33.33,0.0,50.0,100.0,30.77,52.38,44.12,0.0,0.0,3.386,0.0,0.282,0.564,3.95,1.129,1.975,3.103,0.0,0.0,0.282,5.643,0.0,0.0,0.0,0.0,0.0,0.0,13.0,319.0,nicolas hofler,,,,,
Noah Atubolu,Freiburg,GK,23,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.0,0.0,0.01,0.088,0.0,0.174,0,0,63.7,17.6,Germany,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/526845-1753984204.jpg?lm=1,7.07,67.01,39.78,0.0,0.0,0.0,100.0,100.0,100.0,0.088,0.029,1.206,0.0,0.0,0.0,9.029,0.294,0.0,0.176,0.059,0.0,0.0,2.647,3.0,6.0,0.853,0.441,0.618,0.0,34.0,3060.0,noah atubolu,2027-06-30,526845,2026-07-03T17:44:34,2021-07-01,
Patrick Osterhage,Freiburg,MF,25,1189,0.08,0.0,0.53,0.15,0.682,1.136,0.53,0.985,0.985,0.152,12000000.0,0.097,0.097,0.025,0.454,0.529,0.234,1,0,,,Germany,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/443331-1723190030.jpg?lm=1,6.65,86.65,57.14,44.44,35.29,64.29,25.0,47.83,40.59,0.451,0.0,1.128,0.15,0.752,1.278,3.158,0.602,0.677,2.481,0.0,0.15,0.451,6.466,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1197.0,patrick osterhage,2024-07-01,443331,2026-07-03T17:44:34,2024-07-01,
Philipp Lienhart,Freiburg,DF,29,1302,0.07,0.0,0.55,0.14,0.897,0.897,0.897,0.483,0.552,0.138,10000000.0,0.066,0.066,0.01,0.278,0.556,0.406,1,0,,,Austria,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/225657-1658411602.jpg?lm=1,6.95,90.28,45.1,38.46,60.0,61.11,65.96,64.44,65.22,0.345,0.0,5.241,0.0,0.552,1.034,3.241,2.138,0.759,2.0,0.069,0.138,0.207,7.793,0.0,3.0,0.0,0.0,0.0,0.0,20.0,1305.0,philipp lienhart,2018-07-01,225657,2026-07-03T17:44:34,2018-07-01,
Philipp Treu,Freiburg,"DF,MF",24,2186,0.04,0.08,0.7,0.21,1.317,0.288,1.111,0.823,1.523,0.082,15000000.0,0.06,0.06,0.074,0.82,0.697,0.316,1,2,,,Germany,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/335993-1753984451.jpg?lm=1,6.66,85.63,50.88,25.0,41.67,62.22,30.23,59.38,53.2,0.82,0.123,1.723,0.205,0.287,0.369,3.61,0.533,1.149,3.897,0.123,0.123,0.615,6.03,0.0,2.0,0.0,0.0,0.0,0.0,28.0,2194.0,philipp treu,2025-07-01,335993,2026-07-03T17:44:34,2025-07-01,
Rouven Tarnutzer,Freiburg,FW,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Switzerland,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1159439-1771930264.jpg?lm=1,6.5,100.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.182,0.0,0.0,8.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,rouven tarnutzer,2027-06-30,1159439,2026-07-03T17:44:34,2026-07-01,NEW
Vincenzo Grifo,Freiburg,MF,32,1710,0.16,0.21,1.58,0.63,5.842,0.842,0.263,0.526,0.632,0.105,4000000.0,0.284,0.126,0.28,2.025,1.558,0.528,7,4,,,Italy,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/185077-1753983973.jpg?lm=1,6.94,82.11,58.49,25.69,62.5,50.0,60.0,45.07,46.91,2.145,0.576,1.047,0.523,0.052,0.733,3.453,0.314,0.262,1.674,0.105,0.209,0.523,9.157,0.0,1.0,0.0,0.0,0.0,0.0,33.0,1720.0,vincenzo grifo,2027-06-30,185077,2026-07-03T17:44:34,2019-09-02,
Yuito Suzuki,Freiburg,MF,23,1632,0.22,0.11,2.1,0.77,1.16,0.552,0.663,1.105,0.552,0.11,24000000.0,0.229,0.229,0.115,1.368,2.079,0.462,4,2,,,Japan,Second Striker,https://img.a.transfermarkt.technology/portrait/medium/668606-1753955159.jpg?lm=1,6.76,77.53,62.5,30.0,52.94,70.0,30.0,39.67,37.75,1.375,0.11,0.55,0.605,0.055,0.55,3.961,0.495,0.77,2.641,0.0,0.495,0.99,7.427,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1636.0,yuito suzuki,2025-07-01,668606,2026-07-03T17:44:34,2025-07-01,
