player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Isak Jensen,AZ Alkmaar,"MF,FW",21.0,2035,0.09,0.18,1.5,0.4,3.407,0.354,0.708,0.619,1.195,0.177,5000000.0,0,0.09,0.18,0.54,1.5,0,2,4,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.86,82.58,42.5,35.44,61.46,62.5,37.14,50.94,47.52,1.805283757338552,0.3962818003913894,0.9246575342465752,0.7045009784735812,0.0,0.3962818003913894,4.711350293542075,1.1448140900195694,0.6604696673189824,4.755381604696673,0.0,0.74853228962818,2.5978473581213306,9.246575342465754,0.0,4.0,0.0,0.0,0.0,0.0,33.0,2044.0,Denmark,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/801886-1753350986.jpg?lm=1,isak jensen,2030-06-30,801886.0,2026-07-09T08:49:33,2025-07-15,
Jeroen Zoet,AZ Alkmaar,GK,34.0,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0,0.0,0.0,0.0,0.0,0,0,0,67.4,20.0,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.67,56.71,34.74,0.0,0.0,0.0,100.0,100.0,100.0,0.196078431372549,0.0980392156862745,0.196078431372549,0.0,0.0,0.0,7.352941176470589,0.0980392156862745,0.0,0.196078431372549,0.3921568627450981,0.0,0.0,1.1764705882352942,3.03921568627451,2.0,0.2941176470588235,0.196078431372549,0.0980392156862745,0.0,11.0,918.0,Netherlands,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/79045-1753350290.jpg?lm=1,jeroen zoet,2027-06-30,79045.0,2026-07-09T08:49:33,2024-07-15,
Jizz Hornkamp,AZ Alkmaar,FW,27.0,232,0.0,0.0,1.16,0.39,0.0,0.0,0.0,1.538,0.769,0.385,2500000.0,0,0.0,0.0,0.0,1.16,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.08,62.19,46.67,100.0,50.0,62.5,60.18,48.98,54.98,1.1324944485566246,0.0666173205033308,1.065877128053294,0.3997039230199852,0.0666173205033308,0.2664692820133235,1.9319022945965951,4.5299777942264985,0.6661732050333087,3.1976313841598816,0.0,0.3997039230199852,0.5995558845299778,3.3974833456698743,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1351.0,Netherlands,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/185817-1764163127.png?lm=1,jizz hornkamp,2030-06-30,185817.0,2026-07-09T08:49:33,2026-01-02,
Jordy Clasie,AZ Alkmaar,MF,34.0,812,0.11,0.11,0.89,0.33,0.111,1.0,1.333,0.889,0.444,0.0,800000.0,0,0.11,0.11,0.33,0.89,0,1,1,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.02,89.38,59.57,0.0,57.14,75.0,71.43,52.17,54.72,1.325153374233129,0.2208588957055214,1.987730061349693,0.3312883435582822,0.3312883435582822,0.9938650306748468,5.411042944785276,0.5521472392638037,1.325153374233129,2.650306748466258,0.1104294478527607,0.4417177914110429,0.4417177914110429,16.78527607361963,0.0,1.0,0.0,0.0,0.0,0.0,12.0,815.0,Netherlands,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/104223-1721657656.jpg?lm=1,jordy clasie,2028-06-30,104223.0,2026-07-09T08:49:33,2019-07-22,
Kasper Boogaard,AZ Alkmaar,MF,19.0,710,0.0,0.25,0.76,0.13,1.013,1.392,0.759,1.392,0.886,0.127,2500000.0,0,0.0,0.25,0.75,0.76,0,0,2,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.55,78.13,41.67,33.33,62.5,45.45,33.33,44.23,41.1,1.2658227848101264,0.5063291139240506,1.3924050632911391,0.1265822784810126,0.2531645569620253,1.3924050632911391,4.6835443037974684,0.8860759493670886,0.6329113924050632,2.911392405063291,0.1265822784810126,0.5063291139240506,0.6329113924050632,6.075949367088607,0.0,1.0,0.0,0.0,0.0,0.0,11.0,711.0,Netherlands,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/988406-1768242977.jpg?lm=1,kasper boogaard,2029-06-30,988406.0,2026-07-09T08:49:33,2026-01-12,
Kees Smit,AZ Alkmaar,MF,19.0,2132,0.13,0.13,1.6,0.42,0.97,0.717,0.97,1.435,1.35,0.0,25000000.0,0,0.13,0.13,0.39,1.6,0,3,3,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.99,88.09,59.42,21.74,42.86,65.79,30.0,45.32,43.35,1.5575304022450889,0.2525724976613657,0.7577174929840973,0.5893358278765201,0.2525724976613657,0.6314312441534143,5.556594948550047,0.3788587464920486,1.0523854069223573,3.872778297474275,0.0841908325537885,0.7998129092609916,0.8840037418147801,15.78578110383536,0.0,4.0,0.0,0.0,0.0,0.0,26.0,2138.0,Netherlands,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/859035-1723819911.jpg?lm=1,kees smit,2028-06-30,859035.0,2026-07-09T08:49:33,2024-07-01,
Lequincio Zeefuik,AZ Alkmaar,FW,20.0,116,0.0,0.0,3.1,0.78,0.0,0.0,0.0,5.385,2.308,0.769,850000.0,0,0.0,0.0,0.0,3.1,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/728864-1753350531.jpg?lm=1,lequincio zeefuik,,,,,
Matej Sin,AZ Alkmaar,"MF,FW",21.0,550,0.16,0.16,1.47,0.49,0.82,0.984,0.984,1.148,0.656,0.164,3000000.0,0,0.16,0.16,0.48,1.47,0,1,1,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.7,78.19,60.0,20.0,33.33,75.0,12.5,32.56,29.41,1.9389587073608616,0.3231597845601436,1.4542190305206462,0.6463195691202872,0.4847396768402154,0.8078994614003591,5.655296229802513,0.1615798922800718,0.9694793536804308,2.2621184919210053,0.1615798922800718,0.6463195691202872,0.3231597845601436,8.88689407540395,0.0,0.0,0.0,0.0,0.0,0.0,18.0,557.0,Czech Republic,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/724025-1714922170.jpg?lm=1,matej sin,2030-06-30,724025.0,2026-07-09T08:49:33,2025-08-29,
Mateo Chávez,AZ Alkmaar,"DF,MF",21.0,829,0.11,0.22,1.63,0.54,2.609,1.739,3.587,1.413,1.63,0.109,4000000.0,0,0.11,0.22,0.66,1.63,0,1,2,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.85,74.05,41.86,13.64,50.0,62.5,66.67,60.31,61.07,1.0739856801909309,0.2147971360381861,2.79236276849642,0.5369928400954653,0.107398568019093,1.39618138424821,3.973747016706444,1.2887828162291168,3.758949880668257,8.484486873508352,0.0,0.3221957040572792,0.9665871121718376,9.558472553699284,0.0,0.0,0.0,0.0,0.0,0.0,20.0,838.0,Mexico,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/1066953-1753350485.jpg?lm=1,mateo chavez,2030-06-30,1066953.0,2026-07-09T08:49:33,2025-07-01,
Maxim Dekker,AZ Alkmaar,DF,21.0,192,0.0,0.0,0.47,0.0,0.476,0.0,0.952,0.0,0.476,0.0,650000.0,0,0.0,0.0,0.0,0.47,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.5,90.74,60.0,0.0,100.0,66.67,45.45,80.0,56.25,0.0,0.0,4.029850746268656,0.4477611940298507,0.4477611940298507,0.0,6.26865671641791,2.238805970149253,0.8955223880597015,1.791044776119403,0.0,0.4477611940298507,0.4477611940298507,3.582089552238806,0.0,0.0,0.0,0.0,0.0,0.0,6.0,201.0,Netherlands,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/646704-1753350570.jpg?lm=1,maxim dekker,2029-06-30,646704.0,2026-07-09T08:49:33,2022-07-01,
