squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Bologna,리그,ita.1,2027-04-18,H,Cagliari,0,0,0-0,,scheduled,401874848
Bologna,리그,ita.1,2027-04-25,A,Inter,0,0,0-0,,scheduled,401874870
Bologna,리그,ita.1,2027-05-02,H,Fiorentina,0,0,0-0,,scheduled,401875103
Bologna,리그,ita.1,2027-05-09,A,Torino,0,0,0-0,,scheduled,401875117
Bologna,리그,ita.1,2027-05-16,H,Frosinone,0,0,0-0,,scheduled,401875157
Bologna,리그,ita.1,2027-05-23,A,Genoa,0,0,0-0,,scheduled,401875122
Bologna,리그,ita.1,2027-05-30,H,Parma,0,0,0-0,,scheduled,401874878
Cagliari,리그,ita.1,2026-08-22,A,Parma,0,0,0-0,,scheduled,401874747
Cagliari,리그,ita.1,2026-08-30,H,Inter,0,0,0-0,,scheduled,401874938
Cagliari,리그,ita.1,2026-09-07,H,Lecce,0,0,0-0,,scheduled,401874943
Cagliari,리그,ita.1,2026-09-12,A,Atalanta,0,0,0-0,,scheduled,401874979
Cagliari,리그,ita.1,2026-09-19,A,Udinese,0,0,0-0,,scheduled,401874964
Cagliari,리그,ita.1,2026-10-11,H,Juventus,0,0,0-0,,scheduled,401874764
Cagliari,리그,ita.1,2026-10-17,A,Monza,0,0,0-0,,scheduled,401874762
Cagliari,리그,ita.1,2026-10-25,H,Bologna,0,0,0-0,,scheduled,401874958
Cagliari,리그,ita.1,2026-10-28,A,Roma,0,0,0-0,,scheduled,401874780
Cagliari,리그,ita.1,2026-11-01,A,Lazio,0,0,0-0,,scheduled,401874983
Cagliari,리그,ita.1,2026-11-08,H,Frosinone,0,0,0-0,,scheduled,401874791
Cagliari,리그,ita.1,2026-11-22,A,Como,0,0,0-0,,scheduled,401875056
Cagliari,리그,ita.1,2026-11-29,H,Milan,0,0,0-0,,scheduled,401875019
Cagliari,리그,ita.1,2026-12-06,A,Fiorentina,0,0,0-0,,scheduled,401875107
Cagliari,리그,ita.1,2026-12-13,H,Venezia,0,0,0-0,,scheduled,401874820
Cagliari,리그,ita.1,2026-12-20,A,Torino,0,0,0-0,,scheduled,401874785
